,Transportation mode,Value,Tons,Ton-miles,Average miles per shipment,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,($ billion),Percent,(millions),Percent,(billions),Percent,,
1,TOTAL all modes,2334.4,100.0,2580.2,100.0,307.5,100.0,114
2,"Single modes, total",2304.7,98.7,2552.9,98.9,275.6,89.6,68
3,Trucka,1466.0,62.8,1531.4,59.4,96.6,31.4,56
4,For-hire,870.9,37.3,882.3,34.2,62.0,20.2,150
5,Privateb,595.1,25.5,649.1,25.2,34.5,11.2,33
6,Rail,79.2,3.4,111.0,4.3,84.9,27.6,808
7,Water,217.8,9.3,283.6,11.0,54.9,17.9,212
8,Air,4.4,0.2,0.3,–,0.3,0.1,1120
9,Pipelinec,537.3,23.0,626.7,24.3,S,S,S
10,"Multiple modes, total",29.7,1.3,27.3,1.1,31.9,10.4,654
11,"Parcel, U.S. Postal Service or Courier",10.3,0.4,0.3,–,0.2,0.1,650
12,Other,19.4,0.8,27.0,1.1,31.7,11.5,–
13,"Unknown and other modes, total",–,–,–,–,–,–,–
