,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015
0,TOTAL fatalities,U,U,U,U,U,U,47297,44391,41947,42736,43514,44507,44732,44412,43863,43975,44276,44873,45292,45121,45028,45641,45061,43347,39542,35978,"(R) 35,036","(R) 34,570","(R) 35,696","(R) 34,685",34641,36982
1,"Air, total",1286,1290,1456,1473,1382,1595,866,1039,988,811,1057,963,1093,724,670,683,764,1166,616,699,637,603,774,540,568,548,477,(R) 499,(R) 450,430,444,404
2,U.S. air carriera,499,261,146,124,1,526,39,62,33,1,239,168,380,8,1,12,92,531,0,22,14,22,50,1,3,52,2,0,0,9,0,0
3,Commuter carrierb,N,N,N,28,37,37,6,99,21,24,25,9,14,46,0,12,5,13,0,2,0,0,2,0,0,0,0,0,0,5,0,1
4,On-demand air taxic,N,N,N,69,105,76,51,78,68,42,63,52,63,39,45,38,71,60,35,42,64,18,16,43,69,17,17,41,12,25,20,27
5,General aviationd,787,1029,1310,1252,1239,956,770,800,866,744,730,734,636,631,624,621,596,562,581,633,559,563,706,496,496,479,458,(R) 458,(R) 438,391,424,376
6,"Highway, total",36399,47089,52627,44525,51091,43825,44599,41508,39250,40150,40716,41817,42063,42013,41501,41717,41945,42196,43005,42884,42836,43510,42708,41259,37423,33883,32999,32479,33782,32894,32744,35092
7,Passenger car occupants,N,N,N,25929,27449,23212,24092,22385,21387,21566,21997,22423,22505,22199,21194,20862,20699,20320,20569,19725,19192,18512,17925,16614,14646,13135,12491,12014,12361,12037,11947,12628
8,Motorcyclists,790,1650,2280,3189,5144,4564,3244,2806,2395,2449,2320,2227,2161,2116,2294,2483,2897,3197,3270,3714,4028,4576,4837,5174,5312,4469,4518,4630,4986,"(R) 4,692",4594,4976
9,"Truck occupantse, light",N,N,N,4856,7486,6689,8601,8391,8098,8511,8904,9568,9932,10249,10705,11265,11526,11723,12274,12546,12674,13037,12761,12458,10816,10312,9782,9302,9418,"(R) 9,187",9103,9813
10,"Truck occupantse, large",N,N,N,961,1262,977,705,661,585,605,670,648,621,723,742,759,754,708,689,726,766,804,805,805,682,499,530,640,697,(R) 695,656,667
11,Bus occupants,N,N,N,53,46,57,32,31,28,18,18,33,21,18,38,59,22,34,45,41,42,58,27,36,67,26,44,55,39,54,44,49
12,Pedestrians,7210,7990,8950,7516,8070,6808,6482,5801,5549,5649,5489,5584,5449,5321,5228,4939,4763,4901,4851,4774,4675,4892,4795,4699,4414,4109,4302,4457,4818,4779,4910,5376
13,Pedalcyclists,490,690,760,1003,965,890,859,843,723,816,802,833,765,814,760,754,693,732,665,629,727,786,772,701,718,628,623,682,734,749,729,818
14,Other incidentf,27909,36759,40637,1018,669,628,584,590,485,536,516,501,609,573,540,596,591,581,642,729,732,845,786,772,768,705,709,699,729,701,761,765
15,"Railroad, totalg",N,N,N,N,1417,1036,1297,1194,1170,1279,1226,1146,1039,1063,1008,932,937,971,951,865,891,884,903,851,804,695,(R) 735,682,(R) 674,700,768,759
16,Train accidents,N,N,N,N,29,8,10,19,6,67,12,14,25,17,4,9,10,6,15,4,13,33,6,9,27,4,8,6,9,11,5,13
17,Highway-rail grade crossing,N,N,N,N,833,582,698,608,579,626,615,579,488,461,431,402,425,421,357,334,371,359,369,339,290,248,261,246,(R) 231,232,262,235
18,Tresspassers,N,N,N,N,457,391,543,524,533,523,529,494,471,533,536,479,463,511,540,498,472,458,511,470,457,416,(R) 441,400,410,425,470,459
19,Other incidenth,N,N,N,N,98,55,46,43,52,63,70,59,55,52,37,42,39,33,39,29,35,34,17,33,30,27,25,30,24,32,31,52
20,"Transit, totali",N,N,N,N,N,N,339,300,273,281,320,274,264,275,286,299,295,267,182,202,177,149,162,188,172,226,221,228,264,266,236,254
21,Passenger/Occupant,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,47,51,33,48,20,26,30,48,49,36,67,60,58,30
22,Employee/Worker,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5,8,8,7,9,9,8,11,6,3,5,10,4,4
23,Other incident,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,130,143,136,94,133,153,134,167,166,189,192,196,174,220
24,"Water, totalj",N,N,1418,1466,1360,1116,865,924,816,800,784,829,709,821,815,734,701,681,890,844,815,829,883,842,854,865,821,904,765,650,674,692
25,Passenger vesselk,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,15,0,48,52,55,52,91,79,65,62,87,96,84,26,14,14
26,Freight vessell,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,48,39,37,33,37,42,34,30,22,18,14,19,18,40
27,Industrial/Otherm,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,44,50,47,47,45,36,46,37,40,32,16,45,32,12
28,Recreational boatingn,739,1360,1418,1466,1360,1116,865,924,816,800,784,829,709,821,815,734,701,681,750,703,676,697,710,685,709,736,672,758,651,560,610,626
29,"Pipeline, total",N,N,30,15,19,33,9,14,15,17,22,21,53,10,21,22,38,7,12,12,23,16,19,16,8,13,19,12,10,(R) 8,19,10
30,Hazardous liquid pipeline,N,N,4,7,4,5,3,0,5,0,1,3,5,0,2,4,1,0,1,0,5,2,0,4,2,4,1,1,3,1,0,1
31,Gas pipeline,N,N,26,8,15,28,6,14,10,17,21,18,48,10,19,18,37,7,11,12,18,14,19,12,6,9,18,11,7,(R) 7,19,9
32,"Other counts, redundant with above",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
33,"Railroad, killed at public crossing with motor vehicle",N,N,N,786,708,480,568,497,466,517,501,455,377,378,325,309,306,315,271,249,256,258,267,227,199,161,136,138,(R) 135,141,143,126
34,"Rail, passenger",N,N,N,40,52,79,202,178,175,292,196,211,176,227,196,188,220,242,226,182,201,202,180,216,229,214,215,189,199,195,216,250
35,Train accidents,U,U,U,U,U,U,0,9,0,55,3,2,14,4,0,1,2,1,7,1,2,14,0,2,25,1,4,0,0,5,3,12
36,Highway-rail grade crossingo,U,U,U,U,U,U,74,54,70,77,57,81,53,72,70,70,72,95,69,72,72,70,74,87,70,82,74,58,62,75,60,78
37,Trespassers,U,U,U,U,U,U,117,U,U,U,U,U,U,U,U,U,135,138,141,103,117,109,100,116,127,125,131,123,126,108,144,152
38,"Rail, other",U,U,U,U,U,U,11,U,U,U,U,U,U,U,U,U,11,8,9,6,10,9,6,11,7,6,6,8,11,7,9,8
39,"Rail, freight",N,N,N,1520,1365,957,1095,1016,995,987,1030,935,863,837,812,745,717,729,725,683,690,682,723,635,575,481,(R) 520,493,(R) 476,505,553,503
40,Train accidents,U,U,U,U,28,U,10,U,U,U,U,U,U,U,U,U,8,5,8,3,11,19,6,7,2,3,4,6,9,6,2,1
41,Highway-rail grade crossingp,U,U,U,U,821,U,624,U,U,U,U,U,U,U,U,U,353,326,288,262,299,289,295,252,220,166,187,188,(R) 170,157,203,156
42,Trespassers,U,U,U,U,426,U,426,U,U,U,U,U,U,U,U,U,328,373,399,395,355,349,411,354,330,291,(R) 310,277,284,317,326,302
43,"Rail, other",U,U,U,U,90,U,35,U,U,U,U,U,U,U,U,U,28,25,30,23,25,25,11,22,23,21,19,22,13,25,22,44
44,"Transit, non-rail",N,N,N,N,N,N,110,91,99,85,110,88,112,116,113,103,98,100,93,136,95,92,121,122,88,91,100,96,114,122,101,103
45,"Transit, rail",N,N,N,N,N,N,229,209,174,196,210,186,152,159,173,196,197,167,89,66,81,54,41,65,84,134,120,132,150,144,135,151
46,"Water, Vessel-relatedq",N,N,178,243,206,131,85,30,97,105,77,53,55,48,69,58,53,53,29,44,65,46,45,31,31,34,37,27,25,16,14,40
47,"Water, Not related to vessel casualtiesr",N,N,420,330,281,130,101,56,119,121,131,134,142,120,149,136,134,94,64,76,69,67,70,65,82,72,58,43,60,74,50,26
