,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Air,4883,5279,4767,4232,3818,2935,2388,2334,2227,2172,2139,2179,2046,1987,2037,2043,1985,1852,1824,1870,1719,1782,1611,1746,1661,1559,1506,1555,1537,1298,1288
1,U.S. air carriera,90,83,55,37,19,21,24,26,18,23,23,36,37,49,50,51,56,46,41,54,30,40,33,28,28,30,30,31,27,23,28
2,Commuter carrierb,N,N,N,48,38,18,15,23,23,16,10,12,11,16,8,13,12,7,7,2,4,6,3,3,7,2,6,4,4,7,4
3,On-demand air taxic,N,N,N,152,171,157,107,88,76,69,85,75,90,82,77,74,80,72,60,73,66,65,52,61,58,47,30,50,36,44,35
4,General aviationd,4793,5196,4712,3995,3590,2739,2242,2197,2110,2064,2021,2056,1908,1840,1902,1905,1837,1727,1716,1741,1619,1671,1523,1654,1568,1480,1440,1470,1470,1224,1221
5,"Highway, total crashese",N,N,N,N,N,N,6471000,6117000,6000000,6106000,6496000,6699000,6770000,6624000,6335000,6279000,6394000,6323000,6316000,6328000,6181000,6159000,5973000,6024000,5811000,5505000,5419000,5338000,5615000,5687000,6064000
6,Passenger car,N,N,N,N,N,N,5560592,5178450,5042203,5040116,5401164,5593685,5598699,5423286,5146124,4915734,4926243,4831842,4802056,4746620,4557453,4498869,4341688,5745000,575000,5211000,5350000,5328000,5577000,5669000,5982000
7,Motorcycle,N,N,N,N,N,N,103114,105030,72177,74565,68752,66354,66224,61451,54477,57322,68783,73342,76004,79131,85557,100686,101474,123000,114000,106000,U,100000,112000,106000,110000
8,"Truckf, light",N,N,N,N,N,N,2152486,2200134,2191171,2407212,2573701,2749596,2880782,2900896,2866729,3079617,3207738,3254105,3272326,3345367,3370062,3381985,3355291,4192000,3963000,3950000,2285000,3625000,3810000,3869000,4184000
9,"Truckf, large",N,N,N,N,N,N,371801,318637,362807,383220,444697,362883,378335,421377,391807,452444,437861,409372,416477,436161,399156,423016,367920,413000,380000,296000,276000,287000,333000,342000,438000
10,Bus,N,N,N,N,N,N,60412,56285,49705,51353,55818,58847,57185,53376,53385,62591,55594,54264,57958,57674,52148,50427,51554,57000,60000,58000,54000,57000,55000,67000,69000
11,"Railroad, totalg",N,N,N,23105,14053,15803,14108,13559,22593,20503,18177,15623,14080,13390,13543,13813,14024,13392,11829,11864,11986,11816,11412,11722,11035,9742,10031,"(R) 9,897","(R) 9,548","(R) 10,041","(R) 10,376"
12,Highway-rail grade crossingh,N,N,N,1153,1219,841,691,709,641,652,683,661,645,556,548,526,607,542,502,470,548,571,551,564,506,428,453,446,(R) 458,515,(R) 532
13,Railroadi,N,N,N,21952,12834,14962,13417,12850,21952,19851,17494,14962,13435,12834,12995,13287,13417,12850,11327,11394,11438,11245,10861,11158,10529,9314,9578,"(R) 9,451","(R) 9,090","(R) 9,526","(R) 9,844"
14,"Transit, totalj",N,N,N,N,N,N,58002,46467,36380,30559,29972,25683,25166,24924,23937,23310,24261,23891,13968,7793,7842,8151,8851,9398,5154,3513,3492,3184,3539,4416,4693
15,Highway-rail grade crossingk,N,N,N,N,N,N,N,N,N,N,N,127,134,119,106,140,148,101,190,125,178,148,141,174,232,190,201,176,160,183,164
16,Transitl,N,N,N,N,N,N,N,N,N,N,N,25556,25032,24805,23831,23170,24113,23790,13778,7668,7664,8003,8710,9224,4922,3323,3291,3008,3379,4233,4529
17,"Waterborne, total",N,N,6385,9618,10137,9676,10024,8795,11631,12461,13649,13368,13286,13551,13828,13457,13143,11377,11713,10601,9866,9946,9565,9885,9545,9188,9889,10425,9813,9789,10112
18,Vessel-relatedm,N,N,2582,3310,4624,3439,3613,2222,5583,6126,6743,5349,5260,5504,5767,5526,5403,4958,6008,5163,4962,4977,4598,4694,4756,4458,5285,5837,5298,5727,6048
19,Recreational boating,2738,3752,3803,6308,5513,6237,6411,6573,6048,6335,6906,8019,8026,8047,8061,7931,7740,6419,5705,5438,4904,4969,4967,5191,4789,4730,4604,4588,4515,4062,4064
20,"Pipeline, total",N,N,1428,1592,1770,517,379,449,389,445,467,349,381,346,389,339,380,341,642,672,671,719,639,(R) 611,659,(R) 627,(R) 587,(R) 592,(R) 573,619,(R) 701
21,Hazardous liquid pipeline,N,N,351,254,246,183,180,216,212,229,245,188,194,171,153,167,146,130,458,434,377,369,354,332,375,342,350,(R) 345,366,401,445
22,Gas pipeline,N,N,1077,1338,1524,334,199,233,177,216,222,161,187,175,236,172,234,211,184,238,294,350,285,(R) 279,284,(R) 285,(R) 237,(R) 247,(R) 207,218,(R) 256
