,Â,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,(P) 2014
0,Total fatalities,69,105,76,51,78,68,42,63,52,63,39,45,38,71,60,35,42,64,18,16,43,69,17,17,41,12,25,20
1,Total seriously injured persons,U,43,44,36,26,19,24,32,14,22,23,10,15,12,24,16,12,17,20,11,20,12,4,3,15,9,16,15
2,Total accidents,152,171,157,107,88,76,69,85,75,90,82,77,74,80,72,60,73,66,65,52,61,58,47,30,50,36,44,35
3,"Total accidents, fatal",24,46,35,29,28,24,19,26,24,29,15,17,12,22,18,18,18,23,11,10,14,20,2,6,16,8,10,8
4,Flight hours (thousands),2526,3618,2570,2249,2241,2844,2324,2465,2486,3220,3098,3802,3204,3930,2997,2911,2927,3238,3815,3742,4033,3408,3064,3113,U,3522,3384,3448
5,"Rates per 100,000 flight hoursb",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
6,Fatalities,2.73,2.90,2.96,2.27,3.48,2.39,1.81,2.56,2.09,1.96,1.26,1.18,1.19,1.81,2.00,1.20,1.43,1.98,0.47,0.43,1.07,2.02,0.55,0.55,U,0.34,0.74,0.58
7,Seriously injured persons,U,1.19,1.71,1.60,1.16,0.67,1.03,1.30,0.56,0.68,0.74,0.26,0.47,0.31,0.80,0.55,0.41,0.53,0.52,0.29,0.50,0.35,0.13,0.10,U,0.26,0.47,0.44
8,Total accidents,6.02,4.73,6.11,4.76,3.93,2.67,2.97,3.45,3.02,2.80,2.65,2.03,2.31,2.04,2.40,2.06,2.49,2.04,1.70,1.39,1.51,1.70,1.53,0.96,U,1.02,1.30,1.02
9,"Total accidents, fatal",0.95,1.27,1.36,1.29,1.25,0.84,0.82,1.05,0.97,0.90,0.48,0.45,0.37,0.56,0.60,0.62,0.61,0.71,0.29,0.27,0.35,0.59,0.07,0.19,U,0.23,0.30,0.23
