,Â,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,(R) 2014,(P) 2015,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,Fatal,AI,Fatal,AI,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,Fatal,Al,
1,TOTAL fatalities,42836,16919,43510,17590,42708,17738,41259,17158,37423,15449,33883,14179,32999,13323,32479,13184,33782,13879,32893,13569,32744,13388,35092,13966.0
2,AI as a percent of total fatalities,Â,39.5,Â,40.4,Â,41.5,Â,41.6,Â,41.3,Â,41.8,Â,40.4,Â,40.6,Â,41.1,Â,41.3,Â,40.9,Â,39.8
3,"Motorist fatalities, TOTAL",37304,14376,37646,14861,36956,14959,35701,14487,32103,12962,28995,11884,27889,11033,27140,10715,28003,11191,27175,10915,26901,10713,28671,10960.0
4,Single-vehicle crashes,18353,8875,18820,9206,18890,9376,18472,9246,17121,8554,15412,7780,14609,7060,14311,7055,14633,7130,14009,6903,13567,6561,13854,6445.0
5,Two-vehicle crashes,15816,4568,15681,4657,15070,4622,14349,4313,12648,3684,11483,3456,11222,3332,10862,3066,11170,3363,10995,3278,11131,3419,12352,3726.0
6,More than two-vehicle crashes,3135,933,3145,999,2996,961,2880,929,2334,723,2100,648,2058,641,1967,595,2200,698,2171,734,2203,734,2465,790.0
7,"Nonmotorist fatalities, TOTAL",5532,2543,5864,2729,5752,2779,5558,2670,5320,2487,4888,2295,5110,2290,5339,2469,5779,2688,5718,2654,5843,2675,6421,3006.0
8,"Pedestrians fatalities, total",4675,2246,4892,2360,4795,2401,4699,2334,4414,2168,4109,1997,4302,2033,4457,2157,4818,2337,4779,2341,4910,2357,5376,2626.0
9,"Pedestrians, single-vehicle crashes",4237,2003,4445,2100,4332,2138,4305,2110,4006,1930,3749,1804,3853,1811,4011,1911,4342,2082,4307,2077,4431,2095,4851,2344.0
10,"Pedestrians, multiple-vehicle crashes",438,243,447,260,463,264,394,224,408,237,360,193,449,222,446,247,476,254,472,265,479,262,525,282.0
11,"Pedalcyclists fatalities, total",727,255,786,308,772,311,701,281,718,265,628,249,623,211,682,255,734,277,749,257,729,255,818,310.0
12,"Pedalcyclists, single-vehicle crashes",698,242,757,292,732,292,673,270,690,249,598,234,603,201,655,240,697,261,723,245,701,242,783,296.0
13,"Pedalcyclists, multiple-vehicle crashes",29,13,29,15,40,19,28,11,28,15,30,15,20,10,27,15,37,16,26,12,28,13,35,14.0
14,Others/unknown,130,41,186,62,185,67,158,56,188,55,151,49,185,46,200,57,227,75,190,56,204,63,227,70.0
