,Â,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"Fatalities, total",5817,8748,7666,9306,9052,8683,9116,9574,10216,10553,10972,11447,12024,12280,12431,12963,13272,13440,13841,13566,13263,11498,10811,10312,9942,10115,"(R) 9,882",9753
1,Light,4856,7486,6689,8601,8391,8098,8511,8904,9568,9932,10249,10705,11265,11526,11723,12274,12546,12674,13037,12761,12458,10816,10312,9782,9302,9418,"(R) 9,187",9096
2,Large,961,1262,977,705,661,585,605,670,648,621,723,742,759,754,708,689,726,766,804,805,805,682,499,530,640,697,(R) 695,657
3,"Injured persons, total",N,N,N,547000,591000,578000,633000,662000,753000,794000,786000,791000,880000,917000,890000,906000,916000,927000,899000,880000,865000,791000,776000,753000,751000,788000,774000,809000
4,Light,N,N,N,505000,563000,545000,601000,631000,722000,761000,755000,763000,847000,887000,861000,879000,889000,900000,872000,857000,841000,768000,759000,733000,728000,762000,750000,782000
5,Large,N,N,N,42000,28000,34000,32000,30000,30000,33000,31000,29000,33000,31000,29000,26000,27000,27000,27000,23000,23000,23000,17000,20000,23000,25000,24000,27000
6,"Trucks involved in crashes, total",N,N,N,2784000,2809000,2853000,3139000,3412000,3568000,3756000,3835000,3805000,4151000,4308000,4348000,4423000,4516000,4570000,4593000,4541000,4605000,4343000,4246000,4051000,3912000,4143000,4211000,4622000
7,Light,N,N,N,2399000,2479000,2477000,2742000,2951000,3191000,3363000,3397000,3393000,3677000,3851000,3918000,3988000,4059000,4154000,4151000,4156000,4192000,3963000,3950000,3775000,3625000,3810000,3869000,4184000
8,Large,N,N,N,385000,331000,376000,397000,460000,377000,394000,438000,412000,475000,457000,429000,434000,457000,416000,442000,385000,413000,380000,296000,276000,287000,333000,342000,438000
9,"Vehicle-miles (millions), total",285604,403966,512283,701901,745467,795781,835241,881731,928127,970226,1016373,1058331,1103355,1145739,1182329,1225362,1260320,1317910,1355087,1379210,1440539,1416562,1411215,1427267,"(R) 1,548,242","(R) 1,555,781","(R) 1,568,553",1593590
10,Light,204274,295475,388779,555659,595924,642397,675353,711515,749971,787255,824896,861951,900667,940219,973401,1010759,1042444,1097099,1132564,1156697,1136361,1105882,1122909,1140740,"(R) 1,280,648","(R) 1,286,574","(R) 1,293,536",1314458
11,Large,81330,108491,123504,146242,149543,153384,159888,170216,178156,182971,191477,196380,202688,205520,208928,214603,217876,220811,222523,222513,304178,310680,288306,286527,267594,269207,"(R) 275,017",279132
12,Rates per 100 million vehicle-miles,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
13,Fatalities,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
14,Light,2.4,2.5,1.7,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.0,0.9,0.9,0.7,0.7,0.7,0.7
15,Large,1.2,1.2,0.8,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2
16,Injured persons,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
17,Light,N,N,N,90.9,94.5,84.8,89.0,88.7,96.3,96.7,91.5,88.5,94.0,94.3,88.5,87.0,85.3,82.0,77.0,74.1,74.0,69.4,67.6,64.3,56.8,59.2,58.0,59.5
18,Large,N,N,N,28.7,18.7,22.2,20.0,17.6,16.8,18.0,16.2,14.8,16.3,15.1,13.9,12.1,12.4,12.2,12.1,10.3,7.6,7.4,5.9,7.0,8.6,9.3,8.7,9.7
19,Trucks involved in crashes,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
20,Light,N,N,N,432,416,386,406,415,425,427,412,394,408,410,403,395,389,379,367,359,369,358,352,331,283,296,299,318
21,Large,N,N,N,263,221,245,248,270,212,215,229,210,234,222,205,202,210,188,199,173,136,122,103,96,107,124,124,157
