,Â,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Total fatalities,43825,44599,41508,39250,40150,40716,41817,42065,42013,41501,41717,41945,42196,43005,42884,42836,43510,42708,41259,37423,33883,32999,32479,33782,32719,32675
1,Fatalities in alcohol-related crashes (BAC = .01+),21098,20607,18307,16401,16039,15626,15893,15866,14973,14899,14790,15746,15731,15793,15423,15311,15985,15970,15534,13826,12731,11906,11527,12118,11896,11731
2,Percent,48.14,46.21,44.10,41.79,39.95,38.38,38.01,37.72,35.64,35.90,35.45,37.54,37.28,36.72,35.96,35.74,36.74,37.39,37.65,36.95,37.57,36.08,35.49,35.87,36.36,35.90
3,BAC = 0.00,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Number,22589,23823,23025,22726,23979,24948,25768,26052,26902,26477,26798,26082,26334,27080,27328,27413,27423,26633,25611,23499,21051,21005,20848,21563,20713,20856
5,Percent,51.54,53.42,55.47,57.90,59.72,61.27,61.62,61.93,64.03,63.80,64.24,62.18,62.41,62.97,63.73,64.00,63.03,62.36,62.07,62.79,62.13,63.65,64.19,63.83,63.31,63.83
6,BAC = 0.01 - 0.07,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,Number,2974,2901,2480,2352,2300,2236,2416,2415,2216,2353,2235,2422,2441,2321,2327,2212,2404,2479,2494,2115,1972,1771,1662,1782,1820,1764
8,Percent,6.79,6.50,5.97,5.99,5.73,5.49,5.78,5.74,5.27,5.67,5.36,5.77,5.78,5.40,5.43,5.16,5.53,5.80,6.04,5.65,5.82,5.37,5.12,5.27,5.56,5.40
9,BAC = 0.08+,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,Number,18125,17705,15827,14049,13739,13390,13478,13451,12757,12546,12555,13324,13290,13472,13096,13099,13582,13491,13041,11711,10759,10136,9865,10336,10076,9967
11,Percent,41.36,39.70,38.13,35.79,34.22,32.89,32.23,31.98,30.36,30.23,30.10,31.77,31.50,31.33,30.54,30.58,31.22,31.59,31.61,31.29,31.75,30.72,30.37,30.60,30.80,30.50
