,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(P) 2013,(P) 2014
0,"All transit rail, total",186,152,159,171,196,197,167,202,143,168,162,125,184,121,181,167,176,182,201,160
1,Transit only,169,145,147,145,175,177,154,178,122,138,101,92,140,103,150,144,158,149,185,140
2,Grade crossing,17,7,12,26,21,20,13,24,21,29,58,33,44,18,31,23,18,33,16,20
3,"Light rail, total",15,6,3,23,17,30,21,13,17,22,19,17,32,14,32,21,31,40,33,39
4,Transit only,N,N,N,N,N,18,20,12,13,12,9,9,21,7,18,12,24,25,25,25
5,Grade crossing,N,N,N,N,N,12,1,1,4,10,10,8,11,7,14,9,7,15,8,14
6,"Heavy rail, total",79,74,77,54,84,80,59,73,49,59,35,23,32,32,96,87,88,97,108,93
7,Transit only,N,N,N,N,N,80,58,73,48,58,35,22,30,30,95,87,88,97,108,92
8,Grade crossing,N,N,N,N,N,0,1,0,1,1,0,1,2,2,1,0,0,0,0,1
9,"Automated guideway, total",N,N,N,N,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,1
10,Transit only,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,1,1,1
11,Grade crossing,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0
12,"Commuter rail, total",92,72,79,94,95,87,87,116,77,86,105,85,120,74,53,59,57,44,59,27
13,Transit only,N,N,N,N,N,79,76,93,61,68,57,61,89,66,37,45,46,26,51,22
14,Grade crossing,N,N,N,N,N,8,11,23,16,18,48,24,31,8,16,14,11,18,8,5
