,"Reported Offenses, Violent Crime",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,Homicidea,19,20,19,51,21,12,16,0,4,1,1,2,4,9,9,14,11,14
1,Motor bus,8,9,6,40,7,7,8,0,2,0,1,0,4,3,4,6,4,8
2,Commuter rail,1,1,4,1,3,1,2,0,1,0,0,2,0,0,0,0,0,0
3,Demand responsive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Heavy rail,8,9,8,6,11,4,4,0,1,1,0,0,0,4,4,7,6,4
5,Light rail,2,1,1,4,0,0,2,0,0,0,0,0,0,2,1,1,1,2
6,Otherb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Forcible rapec,29,38,31,47,27,37,37,65,25,24,23,5,1,4,3,6,7,12
8,Motor bus,11,13,10,16,14,10,7,40,2,7,11,1,0,1,0,2,2,3
9,Commuter rail,5,4,7,1,3,3,5,1,3,0,2,0,0,1,0,0,3,0
10,Demand responsive,0,0,2,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0
11,Heavy rail,13,19,8,24,8,20,9,20,15,12,4,3,0,2,1,2,1,9
12,Light rail,0,2,4,2,0,4,2,4,5,4,6,1,1,0,2,2,0,0
13,Otherb,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0
14,Robberyd,2811,4563,4760,3684,3789,3480,3308,1641,1408,1561,1656,2222,2634,2799,2849,2077,99,124
15,Motor bus,909,871,870,605,764,916,953,386,369,476,535,730,800,882,915,611,20,22
16,Commuter rail,181,242,187,133,183,144,144,89,29,44,107,126,110,91,92,76,9,15
17,Demand responsive,1,3,0,1,3,4,4,7,1,0,2,14,1,5,4,1,0,0
18,Heavy rail,1490,3164,3394,2686,2588,2174,1966,864,762,676,630,861,1196,1239,1302,1000,58,69
19,Light rail,181,238,222,220,200,213,217,287,236,353,377,463,486,554,512,352,12,18
20,Otherb,49,45,87,39,51,29,24,8,11,12,5,28,41,28,24,37,0,0
21,Aggravated assaulte,2701,3084,3105,2314,2448,2217,2286,2560,1638,1330,1332,1768,2066,310,300,0,0,0
22,Motor bus,1941,1677,1294,1186,1268,1070,1146,1383,957,774,760,1007,1263,205,192,0,0,0
23,Commuter rail,133,69,92,80,97,58,109,102,33,78,115,172,107,3,4,0,0,0
24,Demand responsive,6,13,13,13,14,16,8,24,4,3,6,19,11,0,0,0,0,0
25,Heavy rail,437,1074,1051,837,903,839,786,815,395,279,249,334,421,60,68,0,0,0
26,Light rail,157,199,143,170,135,208,187,227,220,184,177,217,235,35,33,0,0,0
27,Otherb,27,52,512,28,31,26,50,9,29,12,25,19,29,7,3,0,0,0
28,"Reported Offenses, Property Crime",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
29,Theftf,10596,13238,14486,11830,12896,13393,13636,12843,8146,7847,6007,6409,7943,8446,9267,5959,4,6
30,Motor bus,2738,3408,2920,2327,2487,2548,2826,2631,1846,1787,1593,1520,1560,1996,2236,1587,0,2
31,Commuter rail,2238,2262,2345,2021,1872,2139,2001,1912,563,730,1224,1449,1293,1255,1078,1001,4,4
32,Demand responsive,2,8,40,15,4,19,5,42,8,4,2,13,1,9,8,8,0,0
33,Heavy rail,4625,6794,8321,6807,7789,7856,7807,7158,4802,4396,2204,2527,4121,4053,4695,2504,0,0
34,Light rail,451,609,479,496,530,724,706,1055,877,915,856,847,919,1108,1202,810,0,0
35,Otherb,542,157,381,164,214,107,291,45,50,15,128,53,49,25,48,49,0,0
36,Vehicle theftg,2182,2261,2276,2225,1876,2112,1909,2117,1800,1584,1361,1051,1756,1442,1008,547,1,1
37,Motor bus,263,306,198,208,198,169,213,222,149,169,382,229,206,172,125,141,0,0
38,Commuter rail,253,125,262,470,272,367,308,152,67,63,54,126,84,78,38,20,1,1
39,Demand responsive,0,1,3,9,28,6,6,5,3,1,0,8,0,5,0,3,0,0
40,Heavy rail,1536,1694,1630,1234,1203,1285,1143,1426,1267,966,490,388,1140,902,583,140,0,0
41,Light rail,128,135,179,273,156,279,226,310,306,385,434,298,322,277,254,240,0,0
42,Otherb,2,0,4,31,19,6,13,2,8,0,1,2,4,8,8,3,0,0
43,Burglaryh,1759,1650,1757,491,415,563,625,467,429,601,393,681,2947,1338,1278,1289,1,0
44,Motor bus,156,104,94,75,86,142,120,95,79,160,142,100,2125,76,63,27,0,0
45,Commuter rail,178,177,260,217,170,191,188,78,83,96,112,154,94,71,45,25,0,0
46,Demand responsive,2,0,4,3,1,6,2,2,2,1,1,1,1,0,1,0,0,0
47,Heavy rail,1367,1278,1343,110,91,82,119,95,53,40,25,54,525,1005,1045,266,0,0
48,Light rail,43,78,48,70,42,131,180,197,212,303,105,367,195,182,123,970,1,0
49,Otherb,13,13,8,16,25,11,16,0,0,1,8,5,7,4,1,1,0,0
50,Arsoni,63,96,75,60,53,50,44,23,23,42,27,26,26,0,1,0,2,1
51,Motor bus,29,67,33,21,15,24,12,8,9,23,11,13,8,0,1,0,0,1
52,Commuter rail,14,1,21,10,12,6,9,8,3,2,2,1,3,0,0,0,0,0
53,Demand responsive,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,Heavy rail,14,22,16,27,20,16,15,4,10,7,2,5,8,0,0,0,2,0
55,Light rail,6,6,5,2,6,4,8,0,1,10,12,6,5,0,0,0,0,0
56,Otherb,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0
57,"Reported Offenses, Arrests",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
58,Other assaultsj,2991,3088,2697,2787,2641,2799,2441,1589,1752,1546,1530,2141,2266,2748,2702,2139,780,916
59,Motor bus,1896,1571,1439,1400,1217,1159,1024,715,800,710,703,1023,954,1209,1152,1065,358,415
60,Commuter rail,144,106,140,122,164,142,156,72,37,136,181,196,245,217,221,229,39,30
61,Demand responsive,4,0,16,3,4,3,6,12,2,3,3,29,47,38,28,6,0,0
62,Heavy rail,645,932,881,898,888,1085,999,662,750,572,462,630,708,860,852,502,295,379
63,Light rail,181,330,195,282,269,354,204,101,153,107,164,214,248,344,376,317,87,90
