,Â,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,(R) 2011,(R) 2012,(R) 2013,(P) 2014,(P) 2015
0,Passengers on trains,593,657,473,382,411,559,497,573,513,601,535,481,658,746,877,727,703,959,935,1516,1338,1208,1369,1582,1588,1695,1427,1605
1,Railroad only,569,646,462,360,329,515,413,543,489,558,516,438,648,726,851,653,675,926,840,1444,1237,1147,1255,1337,1409,1586,1349,1425
2,Grade crossing,24,11,11,22,82,44,84,30,24,43,19,43,10,20,26,74,28,33,95,72,101,61,114,245,179,109,78,180
3,Employees on duty,56331,29822,20970,19626,17755,15363,13080,10777,9199,8595,8398,8622,8423,7815,6644,6258,6022,5822,5275,5462,5000,4500,4411,4228,3991,4292,4471,4332
4,Railroad only,56186,29667,20801,19479,17598,15220,12955,10654,9120,8484,8276,8482,8323,7718,6534,6182,5906,5711,5179,5461,4999,4498,4408,4224,3986,4286,4464,4324
5,Grade crossing,145,155,169,147,157,143,125,123,79,111,122,140,100,97,110,76,116,111,96,1,1,2,3,4,5,6,7,8
6,Employees not on duty,671,419,326,362,310,348,306,252,228,263,219,216,286,209,213,226,200,172,169,177,160,148,134,124,87,123,131,139
7,Railroad only,669,418,324,362,309,347,305,248,226,260,216,215,283,208,213,226,196,169,167,176,159,148,134,124,87,122,130,139
8,Grade crossing,2,1,2,0,1,1,1,4,2,3,3,1,3,1,0,0,4,3,2,1,1,0,0,0,0,1,1,0
9,Contractor employees,74,110,242,219,226,262,252,269,208,334,380,384,368,383,375,372,360,415,209,445,439,359,445,439,360,433,453,417
10,Railroad only,74,109,240,216,224,261,251,268,208,333,379,384,367,380,374,370,359,413,209,415,436,356,443,437,358,432,452,417
11,Grade crossing,0,1,2,3,2,1,1,1,0,1,1,0,1,3,1,2,1,2,0,30,3,3,2,2,2,1,1,0
12,Nontrespassersa,3849,2562,2339,2110,1909,1856,1913,1869,1660,1540,1236,1342,1294,1201,2380,1058,1247,1495,1295,1373,1435,1248,1391,1477,1789,1512,1549,1637
13,Railroad only,384,285,349,423,408,432,475,372,431,370,243,335,381,388,1732,393,553,858,597,803,882,865,930,965,1300,964,1047,1166
14,Grade crossing,3465,2277,1990,1687,1501,1424,1438,1497,1229,1170,993,1007,913,813,648,665,694,637,698,570,553,383,461,512,489,548,502,471
15,Trespassers,728,734,793,769,772,733,764,700,750,728,677,650,606,627,609,616,657,684,707,688,689,569,621,583,634,666,652,688
16,Railroad only,474,492,560,534,540,509,452,461,474,516,513,445,414,404,395,398,406,420,477,407,432,345,390,366,410,434,424,416
17,Grade crossing,254,242,233,235,232,224,312,239,276,212,164,205,192,223,214,218,251,264,230,281,257,224,231,217,224,232,228,272
18,Volunteer employees,N,N,N,N,N,N,N,N,N,6,14,5,8,4,5,7,5,1,6,6,4,5,5,1,2,3,6,3
19,Railroad only,N,N,N,N,N,N,N,N,N,6,13,5,8,4,5,7,5,1,6,6,4,5,5,1,1,3,6,3
20,Grade crossing,N,N,N,N,N,N,N,N,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,"Railroad only and grade crossing, total",62246,34304,25143,23468,21383,19121,16812,14440,12558,12067,11459,11700,11643,10985,11103,9264,9194,9548,8596,9667,9065,8037,8376,8434,8451,8724,8689,8821
22,Railroad only,58356,31617,22736,21374,19408,17284,14851,12546,10948,10521,10143,10299,10416,9824,10099,8222,8095,8497,7469,8706,8145,7359,7560,7454,7551,7827,7872,7890
23,Grade crossingb,3890,2687,2407,2094,1975,1837,1961,1894,1610,1540,1302,1396,1219,1157,999,1035,1094,1050,1121,955,916,673,811,980,899,897,817,931
24,Motor vehiclesb,3739,2561,2332,2029,1891,1760,1885,1825,1545,1494,1257,1338,1169,1110,939,1000,1058,1008,1037,1022,926,698,820,984,916,900,789,929
25,Non-motor vehiclesb,151,126,75,65,84,77,76,69,65,46,46,58,50,47,60,35,36,47,35,41,67,46,68,61,59,73,77,74
