,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Fatalitiesa,739,1360,1418,1466,1360,1116,865,924,816,800,784,829,709,821,815,734,701,681,750,703,676,697,710,685,709,736,672,758,651,560,610,626
1,Injuries,929,927,780,2136,2650,2757,3822,3967,3683,3559,4084,4141,4442,4555,4612,4315,4355,4274,4062,3888,3363,3451,3474,3673,3331,3358,3153,3081,3000,2620,2678,2613
2,Accidents,2738,3752,3803,6308,5513,6237,6411,6573,6048,6335,6906,8019,8026,8047,8061,7931,7740,6419,5705,5438,4904,4969,4967,5191,4789,4730,4604,4588,4515,4062,4064,4158
3,Vessels involved,3562,4778,4762,8002,6954,8305,8591,8821,8206,8688,9722,11534,11306,11396,11368,11190,10984,8974,7907,7363,6725,6628,6753,6932,6347,6190,6062,5939,5900,5458,5333,5560
4,Numbered boats (thousands)b,2500,4138,5128,7303,8578,9589,10996,11068,11132,11283,11430,11735,11878,12313,12566,12738,12782,12876,12854,12795,12781,12942,12746,12876,12693,12722,12439,12174,12102,12013,11804,11867
5,"Rates per 100,000 numbered boats",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
6,Fatalities,29.6,32.9,27.7,20.1,15.9,11.6,7.9,8.3,7.3,7.1,6.9,7.1,6.0,6.7,6.5,5.8,5.5,5.3,5.8,5.5,5.3,5.4,5.6,5.3,5.6,5.8,5.4,6.2,5.4,4.7,5.2,5.3
7,Injuries,37.2,22.4,15.2,29.2,30.9,28.8,34.8,35.8,33.1,31.5,35.7,35.3,37.4,37.0,36.7,33.9,34.1,33.2,31.6,30.4,26.3,26.7,27.3,28.5,26.2,26.4,25.3,25.3,24.8,21.8,22.7,22.0
8,Accidents,109.5,90.7,74.2,86.4,64.3,65.0,58.3,59.4,54.3,56.1,60.4,68.3,67.6,65.4,64.1,62.3,60.6,49.9,44.4,42.5,38.4,38.4,39.0,40.3,37.7,37.2,37.0,37.7,37.3,33.8,34.4,35.0
9,Accident reports citing alcohol involvementc,N,N,N,N,N,279,568,513,504,381,389,472,601,698,704,633,696,375,357,362,331,402,403,421,387,397,395,361,368,305,345,306
10,Property damage (current $ millions)d,3.2,4.7,8.2,10.4,16.4,20.0,23.8,24.8,34.8,20.2,25.9,21.5,23.2,29.0,31.0,28.9,34.7,31.3,39.2,40.4,35.0,38.7,43.7,53.1,54.3,35.9,35.6,52.2,38.0,39.2,38.9,41.8
