,Â,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,Cases,60775,53097,52782,53294,53026,53899,49704,43553,41096,37218,39844,40214.0,39457.0,36763.0,31622.0,32540.0,29799.0,28320.0,27092.0,24209.0,23530.0,22226.0,20515.0,19788.0,17801.0
1,Responsesa,70237,64971,66409,69856,69784,70337,63679,55710,52141,46602,50622,48226.0,49502.0,46643.0,51391.0,59998.0,52744.0,45900.0,47511.0,44925.0,47464.0,46348.0,43933.0,43864.0,38325.0
2,Sortiesa,88449,84033,84872,88388,88147,108758,110267,98423,91722,83307,89635,57697.0,59015.0,54609.0,33426.0,33107.0,29860.0,29826.0,25411.0,25507.0,24654.0,23159.0,21568.0,21601.0,19426.0
3,Search and Rescue resource hoursb,U,108282,109351,108639,107441,102749,93984,85150,80507,80116,84635,80533.0,85008.0,75841.0,65182.0,65876.0,77888.0,60248.0,55312.0,62713.0,59245.0,61616.0,56233.0,59583.0,53911.0
4,Lives savedc,6497,4407,5465,17543,5826,23211,4453,5047,3897,3194,3743,3400.0,4010.0,3661.0,5196.0,5565.0,5650.0,5298.0,5216.0,4898.0,4861.0,4346.0,3793.0,4027.0,3768.0
5,"Lives lost, total",1335,1085,1116,939,1215,931,772,978,744,606,533,1018.0,710.0,635.0,673.0,783.0,846.0,787.0,795.0,825.0,816.0,818.0,734.0,713.0,653.0
6,"Lives lost before notificationd,e",259,622,748,540,800,593,468,611,454,418,353,779.0,413.0,399.0,412.0,502.0,523.0,479.0,492.0,534.0,555.0,552.0,480.0,429.0,428.0
7,Lives lost after notificationf,1076,463,368,399,415,338,304,367,290,188,180,239.0,297.0,236.0,261.0,281.0,323.0,308.0,303.0,291.0,261.0,266.0,254.0,284.0,225.0
8,Lives unaccounted forg,U,U,U,U,U,U,U,U,U,U,U,304.0,515.0,344.0,496.0,691.0,603.0,664.0,733.0,435.0,579.0,411.0,392.0,440.0,251.0
9,Persons otherwise assisted,138791,117327,113704,121826,119069,116912,101357,85869,75357,66138,70255,54866.0,59910.0,46503.0,38579.0,42008.0,41551.0,44757.0,35797.0,31841.0,34425.0,33411.0,32429.0,27042.0,26249.0
10,"Value of property lost ($ million)h,i",424.3,368.5,213.6,314.5,316.2,435.5,222.6,273.8,414.8,84.3,262.3,415.2,441.0,76.0,19.6,53.5,97.0,32.8,121.7,1141.5,114.4,194.3,92.7,53.8,385.9
11,Value of property assisted ($ million),2376.8,2044.9,2282.4,1951.4,2491.8,2891.2,4467.2,3494.2,1762.1,1288.2,1235.0,778.8,1501.0,1589.0,478.8,778.4,1661.8,778.4,995.6,1249.0,915.9,779.8,1461.9,604.8,506.8
12,Property loss prevented ($ million),905.4,1673.4,1799.3,1550.1,2144.7,2628.4,3882.8,3087.3,1353.5,996.8,1019.0,84.3,73.0,68.0,106.7,238.7,146.4,111.0,113.1,148.0,94.9,87.0,83.1,123.4,65.2
13,Value of property unaccounted for ($ million)j,U,U,U,U,U,U,U,U,U,U,U,2.1,4.4,3.2,4.8,2.9,2.1,3.6,5.9,2.4,10.2,5.1,9.8,5.9,4.4
