,Â,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,2014
0,TOTAL U.S. GDP,11034.9,11525.9,12065.9,12559.7,12682.2,12908.8,13271.1,13773.5,14234.2,14613.8,14873.7,14830.4,14418.7,14783.8,15020.6,15354.6,15583.3,15961.7
1,"For-hire transportation services GDP, total",357.4,370.4,373.8,379.9,354.5,343.2,357.1,392.2,414.4,439.9,434.4,433.9,398.8,421.4,436.5,439.7,442,445.7
2,Air transportation,82.6,78.4,78.0,69.0,48.0,48.4,51.8,62.1,66.0,69.4,74.6,67.4,63.7,70.1,68.9,64.6,67.5,66
3,Rail transportation,31.6,32.5,33.9,35.2,34.0,30.8,33.4,35.5,36.2,37.3,36.9,38.5,33.7,34.4,35.3,36.3,36.5,37.5
4,Water transportation,5.8,4.5,3.7,4.6,4.2,3.2,3.3,4.3,5.6,8.9,11.8,13.9,16.6,13.9,15.8,16.0,19.6,19
5,Truck transportation,107.6,110.6,116.1,120.9,113.2,111.5,114.6,122.1,126.2,133.6,129.6,123.3,109.3,119.8,129.7,132.5,128.8,129.2
6,Transit and ground passenger transportation,23.9,24.9,27.2,28.0,27.7,27.5,28.2,29.2,29.0,30.4,30.5,30.0,27.2,27.3,28.1,27.9,27,27.7
7,Pipeline transportation,6.6,9.0,10.5,10.5,16.8,10.4,11.8,12.8,12.7,13.0,15.4,19.5,14.0,17.3,17.7,19.5,19,20.2
8,Other transportation and support activities,79.8,86.3,81.5,86.0,87.2,89.0,89.2,94.6,100.4,103.7,93.5,96.2,88.4,91.0,91.6,89.8,88.6,89.1
9,Warehousing and storage,25.5,29.5,28.6,30.6,29.0,29.5,31.7,37.3,42.7,45.9,43.6,46.3,45.9,47.8,50.4,55.4,57.8,60.2
10,Percent of U.S. GDP,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
11,For-hire transportation services,3.24,3.21,3.10,3.02,2.80,2.66,2.69,2.85,2.91,3.01,2.92,2.93,2.77,2.85,2.91,2.86,2.84,2.79
12,Air transportation,0.75,0.68,0.65,0.55,0.38,0.37,0.39,0.45,0.46,0.47,0.50,0.45,0.44,0.47,0.46,0.42,0.43,0.41
13,Rail transportation,0.29,0.28,0.28,0.28,0.27,0.24,0.25,0.26,0.25,0.26,0.25,0.26,0.23,0.23,0.24,0.24,0.23,0.23
14,Water transportation,0.05,0.04,0.03,0.04,0.03,0.02,0.02,0.03,0.04,0.06,0.08,0.09,0.12,0.09,0.11,0.10,0.13,0.12
15,Truck transportation,0.98,0.96,0.96,0.96,0.89,0.86,0.86,0.89,0.89,0.91,0.87,0.83,0.76,0.81,0.86,0.86,0.83,0.81
16,Transit and ground passenger transportation,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.20,0.21,0.21,0.20,0.19,0.18,0.19,0.18,0.17,0.17
17,Pipeline transportation,0.06,0.08,0.09,0.08,0.13,0.08,0.09,0.09,0.09,0.09,0.10,0.13,0.10,0.12,0.12,0.13,0.12,0.13
18,Other transportation and support activities,0.72,0.75,0.68,0.68,0.69,0.69,0.67,0.69,0.71,0.71,0.63,0.65,0.61,0.62,0.61,0.58,0.57,0.56
19,Warehousing and storage,0.23,0.26,0.24,0.24,0.23,0.23,0.24,0.27,0.30,0.31,0.29,0.31,0.32,0.32,0.34,0.36,0.37,0.38
20,Percent of for-hire transportation services GDP,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
21,Air transportation,23.11,21.17,20.87,18.16,13.54,14.10,14.51,15.83,15.93,15.78,17.17,15.53,15.97,16.64,15.78,14.69,15.27,14.81
22,Rail transportation,8.84,8.77,9.07,9.27,9.59,8.97,9.35,9.05,8.74,8.48,8.49,8.87,8.45,8.16,8.09,8.26,8.26,8.41
23,Water transportation,1.62,1.21,0.99,1.21,1.18,0.93,0.92,1.10,1.35,2.02,2.72,3.20,4.16,3.30,3.62,3.64,4.43,4.26
24,Truck transportation,30.11,29.86,31.06,31.82,31.93,32.49,32.09,31.13,30.45,30.37,29.83,28.42,27.41,28.43,29.71,30.13,29.14,28.99
25,Transit and ground passenger transportation,6.69,6.72,7.28,7.37,7.81,8.01,7.90,7.45,7.00,6.91,7.02,6.91,6.82,6.48,6.44,6.35,6.11,6.21
26,Pipeline transportation,1.85,2.43,2.81,2.76,4.74,3.03,3.30,3.26,3.06,2.96,3.55,4.49,3.51,4.11,4.05,4.43,4.30,4.53
27,Other transportation and support activities,22.33,23.30,21.80,22.64,24.60,25.93,24.98,24.12,24.23,23.57,21.52,22.17,22.17,21.59,20.99,20.42,20.05,19.99
28,Warehousing and storage,7.13,7.96,7.65,8.05,8.18,8.60,8.88,9.51,10.30,10.43,10.04,10.67,11.51,11.34,11.55,12.60,13.08,13.51
