,Â,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,(R) 2014,2015
0,Gross Domestic Demand,12065.9,12559.7,12682.2,12908.8,13271.1,13773.5,14234.2,14613.8,14873.7,14830.4,14418.7,14783.8,15020.6,15354.6,15612.2,15982.3,16397.2
1,Total domestic transportation-related final demand,1354.4,1347.9,1336.2,1358.1,1350.9,1368.8,1374.3,1371.9,1392.6,1284.7,1175.6,1251.2,1288.8,1343.6,1382.7,1431.8,1484.8
2,Total transportation in GDD (percent),11.2,10.7,10.5,10.5,10.2,9.9,9.7,9.4,9.4,8.7,8.2,8.5,8.6,8.8,8.9,9.0,9.1
3,"Personal consumption of transportation, total",923.6,945.0,960.3,971.2,984.7,1007.9,1007.7,994.6,1005.0,924.5,867.0,870.4,882.6,910.8,942.1,980.1,1020.7
4,Motor vehicles and parts,335.8,346.4,364.1,383.3,394.6,405.5,400.0,385.1,392.8,340.8,317.1,323.4,333.8,359.1,375.7,399.5,419.4
5,"Motor vehicle fuels, lubricants, and fluids",270.3,265.8,265.7,267.1,267.2,270.9,273.0,274.0,273.2,262.4,260.2,259.9,254.7,252.5,257.6,257.7,266.6
6,Transportation services,317.5,332.8,330.5,320.8,322.9,331.5,334.7,335.5,339.0,321.3,289.7,287.1,294.1,299.2,308.8,322.9,334.7
7,"Gross private domestic investment, total",217.0,212.9,193.6,175.4,162.5,184.3,205.8,221.9,213.0,166.9,79.7,146.7,192.3,229.3,253.4,282.1,314.4
8,Transportation structures,8.6,8.8,8.7,8.2,7.7,7.8,7.9,9.3,9.4,10.0,9.1,9.8,9.3,10.4,10.4,11.2,12.2
9,Transportation equipment,208.4,204.1,184.9,167.2,154.8,176.5,197.9,212.6,203.6,156.9,70.6,136.9,183.0,218.9,243.0,270.9,302.2
10,"Government transportation-related purchases, total",275.7,283.0,297.1,304.8,315.8,308.3,296.5,291.3,288.7,287.4,297.1,297.9,289.0,277.1,269.9,274.0,289.1
11,Federal purchasesa,25.5,25.3,26.9,31.2,35.3,33.2,33.3,34.0,32.6,35.3,35.9,37.8,38.6,38.9,35.8,35.6,36.9
12,State and local purchasesa,237.5,245.5,257.5,261.0,261.0,256.0,245.5,241.6,235.5,232.5,238.7,236.0,228.1,221.4,220.7,225.8,240.4
13,Defense-related purchasesb,12.7,12.2,12.7,12.6,19.5,19.1,17.7,15.7,20.6,19.6,22.5,24.1,22.3,16.8,13.4,12.6,11.8
14,Others,-61.9,-93.0,-114.8,-93.3,-112.1,-131.7,-135.7,-135.9,-114.1,-94.1,-68.2,-63.8,-75.1,-73.6,-82.7,-104.4,-139.4
15,Exports & Imports,-74.2,-104.7,-105.6,-110.5,-125.0,-139.3,-132.8,-135.2,-117.0,-81.9,-35.3,-75.5,-76.3,-94.1,-98.9,-112.1,-146.3
16,Private Inventories,12.3,11.7,-9.2,17.2,12.9,7.6,-2.9,-0.7,2.9,-12.2,-32.9,11.7,1.2,20.5,16.2,7.7,6.9
