,Â,(R) 1991,(R) 1992,(R) 1993,(R) 1994,(R) 1995,(R) 1996,(R) 1997,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,(R) 2014,2015
0,Total GDP,6174.0,6539.0,6879.0,7309.0,7664.0,8100.0,8609.0,9089.0,9661.0,10285.0,10622.0,10978.0,11511.0,12275.0,13094.0,13856.0,14478.0,14719.0,14419.0,14964.0,15518.0,16155.0,16692.0,17393.0,18037.0
1,Housing,1177.0,1257.0,1345.0,1446.0,1511.0,1608.0,1688.0,1807.0,1932.0,2053.0,2183.0,2291.0,2447.0,2663.0,2910.0,3017.0,2950.0,2849.0,2735.0,2763.0,2831.0,2936.0,3087.0,3245.0,3439.0
2,Percent of total,19.1,19.2,19.6,19.8,19.7,19.8,19.6,19.9,20.0,20.0,20.6,20.9,21.3,21.7,22.2,21.8,20.4,19.4,19.0,18.5,18.2,18.2,18.5,18.7,19.1
3,Healthcare,748.0,815.0,862.0,902.0,950.0,997.0,1055.0,1123.0,1187.0,1276.0,1386.0,1513.0,1627.0,1745.0,1866.0,1981.0,2119.0,2229.0,2314.0,2400.0,2507.0,2607.0,2667.0,2799.0,2970.0
4,Percent of total,12.1,12.5,12.5,12.3,12.4,12.3,12.3,12.4,12.3,12.4,13.0,13.8,14.1,14.2,14.3,14.3,14.6,15.1,16.0,16.0,16.2,16.1,16.0,16.1,16.5
5,Food,724.0,751.0,762.0,804.0,807.0,858.0,876.0,898.0,946.0,1000.0,1040.0,1067.0,1113.0,1175.0,1238.0,1304.0,1378.0,1453.0,1450.0,1495.0,1567.0,1634.0,1668.0,1734.0,1761.0
6,Percent of total,11.7,11.5,11.1,11.0,10.5,10.6,10.2,9.9,9.8,9.7,9.8,9.7,9.7,9.6,9.5,9.4,9.5,9.9,10.1,10.0,10.1,10.1,10.0,10.0,9.8
7,Transportation,596.0,638.0,683.0,742.0,772.0,828.0,896.0,931.0,1009.0,1060.0,1053.0,1075.0,1097.0,1161.0,1248.0,1312.0,1391.0,1360.0,1176.0,1320.0,1467.0,1560.0,1608.0,1661.0,1631.0
8,Percent of total,9.7,9.8,9.9,10.2,10.1,10.2,10.4,10.2,10.4,10.3,9.9,9.8,9.5,9.5,9.5,9.5,9.6,9.2,8.2,8.8,9.5,9.7,9.6,9.6,9.0
9,Education,387.0,411.0,430.0,454.0,486.0,516.0,551.0,587.0,630.0,683.0,732.0,757.0,791.0,835.0,880.0,935.0,999.0,1053.0,1075.0,1090.0,1103.0,1113.0,1130.0,1163.0,1203.0
10,Percent of total,6.3,6.3,6.2,6.2,6.3,6.4,6.4,6.5,6.5,6.6,6.9,6.9,6.9,6.8,6.7,6.7,6.9,7.2,7.5,7.3,7.1,6.9,6.8,6.7,6.7
11,Other,2542.0,2667.0,2798.0,2960.0,3138.0,3294.0,3543.0,3744.0,3956.0,4213.0,4228.0,4275.0,4436.0,4697.0,4951.0,5307.0,5640.0,5775.0,5669.0,5896.0,6043.0,6305.0,6531.0,6791.0,7033.0
12,Percent of total,41.2,40.8,40.7,40.5,40.9,40.7,41.2,41.2,41.0,41.0,39.8,38.9,38.5,38.3,37.8,38.3,39.0,39.2,39.3,39.4,38.9,39.0,39.1,39.0,39.0
