,Â,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Passenger-miles (billions),"(R) 4,585","(R) 4,710","(R) 4,841","(R) 5,117","(R) 5,128","(R) 5,225","(R) 5,298","(R) 5,478","(R) 5,537","(R) 5,598","(R) 5,646","(R) 5,543","(R) 4,853","(R) 4,869","(R) 4,867","(R) 4,917","(R) 4,960",5043
1,Index (2012 = 100),(R) 93,(R) 96,(R) 98,(R) 104,(R) 104,(R) 106,(R) 108,(R) 111,(R) 113,(R) 114,(R) 115,(R) 113,(R) 99,(R) 99,(R) 99,(R) 100,(R) 101,103
2,Ton-miles (billions),5445,5464,5483,5501,5520,5539,5579,5619,5659,5699,5740,5998,5468,5690,5899,U,U,U
3,Index (2007 = 100),100,100,100,101,101,101,102,103,104,104,105,110,100,104,108,U,U,U
4,Populationa (millions),273,276,279,282,285,288,290,293,296,298,301,304,307,310,312,314,317,319
5,Index (2012 = 100),87,88,89,90,91,91,92,93,94,95,96,97,98,99,99,100,101,101
6,Industrial Production Indexb (2012 = 100),83,88,92,96,93,93,94,96,100,102,104,101,89,94,97,100,102,106
7,Gross Domestic Product,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
8,Current $ (billions),8609,9089,9661,10285,10622,10978,11511,12275,13094,13856,14478,14719,14419,14964,15518,16155,16663,17348
9,Index (2012 = 100),53,56,60,64,66,68,71,76,81,86,90,91,89,93,96,100,103,107
10,Chained (2009) $ (billions),11035,11526,12066,12560,12682,12909,13271,13774,14234,14614,14874,14830,14419,14784,15021,15355,15583,15962
11,Index (2012 = 100),72,75,79,82,83,84,86,90,93,95,97,97,94,96,98,100,101,104
