,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,"Air carrier, domestic, all services",2178,3691,7180,12020,26440,37629,57961,56165,57654,63233,65949,70885,76891,82250,86494,90931,98896,86511,79501,89011,101000,112053,121087,124604,129795,109749,120944,122754
1,Truckinga,N,N,N,N,N,N,127314,126772,135437,142547,155713,161806,172743,183153,197314,207751,223197,221355,222383,228204,247866,266996,286211,295710,300945,250309,266238,294408
2,"Class I bus, intercity",463,607,722,955,1397,1233,943,981,938,928,870,917,912,996,999,1014,1088,1076,1070,U,U,U,U,U,U,U,U,U
3,Transitb,1407,1444,1707,3451,6510,12195,16053,16533,16915,17276,17968,18241,17964,18357,19124,20576,21979,23725,24186,25826,27089,28828,32186,33762,36502,37490,37776,39676
4,Class I rail,9514,10208,11992,16402,28258,27586,28370,27845,28349,28825,30809,32279,32693,33118,33151,33521,34102,34576,35327,36639,40517,46118,52152,54600,61243,47849,58406,67367
5,Intercity /Amtrakc,N,N,N,253,454,832,1308,1347,1320,1400,1409,1490,1550,1669,2244,2011,2111,2109,2228,2074,1865,1886,2043,2153,2453,2353,2513,2707
6,Water transportation (domestic)d,U,U,U,U,U,U,11532,U,U,U,U,11093,10491,9670,9184,8966,8819,8512,8365,8308,8482,U,U,U,U,U,U,U
7,Oil pipelinee,U,U,U,U,U,U,13443,U,U,U,U,11482,11289,10951,10166,10713,11077,11271,11303,11178,11841,7917,8517,8996,9244,9987,11219,12562
8,Gas pipeline (investor-owned)f,8700,11500,16400,30551,85918,103945,66027,63922,66405,69965,63430,58435,72025,U,57548,59142,72075,79276,68594,75567,80331,102061,97197,97236,109600,87457,84362,79797
9,Transmission companies,3190,4088,5928,11898,41604,45738,21756,19818,20193,19873,13841,12092,12050,10339,9450,9555,10404,10257,10096,10892,11313,16547,15364,15846,18186,13127,12188,12948
10,Distribution companies,N,N,N,5938,14013,21510,18750,17812,19854,20307,20911,19421,30407,30864,28182,28135,34696,39179,31210,38199,40410,51022,48942,46064,56092,44937,44624,40514
11,Integrated companies,N,N,N,6962,17300,17396,10117,11047,10279,12506,11827,10899,11941,12125,2974,3086,3755,4184,3150,3753,2424,2803,2698,2940,2900,2606,2295,2448
12,Combination companies,N,N,N,5753,13001,19301,15404,15245,16079,17279,16851,16023,17627,U,16942,18366,23220,25656,24138,22723,26184,31689,30193,32386,32422,26787,25255,23887
