,SOC code,Occupation,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,"Vehicle operators, pipeline operators, and primary support",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,
1,53-2011,"Airline pilots, copilots, and flight engineers",88040,94820,88800,78810,76940,78490,76240,75810,78250,77090,74420,68580,68350,66270,73030,75760,81350.0
2,53-2012,Commercial pilots,18780,18040,18380,19570,19940,21370,24860,27120,29180,31250,29180,29900,31630,34990,37340,38170,39760.0
3,53-2021,Air traffic controllers,22620,23350,22990,23410,22610,22260,21590,23240,24180,24260,24420,23970,23580,23260,23060,22860,23130.0
4,53-2022,Airfield operations specialists,4510,4580,5390,5910,4670,4810,4510,4760,6210,8050,7670,6790,6060,6990,7250,7050,7920.0
5,53-3011,"Ambulance drivers and attendants, except emergency medical technicians",13520,15700,17620,17280,18420,17410,18320,21100,21520,21790,19570,19440,18080,18540,18380,19350,19950.0
6,53-3021,"Bus drivers, transit and intercity",160210,175470,190530,197090,187900,183710,183450,191120,189050,184160,177510,179700,176190,162840,157830,158050,168620.0
7,53-3022,"Bus drivers, school",463860,457050,469100,468790,471130,475430,465880,456570,461590,460100,459480,467610,477400,489750,496110,499440,505560.0
8,53-3031,Driver/sales workers,385210,373660,378220,368730,397630,406910,400530,396680,382360,372720,363050,371670,387950,394110,396470,405810,417660.0
9,53-3032,"Truck drivers, heavy and tractor-trailer",1558400,1577070,1548480,1520880,1520740,1553370,1624740,1673950,1693590,1672580,1550930,1466740,1508620,1556510,1585300,1625290,1678280.0
10,53-3033,"Truck drivers, light or delivery services",1085050,1033220,996000,977920,951400,938730,938280,941590,922900,908960,834780,780260,771210,769010,776930,797010,826510.0
11,53-3041,Taxi drivers and chauffeurs,119630,130200,125860,125720,131880,132650,144280,154490,165590,170520,167740,161940,166890,167360,170030,178260,180960.0
12,53-4011,Locomotive engineers,19940,29390,30730,28250,30070,31180,37390,36870,41760,42760,43560,40750,38790,37060,36860,38470,37490.0
13,53-4012,Locomotive firers,890,1040,730,710,630,620,540,560,580,970,960,1130,1670,1580,1880,1610,1610.0
14,53-4013,"Rail yard engineers, dinkey operators, and hostlers",5070,4020,4840,4600,6020,6170,6970,5820,4950,5480,5360,5600,5060,5170,5140,3900,4460.0
15,53-4021,"Railroad brake, signal, and switch operators",14500,16830,17070,15030,15310,16410,20700,22810,23120,24610,24270,22760,23830,24380,23950,21060,18970.0
16,53-4031,Railroad conductors and yardmasters,36680,40380,40910,38070,35120,35720,38330,37110,37540,39580,41540,42700,44280,42740,43100,42900,42330.0
17,53-4041,Subway and street car operators,U,3190,U,7250,8720,8900,7430,6740,6600,7430,6050,6360,5920,8750,8930,11300,12600.0
18,53-5011,Sailors and marine oilers,27200,30090,28650,25360,27170,27570,31090,31690,32520,32420,31950,31690,31280,31500,28810,27640,30570.0
19,53-5021,"Captains, mates, and pilots of water vessels",20660,21080,22180,22530,24050,25200,28570,29170,30540,30600,30450,29280,30220,30860,30290,30690,33110.0
20,53-5022,Motorboat operators,4000,3540,3410,3600,3130,2830,2700,2450,3250,3380,3070,2480,2550,3040,3400,4060,3650.0
21,53-5031,Ship engineers,6800,7370,7470,8020,10230,10330,13240,14190,13710,11190,10850,9470,10010,10760,9930,10060,9940.0
22,53-6011,Bridge and lock tenders,6970,4790,4500,3900,3490,3500,3620,3700,4750,4490,4290,3250,3420,3460,3170,3280,3170.0
23,53-7071,Gas compressor and gas pumping station operators,6940,6510,6070,6920,5250,4680,3950,3900,4230,4050,4160,4040,3870,4350,4520,4700,4100.0
24,53-7072,"Pump operators, except wellhead pumpers",13480,13730,12920,12360,10540,9810,9970,10030,10400,9280,10310,9440,12150,11870,13170,12170,13390.0
25,Transportation equipment manufacturing and maintenance occupations,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,
26,17-2011,Aerospace engineers,71790,71550,74380,74210,71750,73650,81100,86720,85510,67800,70570,78450,79400,80420,71500,69080,66980.0
27,17-2121,Marine engineers and naval architects,4450,4680,4860,4810,6060,6620,6550,7810,6620,6480,5270,5720,5470,6880,6640,7570,7600.0
28,17-3021,Aerospace engineering and operations technicians,17270,19850,15570,14700,10650,9260,9950,8280,7870,8540,7940,8480,9290,9750,10540,11230,12890.0
29,49-2091,Avionics technicians,15560,15360,16340,21710,21020,22310,22490,15360,16300,18360,17960,18320,17070,16810,17310,17150,17340.0
30,49-2093,"Electrical and electronics installers and repairers, transportation equipment",14700,15930,16650,17320,17130,17390,20560,20480,18160,15860,13900,12830,14410,15530,15340,14160,14210.0
31,49-2096,"Electronic equipment installers and repairers, motor vehicles",14250,12480,13210,15200,15070,15490,17650,19510,19310,19980,17090,15630,13610,12590,11900,11460,12470.0
32,49-3011,Aircraft mechanics and service technicians,125970,135730,135250,125850,113470,112830,115120,118210,118780,116310,112130,117510,117320,119160,115410,116830,124040.0
33,49-3021,Automotive body and related repairers,179960,168170,168630,175370,168630,162820,158160,155500,152790,147200,133290,129730,131040,135610,134650,137140,143040.0
34,49-3022,Automotive glass installers and repairers,20520,21240,21550,19710,18040,18150,17760,18650,18340,18330,15920,14020,13690,14780,15910,15670,17160.0
35,49-3023,Automotive service technicians and mechanics,587320,692570,701150,687380,689630,668540,654800,642360,650780,649460,606990,587510,589750,596830,604990,633390,638080.0
