,Â,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,(R) 2014
0,All industries,4181616,4458006,4825865,4954436,4996411,5137847,5421933,5691959,6057402,6395167,6531869,6251396,6377525,6633159,6930265,7114400,7477771
1,"Transportation and warehousing, total",145689,154664,164605,167543,165197,166823,176685,183719,193947,204979,206918,192624,195742,207435,219455,225938,240683
2,Air,25926,28084,30584,32908,31136,29007,28903,27136,27271,29706,29206,27157,27877,29947,30960,33099,34204
3,Rail,12683,12702,12524,12215,11971,12265,12956,13721,14407,14894,15882,14569,14225,15462,16962,16238,17205
4,Water,2391,2466,2510,2787,2923,3004,3289,3621,3942,4539,4819,4613,4685,4941,5158,5291,5686
5,Truck,44326,46894,49339,49367,48810,49614,53095,56482,59932,61829,60732,54005,54754,58759,62350,64382,69373
6,Transit and ground passenger transportation,7997,8588,8878,8986,9196,9389,10073,10433,11196,11820,12314,12390,12640,13401,13959,14143,15129
7,Pipeline,3097,3223,4245,4238,3279,3192,3178,3188,3598,4061,4067,4176,4484,4812,5707,5129,5544
8,Other transportation and support activitiesb,35000,37600,40151,40294,40330,41671,44541,46804,49657,52280,53269,49878,50790,52790,55208,57063,60916
9,Warehousing and storage,14268,15106,16375,16747,17551,18681,20651,22334,23945,25849,26629,25836,26288,27323,29152,30592,32627
