,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,Federal revenues,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Current,30289,30839,31516,39061,52037,46764,42844,45695,46149,46045,52755,51784,54971,53276,48190,48554,51660,55475
2,Chained,47088,46970,47086,57386,73913,63684,56702,59017,57441,54851,59789,56234,57178,53126,48190,47290,48867,51708
3,Federal expenditures,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Current,44493,44360,45372,45670,51936,54898,68768,77965,82016,76195,78559,75339,77685,87355,91823,93937,89430,91580
5,Chained,69170,67564,67789,67095,73769,74762,91012,100696,102085,90766,89034,81814,80804,87109,91823,91492,84594,85361
6,Federal user coverage (percent),68,70,69,86,100,85,62,59,56,60,67,69,71,61,52,52,58,61
7,State and local revenues,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
8,Current,63859,66215,69136,73083,76262,80781,82160,85242,86089,89831,95342,102743,109917,111120,110397,113227,121014,124699
9,Chained,99277,100851,103293,107367,108322,110010,108736,110095,107154,107009,108055,111572,114330,110808,110397,110280,114470,116231
10,State and local expenditures,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
11,Current,123327,129163,135878,142254,156371,165090,180838,188021,195434,198443,208040,220929,241619,256501,270474,271476,270633,281350
12,Chained,191728,196727,203009,208988,222108,224824,239333,242840,243256,236391,235779,239916,251320,255779,270474,264409,255998,262243
13,State and local user coverage (percent),52,51,51,51,49,49,45,45,44,45,46,47,45,43,41,42,45,44
