,Â,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"TOTAL, all funds",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Current $,16441,20483,31795,35697,37475,36499,33588,32385,31802,31383,38375,44515,48176,45534,38176,33562,29758,27609,29529,30222,32125,29331,45640,40296,35857,30322,40913
2,Chained 2009 $,31944,38321,57110,61897,63012,59940,53732,50347,48438,46888,56377,63229,65607,60263,49306,41774,35449,31291,32067,31436,32035,29331,44451,38117,33393,27807,36772
3,Airport / Airway Trust Fund,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Current $,5442,7426,14355,15263,15204,12850,12386,11365,7875,6442,9140,12446,13934,14485,12642,12397,11669,11290,10336,10103,9705,8780,9428,10326,11623,13203,14187
5,Chained 2009 $,10574,13893,25784,26465,25565,21103,19814,17668,11994,9625,13428,17678,18976,19170,16328,15430,13900,12795,11224,10509,9678,8780,9183,9768,10824,12108,12751
6,"Highway Trust Fund, highway account",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,Current $,10999,10361,9629,10246,11300,11523,9517,9421,12118,12577,16535,19206,22554,20372,16136,12991,10807,10592,9014,8110,10032,8881,20743,14323,9731,3771,11376
8,Chained 2009 $,21371,19384,17296,17766,19001,18924,15225,14647,18457,18790,24292,27280,30714,26961,20841,16170,12874,12005,9789,8436,10004,8881,20203,13548,9062,3458,10224
9,"Highway Trust Fund, transit account",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,Current $,N,2524,7155,9250,9798,10617,9945,9579,9525,9858,10051,9753,8547,7369,6097,4823,3777,1950,6223,7306,6787,5212,8489,7315,5194,2492,3471
11,Chained 2009 $,N,4722,12852,16039,16475,17436,15909,14891,14507,14728,14766,13853,11640,9752,7874,6004,4499,2210,6758,7599,6768,5212,8268,6920,4837,2285,3119
12,Harbor Maintenance Trust Fund,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
13,Current $,N,N,30,74,121,305,451,621,865,1106,1246,1736,1621,1777,1854,2001,2299,2695,3234,3751,4559,5004,5474,6280,6958,7806,8316
14,Chained 2009 $,N,N,54,128,203,501,722,965,1317,1652,1831,2466,2208,2352,2395,2491,2739,3054,3512,3902,4546,5004,5331,5940,6480,7158,7474
15,Inland Waterway Trust Fund,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
16,Current $,N,172,281,217,186,180,214,278,301,300,327,357,364,389,412,383,350,323,237,138,29,16,38,32,46,38,24
17,Chained 2009 $,N,322,505,376,313,296,343,432,458,448,480,507,496,515,532,477,417,366,257,144,29,16,37,30,43,35,22
18,Oil Spill Liability Trust Fund,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
19,Current $,N,N,345,647,866,1024,1074,1121,1119,1101,1076,1017,1156,1143,1035,966,856,759,485,814,1013,1437,1467,2020,2305,3012,3540
20,Chained 2009 $,N,N,620,1122,1456,1682,1718,1743,1704,1645,1581,1445,1574,1513,1337,1202,1020,860,527,847,1010,1437,1429,1911,2147,2762,3182
