,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014,2015
0,Number of aircraft,2135,2125,2679,2495,3808,4678,6083,6054,7320,7297,7370,7411,7478,7616,8111,8228,8055,8497,8194,8176,8186,8225,8089,8044,7856,U,U,U,U,U,U,U
1,Average kilometers flown per aircraft (thousands),784,1074,1528,1272,1103,1184,1250,1239,1077,1128,1169,1222,1259,1272,1233,1281,1387,1289,1342,1450,1574,1615,1636,1684,1668,U,U,U,U,U,U,U
2,Aircraft-Kilometers (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
3,Domestic operations,1381,1825,3328,2635,3663,4869,6378,6203,6429,6689,7046,7448,7736,7897,8095,8572,9112,8923,9033,9826,10625,10809,10631,10835,10374,9552,9617,9663,9586,9600,9571,9729
4,International operations,293,457,764,537,538,668,1224,1298,1455,1542,1570,1606,1679,1793,1909,1972,2063,2033,1966,2030,2257,2471,2599,2707,2730,2574,2720,2861,2848,2830,2881,6905
5,Fuel consumption (million liters),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
6,Domestic operations,7397,14721,29742,28610,32249,38289,46228,43002,43903,45273,47320,48498,49919,51700,50358,54853,52631,49635,46512,47003,50649,50287,49284,49206,47202,42198,41854,40990,38755,38445,38962,40660
7,International operations,2143,4845,8491,7378,6614,9418,14906,14717,15442,15565,16373,17078,17633,18782,18607,19974,19391,18759,17305,16849,18036,19080,19761,20547,20853,19255,19860,20899,21279,21761,22332,22669
8,Aircraft-Kilometers flown per liters,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
9,Domestic operations,0.19,0.12,0.11,0.09,0.11,0.13,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.17,0.18,0.19,0.21,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.24,0.25,0.25,0.25,0.24
10,International operations,0.14,0.09,0.09,0.07,0.08,0.07,0.08,0.09,0.09,0.10,0.10,0.09,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.30
