,Â,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,TOTAL fuel consumptiona,134230631,135912964,140718522,144774683,148180046,151597859,156838150,161210087,163032407,165201691,169983219,177697941,180698532,182185778,184810803,185593715,176509233,172518178,174463984,171042834
1,"Alternative fuels, total",229631,293334,281152,276643,295616,312589,323790,302287,322037,348421,378589,402941,428532,420778,417803,414715,430329,431107,457755,515920
2,Liquefied petroleum gases,208142,264655,248467,232701,239158,238356,241386,209817,212576,215876,223143,224697,211883,188171,173130,152360,147784,129631,126354,124457
3,Compressed natural gas,16823,21603,24160,35162,46923,65192,72412,79620,86475,104496,120670,133222,158903,166878,172011,178565,189358,199513,210007,220247
4,Liquefied natural gas,585,1901,2345,2759,3247,3714,5343,5828,7259,8921,9382,13503,20888,22409,23474,24594,25554,25652,26072,26242
5,"Methanol, 85%b",1069,1593,2340,2023,1775,1554,1212,1073,585,439,337,N,N,N,N,N,N,N,N,N
6,"Methanol, neat",2547,3166,3190,2150,347,347,449,447,0,0,0,0,N,N,N,N,N,N,N,N
7,"Ethanol, 85%b",21,48,80,190,694,1280,1727,3916,12071,14623,17783,26376,31581,38074,44041,54091,62464,71213,90323,137165
8,"Ethanol, 95%b",85,80,140,995,2699,1136,59,62,13,0,0,0,N,N,N,N,N,N,N,N
9,Electricityc,359,288,430,663,773,1010,1202,1524,3058,4066,7274,5141,5269,5219,5104,5037,5050,4956,4847,7635
10,Hydrogen,N,N,N,N,N,N,N,N,N,N,N,2,8,25,41,66,117,140,152,174
11,Other Fuels,N,N,N,N,N,N,N,N,N,N,N,0,0,2,2,2,2,2,0,0
12,Biodiesel,N,N,N,N,N,N,N,N,6816,7076,16917,18220,27616,93281,267623,367764,324329,"(R) 334,809","(R) 270,107",910968
13,Oxygenates,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
14,Methyl-tertiary-butyl-etherd,1175000,2069200,2018800,2691200,2749700,3104200,2903400,3402600,3296100,3352200,2383000,2368400,1877300,1654500,435000,0,0,0,0,0
15,Ethanol in gasohol,701000,760000,845900,910700,660200,830700,889500,950300,1085800,1143300,1413600,1919572,2414167,2765663,3729168,4694304,6442781,7343133,8527431,8563841
16,"Traditional fuels, total",134001000,135619630,140437370,144498040,147884430,151285270,156514360,160907800,162710370,164853270,169604630,177295000,180270000,181765000,184393000,185179000,176078904,172087071,174006229,170526914
17,Gasolinee,110135000,111323000,113144000,115943000,117783000,119336000,122849000,125111000,125720000,127768000,131299000,135330000,138283000,138723000,140146000,140646000,134644492,134385175,134686678,130597071
18,Dieself,23866000,24296630,27293370,28555040,30101430,31949270,33665360,35796800,36990370,37085270,38305630,41965000,41987000,43042000,44247000,44533000,41434412,37701896,39319551,39929843
