,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014
0,Vehicles registered (thousands),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,"Light duty vehicles, short wheel base",61671,75258,89244,106706,121601,127885,133700,128300,126581,127327,127883,128387,129728,129749,131839,132432,133621,137633,135921,135670,136431,136568,135400,196491,196763,193980,190203,183523,183172,184497,187555
2,Motorcycles,574,1382,2824,4964,5694,5444,4259,4177,4065,3978,3757,3897,3872,3826,3879,4152,4346,4903,5004,5370,5768,6227,6679,7138,7753,7930,8010,8438,8455,8405,8418
3,Vehicle-miles traveled (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,"Light duty vehicles, short wheel basea",587000,723000,917000,1034000,1112000,1247000,1408000,1358000,1372000,1375000,1406000,1438000,1469854,1502556,1549577,1569100,1600287,1628332,1658474,1672079,1699890,1708421,1690534,2104416,2024757,2015714,2025745,2046282,2062828,2074423,2072071
5,Motorcycles,U,U,3000,5600,10200,9100,9600,9200,9600,9900,10200,9800,9920,10081,10283,10584,10469,9639,9552,9577,10122,10454,12049,21396,20811,20822,18513,18542,21385,20366,19970
6,Fuel consumed (million gallons),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,"Light duty vehicles, short wheel basea",41171,49723,67819,74140,69982,71518,69568,64317,65436,67048,67874,68072,69221,69892,71695,73283,73065,73559,75471,75455,75402,77418,75009,89577,85589,85658,86789,88359,88600,88611,89301
8,Motorcycles,U,U,60,113,204,182,191,184,191,198,205,196,198,202,206,212,209,193,191,192,202,189,221,475,489,482,427,426,491,468,459
9,Average miles traveled per vehicle (thousands),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,"Light duty vehicles, short wheel basea",9.5,9.6,10.3,9.7,9.1,9.8,10.5,10.6,10.8,10.8,11.0,11.2,11.3,11.6,11.8,11.8,12.0,11.8,12.2,12.3,12.5,12.5,12.5,10.7,10.3,10.4,10.7,11.2,11.3,11.2,11.0
11,Motorcycles,U,U,1.1,1.1,1.8,1.7,2.3,2.2,2.4,2.5,2.7,2.5,2.6,2.6,2.7,2.5,2.4,2.0,1.9,1.8,1.8,1.7,1.8,3.0,2.7,2.6,2.3,2.2,2.5,2.4,2.4
12,Average miles traveled per gallon,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
13,"Light duty vehicles, short wheel basea",14.3,14.5,13.5,13.9,15.9,17.4,20.2,21.1,21.0,20.5,20.7,21.1,21.2,21.5,21.6,21.4,21.9,22.1,22.0,22.2,22.5,22.1,22.5,23.5,23.7,23.5,23.3,23.2,23.3,23.4,23.2
14,Motorcycles,U,U,50.0,49.6,50.0,50.0,50.3,50.0,50.3,50.0,49.8,50.0,50.0,50.0,50.0,50.0,50.0,49.9,50.0,50.0,50.0,55.3,54.5,45.1,42.5,43.2,43.4,43.5,43.5,43.5,43.5
15,Average fuel consumed per vehicle (gallons),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
16,"Light duty vehicles, short wheel basea",667.6,660.7,759.9,694.8,575.5,559.2,520.3,501.3,516.9,526.6,530.8,530.2,533.6,538.7,543.8,553.4,546.8,534.5,555.3,556.2,552.7,566.9,554.0,455.9,435.0,441.6,456.3,481.5,483.7,480.3,476.1
17,Motorcycles,U,U,21.2,22.8,35.8,33.4,44.8,44.1,47.0,49.8,54.6,50.3,51.2,52.7,53.0,51.0,48.2,39.4,38.2,35.7,35.1,30.4,33.1,66.5,63.1,60.8,53.3,50.5,58.1,55.6,54.5
