,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,Number in use,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Locomotivesa,29031,27780,27077,27846,28094,22548,18835,18344,18004,18161,18505,18812,19269,19684,20261,20256,20028,19745,20506,20774,22015,22779,23732,24143,24003,24045,23893,24250,24707
2,Freight carsb,1965486,1800662,1784181,1723605,1710827,1421686,1212261,1189660,1173136,1173132,1192412,1218927,1240573,1270419,1315667,1368836,1380796,1314136,1299670,1278980,1287920,1316522,1361250,1385709,1392972,1363433,1309029,1283225,1246627
3,Miles traveled (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Freight train-milesc,404,421,427,403,428,347,380,375,390,405,441,458,469,475,475,490,504,500,500,516,535,548,563,543,524,436,476,493,(P) 500
5,Locomotive unit-miles,N,N,N,1479,1531,1228,1280,1238,1278,1320,1405,1445,1465,1423,1440,1504,1503,1478,1444,1484,1538,1588,1660,1609,1559,1309,1415,1468,1486
6,Freight car-miles,28170,29336,29890,27656,29277,24920,26159,25628,26128,26883,28485,30383,31715,31660,32657,33851,34590,34243,34680,35555,37071,37712,38955,38186,37226,32115,35541,36649,"(P) 36,525"
7,Average miles traveled per gallon,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
8,Freight trains,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14
9,Freight cars,8.13,8.17,8.43,7.56,7.50,8.01,8.40,8.82,8.69,8.71,8.54,8.73,8.86,8.86,9.11,9.11,9.35,9.23,9.30,9.29,9.13,9.20,9.29,9.40,9.58,10.06,10.17,9.95,10.15
10,Fuel consumed (million gallons)d,3463,3592,3545,3657,3904,3110,3115,2906,3005,3088,3334,3480,3579,3575,3583,3715,3700,3710,3730,3826,4059,4098,4192,4062,3886,3192,3494,3685,"(P) 3,600"
11,Revenue ton-miles per gallon of fuel consumed,165,194,216,206,235,282,332,357,355,359,360,375,379,377,384,386,396,403,404,405,410,414,423,436,457,480,484,469,(P) 476
12,Average miles traveled per locomotive (thousands),N,N,N,53.1,54.5,54.5,68.0,67.5,71.0,72.7,75.9,76.8,76.0,72.3,71.1,74.2,75.0,74.8,70.4,71.4,69.9,69.7,69.9,66.6,64.9,54.4,59.2,60.5,60.1
13,Average fuel consumed per locomotivea (thousand gallons),119.3,129.3,130.9,131.3,139.0,137.9,165.4,158.4,166.9,170.0,180.2,185.0,185.7,181.6,176.8,183.4,184.7,187.9,181.9,184.2,184.4,179.9,176.6,168.2,161.9,132.8,146.2,152.0,145.7
