,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,Number  in use,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Locomotivesa,29031,27780,27077,27846,28094,22548,18835,18344,18004,18161,18505,18812,19269,19684,20261,20256,20028,19745,20506,20774,22015,22779,23732,24143,24003,24045
2,Freight carsb,1965486,1800662,1784181,1723605,1710827,1421686,1212261,1189660,1173136,1173132,1192412,1218927,1240573,1270419,1315667,1368836,1380796,1314136,1299670,1278980,1287920,"(R) 1,316,522","(R) 1,361,250",1385709,1392972,1363433
3,Kilometers  traveled (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Freight train-kilometersc,651,677,687,648,690,559,611,603,628,653,710,738,754,764,764,789,811,804,804,830,861,881,(R) 905,875,844,702
5,Locomotive  unit-kilometers,N,N,N,2380,2464,1976,2060,1992,2057,2124,2261,2326,2358,2290,2317,2420,2419,2378,2323,2388,2476,2555,2671,2589,2509,2107
6,Freight  car-kilometers,45335,47212,48103,44508,47117,40105,42099,41244,42049,43264,45842,48897,51040,50952,52556,54478,55667,55109,55812,57220,59660,60692,62692,61454,59909,51684
7,Average  kilometers traveled per liter,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
8,Freight  trains,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
9,Freight  cars,3.46,3.47,3.58,3.22,3.19,3.41,3.57,3.75,3.70,3.70,3.63,3.71,3.77,3.77,3.87,3.87,3.97,3.92,3.95,3.95,3.88,3.91,3.95,4.00,4.07,4.28
10,Fuel  consumed (million liters),13109,13597,13419,13843,14778,11773,11792,11000,11375,11689,12621,13173,13548,13533,13563,14063,14006,14044,14120,14483,15365,15513,15868,15376,14710,12083
11,Revenue  tonne-kilometers per liter of fuel consumed,71,84,93,89,101,121,143,154,153,154,155,161,163,162,165,166,170,173,174,174,176,178,182,187,197,206
12,Average  kilometers traveled per locomotive (thousands),N,N,N,85.5,87.7,87.6,109.4,108.6,114.2,117.0,122.2,123.6,122.4,116.3,114.4,119.5,120.8,120.4,113.3,115.0,112.5,112.2,112.6,107.2,104.5,87.6
13,Average fuel consumed per locomotivea (thousand liters),451.5,489.5,495.6,497.1,526.0,522.1,626.0,599.7,631.8,643.7,682.0,700.3,703.1,687.5,669.4,694.3,699.3,711.3,688.6,697.2,697.9,681.0,668.7,636.9,612.8,502.5
