,Â,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,Number in use,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Locomotives,355,419,291,318,316,336,360,338,313,299,332,345,329,378,401,372,442,276,258,319,270,278,274,282,287,485,418
2,Cars,1913,2128,1854,1863,1786,1796,1853,1852,1722,1730,1728,1962,1992,1894,2084,2896,1623,1211,1186,1191,1164,1177,1214,1274,1301,2090,1447
3,Kilometers traveled (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Train-kilometers,48,48,48,53,55,55,56,55,51,48,51,53,55,56,58,61,60,60,58,58,60,61,62,60,60,61,62
5,Car-kilometers,407,378,404,484,504,494,488,489,470,444,463,502,550,592,608,609,534,496,426,425,429,437,455,474,477,514,523
6,Train Energy Consumption,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,Electric (million of kWhs),180,254,295,330,303,300,301,309,336,363,390,416,443,470,456,518,537,551,531,549,578,582,565,559,555,549,525
8,Diesel (million liters),239,240,245,311,310,309,313,278,274,270,286,288,300,359,367,320,282,260,248,236,234,240,234,240,240,239,250
9,Average kilometers traveled per car (thousands),213,178,218,260,282,275,263,264,273,257,268,256,276,313,292,210,329,410,359,357,369,372,375,372,367,246,361
