,Â,Petroleum,Electricity,Natural gas,Coal and otherd,Total,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,Motor gasoline,Distillate and residual fuel oil,Jet fuel and aviation gas,Otherc,Total,,,,,
1,"FY 2003, total",43.3,179.9,490.9,6.3,720.6,185.9,132.4,38.1,1077.0
2,Agriculture,2.1,0.4,0.0,0.7,3.1,2.5,1.3,0.3,7.3
3,Defense,15.6,157.8,483.3,4.0,660.7,95.8,72.6,26.2,855.2
4,Energy,0.9,1.9,Z,0.1,2.8,17.1,6.6,3.4,30.0
5,GSA,0.1,0.1,0.0,0.0,0.2,9.5,7.2,1.7,18.6
6,Health and Human Services,0.5,0.9,0.0,0.1,1.4,3.4,3.5,1.2,9.6
7,Interior,2.3,1.1,0.1,0.7,4.2,2.3,1.2,0.1,7.8
8,Justice,4.3,0.4,1.4,0.0,6.2,6.6,8.2,0.7,21.5
9,NASA,0.2,0.4,0.6,0.1,1.3,5.5,2.7,0.8,10.2
10,Postal Service,12.2,4.8,0.0,0.2,17.3,20.6,9.9,0.7,48.2
11,Transportation,0.7,0.3,0.6,0.1,1.5,3.0,0.7,0.0,5.3
12,Veterans Affairs,0.9,1.8,0.0,0.0,2.7,9.7,14.8,1.8,28.9
13,Othera,3.9,10.1,4.9,0.3,19.2,10.0,4.0,1.1,34.3
14,"FY 2010, total",(R) 48.6,(R) 150.1,508.2,(R) 4.5,(R) 711.5,(R) 184.9,(R) 122.6,(R) 35.0,"(R) 1,054.0"
15,Agriculture,2.1,0.6,(R) 0.0,0.4,3.0,1.8,1.3,0.3,6.4
16,Defense,17.6,131.0,501.6,2.6,652.9,(R) 97.8,69.1,(R) 23.0,(R) 842.9
17,Energy,0.6,1.5,(R) 0.2,0.4,2.7,(R) 16.2,6.7,(R) 4.5,(R) 30.0
18,GSA,0.1,0.1,0.0,Z,0.2,9.4,6.6,1.7,17.8
19,Health and Human Services,0.2,0.6,0.0,0.1,0.8,3.2,5.6,0.1,9.8
20,Interior,2.0,1.2,Z,0.4,3.6,(R) 2.6,1.0,0.8,7.9
21,Justice,2.7,0.3,0.3,0.1,3.2,5.1,6.4,0.1,(R) 14.9
22,NASA,0.1,0.3,0.8,0.1,1.1,(R) 5.1,2.5,(R) 0.8,9.6
23,Postal Service,13.7,4.4,0.0,0.3,18.4,16.9,4.3,0.5,(R) 40.1
24,Transportation,0.6,0.2,0.5,Z,1.4,(R) 3.8,0.3,(R) 0.0,5.4
25,Veterans Affairs,0.9,1.0,0.0,0.1,2.0,(R) 10.5,14.1,2.0,28.6
26,Otherb,(R) 8.1,(R) 9.0,4.8,0.3,(R) 22.2,(R) 12.6,(R) 4.5,(R) 1.3,(R) 40.6
27,"FY 2011P, total",49.8,158.6,506.6,4.5,719.4,185.7,119.1,34.1,1058.3
28,Agriculture,2.5,0.6,0.9,0.4,4.4,1.7,1.6,0.2,7.9
29,Defense,18.7,138.5,499.4,2.5,659.0,98.7,65.0,21.1,843.8
30,Energy,0.7,2.3,0.2,0.4,3.4,17.0,7.0,4.4,31.7
31,GSA,0.1,0.1,0.0,Z,0.2,9.0,6.7,1.7,17.5
32,Health and Human Services,0.2,0.6,0.0,0.1,0.9,3.3,5.6,0.2,10.0
33,Interior,1.9,1.3,Z,0.2,3.5,2.6,1.1,0.7,7.9
34,Justice,2.8,0.3,0.7,0.2,3.9,5.0,4.0,0.4,13.2
35,NASA,0.1,0.2,0.7,0.1,1.0,5.1,2.4,1.0,9.6
36,Postal Service,14.6,4.6,0.0,0.3,19.4,16.0,6.0,0.7,42.1
37,Transportation,0.4,0.1,0.5,Z,1.0,3.9,0.8,0.7,6.4
38,Veterans Affairs,1.0,1.0,0.0,0.1,2.2,10.8,14.3,1.7,29.0
39,Otherb,6.9,9.0,4.3,0.3,20.5,12.7,4.7,1.4,39.3
