,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014
0,Vehicle-kilometers (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,"Light duty vehicle, short wheel basea,b",944685,1163556,1475768,1664062,1789591,2006852,2265956,2185489,2208020,2212848,2262738,2314237,2365736,2418844,2494483,2525061,2575412,2618991,2669055,2690770,2735708,2749437,2720651,3386729,3258531,3243977,3260120,3293172,3319799,3338460,3334676
2,"Light duty vehicle, long wheel baseb",N,N,197949,323478,468319,629254,925373,1044464,1137806,1200571,1231148,1271382,1314834,1369552,1396911,1450019,1485519,1516991,1554681,1583627,1653060,1675410,1742099,944071,974388,993824,1002157,972326,967589,970928,1027541
3,Motorcyclea,U,U,4828,9012,16415,14645,15450,14806,15450,15933,16415,15772,15933,16254,16576,17059,16848,15502,15372,15411,16290,16825,19392,34434,33492,33510,29794,29841,34416,32776,32138
4,Passenger-kilometers (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
5,"Light duty vehicle, short wheel basea,b",1842699,2245035,2817961,3144658,3238000,3369966,3672523,3540557,3553432,3561478,3621024,3680570,3761037,3844723,3965424,4015313,4094907,4114258,4217107,4251702,4322419,4344110,4298629,5351032,5148478,4507134,4529562,4575485,4612480,4638407,4633149
6,"Light duty vehicle, long wheel baseb",N,N,363712,584192,838468,1107229,1609344,1797637,1934431,2016508,2042258,2021336,2088929,2177442,2222504,2306190,2361976,2701851,2695316,2745706,2865873,2904621,3020240,1636715,1689275,1327699,1338832,1298979,1292651,1297112,1372743
7,Motorcyclea,U,U,4828,9656,19312,19312,19312,19312,19312,19312,19312,17703,17703,17703,17703,19312,18533,18925,19523,19574,20689,21367,24628,43731,42534,36094,32091,32142,37070,35304,34616
8,Average occupancy rate,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
9,"Light duty vehicle, short wheel basea,b",1.95,1.93,1.91,1.89,1.81,1.68,1.62,1.62,1.61,1.61,1.60,1.59,1.59,1.59,1.59,1.59,1.59,1.57,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.39,1.39,1.39,1.39,1.39,1.39
10,"Light duty vehicle, long wheel baseb",N,N,1.84,1.81,1.79,1.76,1.74,1.72,1.70,1.68,1.66,1.59,1.59,1.59,1.59,1.59,1.59,1.78,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.34,1.34,1.34,1.34,1.34,1.34
11,Motorcyclea,U,U,1.00,1.07,1.18,1.32,1.25,1.30,1.25,1.21,1.18,1.12,1.11,1.09,1.07,1.13,1.10,1.22,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.08,1.08,1.08,1.08,1.08,1.08
12,Fuel consumed (million liters),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
13,"Light duty vehicle, short wheel basea,b",155849,188222,256723,280650,264911,270725,263344,243466,247702,253804,256931,257681,262030,264570,271395,277406,276582,278450,285690,285627,285427,293061,283940,339085,323991,324249,328530,334474,335388,335429,338040
14,"Light duty vehicle, long wheel baseb",N,N,46610,72229,90078,103580,134802,144667,154933,162209,166982,172634,179254,186954,191019,200093,200395,202602,209031,229994,240060,222844,229719,139721,132207,135179,137225,133756,132922,133090,141359
15,Motorcyclea,U,U,227,428,772,689,723,697,723,750,776,742,750,765,780,801,793,730,723,725,766,717,837,1798,1853,1826,1615,1614,1859,1770,1736
16,Energy intensity (Kilojoules/passenger-kilometer)b,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
17,"Light duty vehicle, short wheel basea,b",2947,2921,3174,3109,2850,2799,2498,2396,2429,2483,2472,2439,2427,2397,2384,2407,2353,2358,2360,2341,2301,2350,2301,2208,2192,2506,2527,2547,2533,2519,2542
18,"Light duty vehicle, long wheel baseb",N,N,4465,4308,3743,3259,2918,2804,2790,2803,2849,2975,2990,2991,2994,3023,2956,2612,2702,2918,2918,2673,2650,2974,2727,3547,3571,3587,3583,3575,3588
19,Motorcyclea,U,U,1639,1543,1393,1243,1304,1257,1304,1352,1400,1460,1475,1505,1535,1446,1490,1343,1291,1291,1291,1170,1184,1432,1517,1762,1754,1749,1747,1747,1747
