,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,2014
0,Vehicle-kilometers (millions),2537,2460,2268,2456,2699,2998,3428,3487,3505,3556,3479,3514,2692,"(R) 2,976","(R) 3,064","(R) 3,195","(R) 3,284","(R) 3,386","(R) 3,470","(R) 3,407","(R) 3,491","(R) 3,528","(R) 3,563","(R) 3,607","(R) 3,656",3678,3586,3476,3456,3468,3511
1,Passenger-kilometers (millions),N,N,N,N,35068,34055,33766,33941,32728,32584,30307,30285,25460,"(R) 28,178","(R) 28,765","(R) 30,069","(R) 30,267","(R) 31,516","(R) 31,670","(R) 30,865","(R) 30,450","(R) 31,261","(R) 32,815","(R) 32,811","(R) 34,115",33957,36322,60776,34025,34210,34487
2,Energy consumed,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
3,Diesel fuel (million liters),787,939,1026,1382,1632,1961,2132,2169,2241,2179,2139,2134,1763,1754,1773,1804,1853,1862,1773,1672,1668,1421,1597,1535,1526,1695,1601,1578,1521,1451,1349
4,Compressed Natural Gas (million liters),N,N,N,N,N,N,N,N,N,N,N,38,38,67,103,126,159,193,246,296,323,351,413,402,421,528,468,478,461,486,500
5,Bio-diesel (million liters),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,3,8,195,61,78,125,150,155,170,690,231,119
6,Liquefied natural gas (million liters),N,N,N,N,N,N,N,N,N,N,N,6,8,12,10,17,33,37,53,44,50,55,58,57,56,95,87,80,72,65,54
7,Gasoline (million liters),N,N,N,N,N,N,N,N,N,N,N,9,4,5,6,4,4,5,4,3,5,3,7,7,11,24,26,28,32,33,32
8,Other major fuelsa (million liters),N,N,N,N,N,N,N,N,N,N,N,N,43,34,16,9,3,4,8,(R) 8,(R) 8,(R) 11,(R) 8,(R) 4,(R) 3,24,13,14,14,24,21
9,Powerb (million KWH),N,N,N,N,N,N,N,N,N,N,N,N,0,0,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,3
10,"Energy consumed, total (Billion kilojoules)",N,N,N,N,N,N,N,N,N,N,N,N,69603,69471,69992,71266,73644,74334,71846,"(R) 68,023","(R) 68,389","(R) 65,721","(R) 68,317","(R) 66,322","(R) 67,780",77558,73561,73220,89173,70497,62411
11,Diesel fuel,30438,36291,39657,53413,63071,75817,82409,83830,86638,84252,82689,82500,68160,67799,68541,69751,71646,71974,68535,64642,64464,54914,61729,59337,58981,65541,61880,61020,58808,56097,52149
12,Compressed Natural Gas,N,N,N,N,N,N,N,N,N,N,N,237,240,420,647,790,999,1211,1543,1856,2027,2199,2589,2521,2640,3313,2936,2996,2890,2957,3139
13,Bio-diesel,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,103,113,283,6850,2138,2745,4380,5265,5442,5968,24287,8134,4171
14,Liquefied natural gas,N,N,N,N,N,N,N,N,N,N,N,152,200,289,230,392,781,875,1253,1049,1178,1295,1381,1354,1330,2254,2056,1891,1707,1527,1276
15,Gasoline,N,N,N,N,N,N,N,N,N,N,N,303,132,175,199,143,134,163,139,122,190,102,243,251,373,830,906,965,1113,1159,1102
16,Other major fuelsa,N,N,N,N,N,N,N,N,N,N,N,N,867,786,368,182,73,101,246,225,227,349,223,(R) 102,65,347,332,368,356,612,539
17,Powerb,N,N,N,N,N,N,N,N,N,N,N,N,3,3,7,9,10,11,27,15,21,13,13,11,10,9,9,11,11,11,37
18,Energy intensity (kilojoules/passenger-kilometer),N,N,N,N,N,N,N,N,N,N,N,N,2734,"(R) 2,465","(R) 2,433","(R) 2,370","(R) 2,433","(R) 2,359","(R) 2,269","(R) 2,204","(R) 2,246","(R) 2,102","(R) 2,082","(R) 2,021","(R) 1,987",2284,2025,1205,2621,2061,1810
