,Urban area,Population group,Gallons wasted (millions),Percent changea,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
0,Short-term 2009-2014,Long-term 1982-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(R) 1982,(R) 1985,(R) 1990,(R) 1991,(R) 1992,(R) 1993,(R) 1994,(R) 1995,(R) 1996,(R) 1997,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012.0,2013.0,2014.0,Percent,Rank,Percent,Rank,,
2,"Akron, OH",Medium,0.9,1.4,3.0,3.5,4.3,4.9,5.2,5.4,5.6,5.6,5.6,5.7,5.9,5.9,6.1,6.2,6.4,6.5,6.7,6.8,6.6,6.1,6.1,6.1,6.3,6.4,6.6,8.5,60,619.0,41.0
3,"Albany-Schenectady, NY",Medium,1.1,1.5,2.8,3.0,3.1,3.2,3.6,3.7,4.0,4.2,4.8,5.1,5.7,6.1,6.6,7.5,8.1,9.0,9.3,9.6,9.6,9.5,9.6,9.7,9.8,10.0,10.2,7.2,70,790.8,21.0
4,"Albuquerque, NM",Medium,2.4,2.9,4.1,4.5,4.8,5.6,6.1,6.7,7.6,8.5,9.3,9.8,10.0,10.1,10.1,10.2,10.4,10.6,10.6,10.8,10.9,10.5,10.5,10.6,10.7,10.8,11.0,4.7,86,356.7,75.0
5,"Allentown-Bethlehem, PA-NJ",Medium,1.9,2.2,3.3,3.5,4.1,4.7,5.5,6.3,7.3,7.9,8.0,8.2,8.7,8.6,8.7,8.4,8.5,8.6,8.6,8.6,8.3,8.1,8.4,8.5,8.6,8.7,8.7,7.8,65,370.6,72.0
6,"Anchorage, AK",Small,0.5,0.8,1.3,1.4,1.5,1.6,1.8,2.0,2.1,2.1,2.2,2.5,2.7,2.8,2.9,3.0,3.1,3.1,3.2,3.3,3.5,3.1,3.3,3.5,3.6,3.6,3.8,23.3,7,654.3,33.0
7,"Atlanta, GA",Very large,9.4,12.5,19.5,21.1,24.6,28.2,30.8,33.7,35.4,38.4,41.6,44.2,46.1,48.4,50.6,52.0,53.4,54.5,55.3,56.3,55.8,53.5,53.9,54.7,55.5,56.5,57.1,6.8,73,505.9,56.0
8,"Austin, TX",Large,1.9,2.6,3.9,4.3,4.7,5.1,5.6,6.2,7.2,8.1,9.0,10.0,10.8,12.0,12.7,13.6,14.7,15.6,16.6,18.0,18.2,17.5,18.5,19.5,20.5,21.2,21.7,24.0,6,1040.3,13.0
9,"Bakersfield, CA",Medium,0.1,0.1,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.1,1.3,1.5,2.0,2.2,2.4,2.7,3.0,2.6,2.8,3.0,3.1,3.1,3.7,42.3,1,3719.4,1.0
10,"Baltimore, MD",Large,7.2,9.9,15.9,16.9,17.8,18.8,19.9,21.2,21.7,22.4,24.0,25.9,27.0,29.7,31.0,32.3,33.9,34.6,35.5,35.9,34.5,33.7,34.7,35.2,35.9,36.7,38.7,14.7,28,437.2,63.0
11,"Baton Rouge, LA",Medium,1.5,2.1,2.7,2.9,3.1,3.4,3.7,3.9,4.2,4.5,4.9,5.2,5.5,5.7,6.0,6.3,6.6,7.2,9.2,9.7,10.1,10.1,10.7,10.7,11.0,11.5,12.1,20.0,10,713.4,26.0
12,"Beaumont, TX",Small,0.5,0.5,0.6,0.8,0.9,1.1,1.2,1.3,1.4,1.6,1.8,2.0,2.1,2.3,2.6,2.9,3.0,3.3,3.3,3.4,3.0,3.2,3.3,3.3,3.3,3.5,3.6,15.1,25,610.2,44.0
13,"Birmingham, AL",Medium,1.4,2.0,2.5,2.7,2.9,3.5,4.1,4.6,5.0,5.5,6.2,6.8,7.0,7.1,7.5,7.6,7.8,8.0,8.3,8.4,8.8,8.2,8.4,8.7,8.9,9.1,9.1,10.6,49,571.0,47.0
14,"Boise, ID",Small,0.2,0.5,0.9,1.0,1.0,1.1,1.2,1.3,1.5,1.6,1.8,2.2,2.5,2.9,3.1,3.3,3.7,4.0,4.3,4.6,4.6,4.3,4.4,4.5,4.6,5.0,5.7,30.7,3,2253.9,4.0
15,"Boston, MA-NH-RI",Very large,24.5,29.5,38.6,38.9,39.3,40.6,42.5,43.9,47.0,51.2,55.3,56.0,59.0,60.9,62.2,63.3,64.2,65.4,66.4,67.3,65.1,64.0,67.3,68.7,70.1,70.9,71.6,11.9,40,192.8,97.0
16,"Boulder, CO",Small,0.3,0.4,0.6,0.7,0.7,0.8,0.9,1.0,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.9,2.0,2.0,1.9,2.0,2.0,2.1,2.1,2.2,17.1,16,744.4,23.0
17,"Bridgeport-Stamford, CT-NY",Medium,3.2,4.5,6.0,6.2,6.7,7.2,7.8,8.2,8.9,9.6,10.4,10.9,11.6,12.4,13.2,14.1,14.7,15.1,15.3,15.7,16.1,15.1,15.3,15.5,15.9,16.3,16.6,9.8,50,415.9,66.0
18,"Brownsville, TX",Small,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.8,0.9,0.9,1.1,1.3,1.4,1.5,1.7,1.8,1.7,1.8,1.8,1.8,1.9,1.9,8.9,55,2421.6,3.0
19,"Buffalo, NY",Medium,3.2,4.1,5.9,6.1,6.3,6.8,7.3,7.6,7.9,8.8,10.2,11.6,12.5,12.7,13.3,13.4,13.5,13.6,13.6,13.8,13.3,13.4,13.5,13.8,13.9,14.0,14.1,4.5,87,339.4,81.0
20,"Cape Coral, FL",Medium,0.5,0.7,1.2,1.3,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.5,2.8,3.1,3.4,3.8,4.1,4.4,5.0,5.6,5.9,5.4,5.5,5.5,5.5,5.6,5.6,4.3,89,943.9,16.0
