,Urban area,Population group,Gallons wasted,Percent changea,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
0,Short-term  2009-2014,Long-term  1982-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(R) 1982,(R) 1985,(R) 1990,(R) 1991,(R) 1992,(R) 1993,(R) 1994,(R) 1995,(R) 1996,(R) 1997,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012.0,2013.0,2014.0,Percent,Rank,Percent,Rank,,
2,"Akron, OH",Medium,2,3,7,8,9,11,12,12,13,13,13,13,13,13,13,14,14,15,15,15,15,14,14.0,14.0,14.0,14,15,6.7,65,650.0,30.0
3,"Albany-Schenectady, NY",Medium,2,3,6,6,6,7,7,8,8,9,10,11,12,13,14,15,17,19,19,20,20,20,20.0,20.0,20.0,21,21,5.3,77,950.0,11.0
4,"Albuquerque, NM",Medium,4,5,7,8,9,10,11,12,13,15,16,17,18,18,18,18,18,19,19,19,19,19,18.0,19.0,19.0,19,19,0.0,88,375.0,68.0
5,"Allentown-Bethlehem, PA-NJ",Medium,3,4,6,6,7,8,10,11,13,14,14,15,15,15,15,15,15,15,15,15,15,14,15.0,15.0,15.0,15,15,6.7,65,400.0,63.0
6,"Anchorage, AK",Small,3,4,6,7,8,8,9,10,10,11,11,13,14,14,15,15,16,16,16,17,18,16,17.0,18.0,18.0,18,19,18.8,15,533.3,50.0
7,"Atlanta, GA",Very large,3,4,7,7,9,10,11,12,12,13,15,16,16,17,18,18,19,19,19,20,20,19,19.0,19.0,20.0,20,20,5.3,77,566.7,46.0
8,"Austin, TX",Large,2,3,4,4,5,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18,19.0,20.0,21.0,22,22,23.5,9,1000.0,10.0
9,"Bakersfield, CA",Medium,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,4,5,5,6,6,7,6,7.0,7.0,7.0,7,9,50.0,1,,
10,"Baltimore, MD",Large,3,5,9,9,10,10,11,11,12,12,13,14,15,16,17,17,18,19,19,19,19,18,19.0,19.0,19.0,20,21,15.8,20,600.0,37.0
11,"Baton Rouge, LA",Medium,3,4,5,6,6,7,7,8,8,9,10,11,11,12,12,13,13,15,19,20,20,20,22.0,22.0,22.0,23,25,26.3,6,733.3,24.0
12,"Beaumont, TX",Small,2,2,3,3,4,4,5,6,6,7,8,8,9,10,11,12,13,14,14,14,13,13,14.0,14.0,14.0,15,15,14.3,27,650.0,30.0
13,"Birmingham, AL",Medium,2,4,4,5,5,6,7,8,9,10,11,12,12,13,13,14,14,14,15,15,16,15,15.0,15.0,16.0,16,16,6.7,65,700.0,25.0
14,"Boise, ID",Small,1,1,3,3,3,3,4,4,5,5,6,7,8,9,10,10,11,12,13,14,14,13,14.0,14.0,14.0,16,18,38.5,2,1700.0,2.0
15,"Boston, MA-NH-RI",Very large,10,12,16,16,16,17,18,18,19,21,23,23,24,25,26,26,26,27,27,28,27,26,28.0,28.0,29.0,29,30,14.8,26,200.0,93.0
16,"Boulder, CO",Small,2,3,5,6,6,7,8,8,9,9,10,11,12,12,14,14,15,15,16,17,17,16,17.0,17.0,17.0,18,19,18.8,15,850.0,14.0
17,"Bridgeport-Stamford, CT-NY",Medium,4,6,8,8,9,9,10,11,12,13,14,14,15,16,17,18,19,20,20,20,21,20,20.0,20.0,21.0,21,22,10.0,49,450.0,59.0
18,"Brownsville, TX",Small,0,1,1,1,1,1,2,2,2,3,3,3,5,5,6,7,8,9,9,10,11,10,11.0,11.0,11.0,11,11,11.1,46,,
19,"Buffalo, NY",Medium,5,6,9,9,9,10,11,11,12,13,15,17,18,19,20,20,20,20,20,20,20,20,20.0,20.0,21.0,21,21,5.0,79,320.0,80.0
20,"Cape Coral, FL",Medium,1,2,3,3,3,3,4,4,4,5,5,6,6,7,8,9,9,10,11,13,14,13,13.0,13.0,13.0,13,13,0.0,88,1200.0,5.0
21,"Charleston-North Charleston, SC",Medium,3,5,7,8,8,9,10,10,11,11,12,12,13,13,14,15,15,16,16,17,18,18,18.0,19.0,20.0,20,20,12.5,39,566.7,46.0
22,"Charlotte, NC-SC",Large,2,2,4,5,5,5,6,6,7,8,8,9,10,11,12,13,14,14,15,16,16,15,15.0,16.0,16.0,17,17,13.3,32,750.0,21.0
23,"Chicago, IL-IN",Very large,10,11,14,15,16,17,18,19,20,21,22,23,24,25,26,26,28,29,29,29,28,28,28.0,29.0,29.0,29,29,3.4,86,190.0,94.0
24,"Cincinnati, OH-KY-IN",Large,3,4,8,9,10,10,11,13,14,15,16,17,18,18,19,19,19,20,20,20,20,19,19.0,20.0,21.0,21,21,10.0,49,600.0,37.0
25,"Cleveland, OH",Large,3,4,10,11,13,15,16,18,19,19,19,20,19,19,19,19,20,20,20,20,21,20,21.0,21.0,21.0,22,22,10.0,49,633.3,34.0
26,"Colorado Springs, CO",Medium,1,2,5,5,6,7,7,8,9,10,11,11,12,12,13,13,14,14,14,15,15,15,16.0,16.0,16.0,16,17,14.3,27,1600.0,3.0
27,"Columbia, SC",Medium,2,3,4,4,5,5,6,6,7,7,8,9,10,10,11,12,13,14,15,17,18,17,18.0,18.0,18.0,18,19,13.3,32,850.0,14.0
28,"Columbus, OH",Large,4,5,7,8,9,9,10,11,11,12,12,13,14,15,15,16,17,17,17,18,18,17,18.0,18.0,19.0,20,20,17.6,19,400.0,63.0
29,"Corpus Christi, TX",Small,3,4,6,6,7,7,7,8,8,9,10,10,11,11,11,11,12,12,12,13,13,13,14.0,14.0,15.0,16,16,25.0,8,433.3,62.0
30,"Dallas-Fort Worth-Arlington, TX",Very large,6,7,9,10,10,11,11,12,13,13,14,15,16,16,17,18,19,20,21,22,20,19,20.0,21.0,22.0,22,22,14.3,27,266.7,89.0
