,Engine type and pollutant,Interim Tier 2f,Tier 2f,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,2004,2004,2008,2008,2009+,2009+,
1,Gasoline,Â,Â,Â,Â,Â,Â
2,NMOG,0.195,(0.280),0.195,(0.280),0.125,(0.156)
3,CO,5.0,(7.3),5.0,(7.3),3.4,(4.2)
4,Cold-temp. COc,12.5,12.5,12.5,12.5,12.5,12.5
5,NOx,0.6,(0.9),0.6,(0.9),0.14,(0.20)
6,Particulates,0.12,(0.12),0.12,(0.12),0.02,(0.02)
7,Formaldehyde,0.022,(0.032),0.022,(0.032),0.015,(0.018)
8,Diesel,Â,Â,Â,Â,Â,Â
9,HC,1.3 g/bhp-hr,1.3 g/bhp-hr,Â,Â,Â,Â
10,NMHC + NOx,2.4 g/bhp-hr,2.4 g/bhp-hr,Â,Â,Â,Â
11,NMOG,Â,Â,g,(0.280),0.125,(0.156)
12,CO,15.5 g/bhp-hr,15.5 g/bhp-hr,g,(7.3),3.4,(4.2)
13,NOx,4.0 g/bhp-hr,4.0 g/bhp-hr,g,(0.9),0.14,(0.20)
14,Particulates,0.10 g/bhp-hr,0.10 g/bhp-hr,g,(0.12),0.02,(0.02)
15,Formaldehyde,Â,Â,g,(0.032),0.015,(0.018)
16,Smoke opacity (acceleration / lugging / peak)d,20/15/50,20/15/50,Â,Â,Â,Â
17,Weight Criteria,"Greater than 8,500 pounds GVWR; less than 10,000 pounds GVWR","Greater than 8,500 pounds GVWR; less than 10,000 pounds GVWR","Greater than 8,500 pounds GVWR; less than 10,000 pounds GVWR","Greater than 8,500 pounds GVWR; less than 10,000 pounds GVWR","Greater than 8,500 pounds GVWR; less than 10,000 pounds GVWR","Greater than 8,500 pounds GVWR; less than 10,000 pounds GVWR"
18,"Test procedure, gasoline",CVS-75,CVS-75,CVS-75,CVS-75,CVS-75,CVS-75
19,"Test procedure, diesel",EPA Transient,EPA Transient,CVS-75,CVS-75,CVS-75,CVS-75
20,"Useful life-gasoline, intermediateb,e","5 years/50,000 miles","5 years/50,000 miles","5 years/50,000 miles","5 years/50,000 miles","5 years/50,000 miles","5 years/50,000 miles"
21,"Useful life-gasoline, full","11 years/120,000 miles","11 years/120,000 miles","11 years/120,000 miles","11 years/120,000 miles","11 years/120,000 miles","11 years/120,000 miles"
22,"Useful life-diesel, intermediateb,e",g,g,g,g,"5 years/50,000 miles","5 years/50,000 miles"
23,"Useful life-diesel, full","8 years/110,000 miles","8 years/110,000 miles","11 years/120,000 miles","11 years/120,000 miles","11 years/120,000 miles","11 years/120,000 miles"
