,Metropolitan  Statistical Area,All sites,Trend sites,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,(R) Total number of sites in 2010,(R)  Number of days with AQI > 100 (2010),(R) Number of trend  sites,Number of days with AQI >  100,,,,,,,,,,,,,,,,,
1,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,
2,"Akron,  OH",18,4,7,69,49,66,72,73,83,52,71,82,57,60,62,34,23,8,0,4
3,"Albany-Schenectady-Troy,  NY",26,4,7,13,12,9,8,9,15,(R) 4,18,(R) 18,(R) 10,5,(R) 9,(R) 3,(R) 15,(R) 8,1,4
4,"Albuquerque,  NM",77,2,15,5,4,5,2,3,6,8,2,11,15,5,9,3,1,0,0,1
5,"Allentown-Bethlehem-Easton,  PA",28,18,5,17,18,19,23,39,32,16,34,38,14,13,18,10,12,10,1,12
6,"Atlanta-Sandy  Springs-Marietta, GA",64,27,17,35,57,50,61,84,97,72,42,44,24,22,32,46,40,25,11,14
7,"Austin-Round  Rock, TX",25,3,1,8,28,5,2,9,14,14,5,8,9,8,9,13,4,2,4,2
8,"Bakersfield,  CA",57,84,14,129,133,127,94,104,(R) 158,(R) 162,158,(R) 185,(R) 165,(R) 159,(R) 119,137,(R) 129,(R) 145,123,84
9,"Baltimore-Towson,  MD",73,33,16,62,57,43,46,70,55,37,50,59,30,31,36,33,45,23,11,33
10,"Baton  Rouge, LA",53,33,18,50,60,44,56,52,61,72,39,49,43,54,90,48,44,31,28,25
11,"Bergen-Passaic,  NJ",20,22,6,0,0,0,0,1,2,1,1,1,2,1,4,2,1,U,U,U
12,"Birmingham-Hoover,  AL",60,15,21,37,50,26,30,40,71,89,44,28,31,17,37,36,41,12,5,13
13,"Boston-Cambridge-Quincy,  MA-NH",125,5,15,10,1,2,1,3,(R) 8,0,4,(R) 11,8,1,4,1,3,0,0,1
14,"Bradenton-Sarasota-Venice,  FL",29,2,3,7,6,3,14,15,(R) 10,16,14,3,10,18,11,5,4,5,1,1
15,"Bridgeport-Stamford-Norwalk,  CT",38,17,10,39,28,22,31,37,29,22,33,41,19,11,25,21,27,19,5,17
16,"Buffalo-Niagara  Falls, NY",41,3,9,(R) 14,(R) 13,(R) 10,(R) 7,(R) 27,(R) 22,(R) 11,(R) 27,(R) 29,(R) 13,(R) 8,(R) 23,(R) 7,(R) 27,4,1,2
17,"Charleston-North  Charleston, SC",28,0,8,10,1,7,7,12,13,9,0,4,3,3,8,9,5,1,0,0
18,"Charlotte-Gastonia-Concord,  NC-SC",52,14,7,15,32,40,41,67,62,38,31,41,12,16,25,21,33,16,2,14
19,"Chicago-Naperville-Joliet,  IL-IN-WI",231,28,59,69,80,47,57,84,81,51,86,46,37,28,53,28,52,46,24,28
20,"Cincinnati-Middletown,  OH-KY-IN",109,27,20,(R) 37,(R) 39,(R) 36,(R) 31,(R) 44,(R) 52,(R) 28,(R) 39,(R) 47,(R) 28,(R) 16,(R) 41,(R) 19,(R) 42,14,5,16
21,"Cleveland-Elyria-Mentor,  OH",91,73,24,153,116,109,80,94,120,61,62,86,72,62,89,64,60,54,3,16
22,"Columbia,  SC",43,9,7,11,15,23,28,45,37,26,24,23,14,17,22,18,14,14,3,9
23,"Columbus,  OH",32,6,7,23,27,26,17,40,37,16,20,38,12,3,20,5,13,4,1,2
24,"Dallas-Fort  Worth-Arlington, TX",135,18,10,56,60,35,47,58,41,54,43,40,40,32,56,39,16,20,19,11
25,"Dayton,  OH",23,13,4,12,10,17,11,9,17,3,8,19,2,0,10,1,3,0,1,1
26,"Denver-Aurora,  CO",88,11,17,31,17,24,20,22,11,15,19,15,23,4,10,21,16,4,4,4
27,"Detroit-Warren-Livonia,  MI",75,23,22,31,37,43,29,50,72,38,58,54,37,37,62,38,35,24,9,23
28,"El  Paso, TX",63,9,13,49,72,61,27,33,8,16,14,15,13,5,10,10,8,8,2,3
29,"Fort  Lauderdale, FL",36,7,12,3,3,2,3,9,7,5,5,3,0,1,1,4,7,U,U,U
30,"Fort  Worth-Arlington, TX",37,21,6,53,52,28,27,32,33,38,31,37,38,25,43,34,12,U,U,U
31,"Fresno,  CA",41,62,20,90,91,105,118,86,164,164,186,204,167,84,95,97,93,89,80,62
32,"Gary,  IN",63,16,16,12,30,17,15,22,33,18,45,27,15,8,19,3,11,U,U,U
33,"Grand  Rapids-Wyoming, MI",13,2,6,14,15,11,9,4,(R) 11,6,(R) 16,17,10,3,16,(R) 8,8,1,1,1
34,"Greensboro-Winston  Salem-High Point, NC",62,39,5,20,25,18,30,48,38,29,22,42,13,5,14,8,21,U,U,U
35,"Greenville-Mauldin-Easley,  SC",26,3,5,3,15,17,13,18,36,20,24,28,7,2,11,10,8,6,0,1
36,"Harrisburg-Carlisle,  PA",16,5,8,33,33,18,23,38,33,19,42,37,16,10,22,14,20,13,0,4
37,"Hartford-West  Hartford-East Hartford, CT",35,9,6,25,28,14,19,26,26,14,27,34,13,11,19,15,24,10,3,9
38,"Honolulu,  HI",31,0,9,0,0,0,0,1,1,2,2,1,2,2,2,1,0,0,0,0
39,"Houston-Sugarland-Baytown,  TX",128,34,25,66,92,56,67,65,74,69,50,44,55,42,58,35,28,18,18,21
40,"Indianapolis-Carmel,  IN",90,15,19,(R) 60,(R) 48,(R) 36,(R) 30,(R) 40,(R) 45,(R) 25,(R) 33,(R) 48,(R) 32,(R) 20,(R) 48,(R) 25,(R) 33,7,6,8
41,"Jacksonville,  FL",33,16,12,53,25,26,26,41,34,59,38,57,8,15,20,34,15,10,3,15
42,"Jersey  City, NJ",17,14,8,19,21,15,20,16,28,9,17,22,10,5,13,13,12,U,U,U
43,"Kansas  City, MO-KS",86,25,13,19,36,15,20,23,13,21,9,26,45,33,42,65,34,36,41,18
44,"Knoxville,  TN",53,16,17,53,82,87,82,109,126,97,86,118,96,98,101,84,107,80,20,15
45,"Las  Vegas-Paradise, NV",100,10,3,(R) 7,(R) 3,(R) 12,(R) 2,(R) 7,8,(R) 4,(R) 1,(R) 8,10,4,8,(R) 9,(R) 5,0,0,1
46,"Little  Rock-North Little Rock-Conway, AR",30,2,8,8,24,9,10,13,16,29,17,18,3,0,19,11,11,2,2,2
47,"Los  Angeles-Long Beach-Santa Ana, CA",169,79,50,200,178,141,117,93,(R) 140,119,(R) 130,110,120,106,65,(R) 62,60,68,54,37
48,"Louisville/Jefferson  County, KY-IN",62,54,14,89,69,58,59,79,110,73,79,62,58,54,71,51,75,44,25,29
49,"Madison,  WI",18,2,3,1,15,7,5,8,12,3,7,10,8,1,9,1,10,1,0,2
50,"McAllen-Edinburg-Mission,  TX",8,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
51,"Memphis,  TN-AR-MS",49,14,9,37,56,(R) 38,35,55,56,52,33,34,29,11,(R) 36,30,(R) 33,10,4,13
52,"Miami-Fort  Lauderdale-Pompano Beach, FL",91,4,24,16,16,9,9,14,20,18,8,5,4,11,4,11,10,5,2,3
53,"Middlesex-Somerset-Hunterdon,  NJ",15,30,4,19,31,19,28,39,35,19,29,36,11,15,22,9,21,U,U,U
54,"Milwaukee-Waukesha-West  Allis, WI",58,9,12,17,23,15,6,16,25,8,25,21,17,6,21,6,11,3,5,8
55,"Minneapolis-St.  Paul-Bloomington, MN-WI",132,4,18,18,22,6,7,5,5,9,12,5,15,11,11,1,5,1,2,1
56,"Monmouth-Ocean,  NJ",5,21,4,41,34,31,32,46,35,19,35,46,25,22,27,19,21,U,U,U
57,"Nashville-Davidson-Murfreesboro-Franklin,  TN",51,10,17,(R) 32,(R) 49,(R) 46,(R) 50,(R) 46,(R) 73,(R) 48,(R) 24,(R) 34,20,7,(R) 29,17,34,9,1,9
