,Ref. no.,States,Consolidated nonattainment area name a,Number of areas in nonattainment d,"Area population, in 1,000s h",Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,O3e,CO,SO2,PM-10,Pb,NO2,O3,CO,SO2,PM-10,Pb,Total exposed,,,
1,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
2,1,AK,Anchorage,.,1,.,1,.,.,Â,255,Â,195,Â,255
3,2,AK,Fairbanks,.,1,.,.,.,.,Â,39,Â,Â,Â,39
4,3,AK,Juneau,.,.,.,1,.,.,Â,Â,Â,13,Â,13
5,4,AL,Birmingham,1,.,.,.,.,.,805,Â,Â,Â,Â,805
6,5,AZ,Ajo,.,.,1,1,.,.,Â,Â,7,7,Â,7
7,6,AZ,Douglas,.,.,1,1,.,.,Â,Â,15,15,Â,15
8,7,AZ,Miami-Hayden,.,.,2,1,.,.,Â,Â,4,4,Â,4
9,8,AZ,Morenci,.,.,1,.,.,.,Â,Â,8,Â,Â,8
10,9,AZ,Nogales,.,.,.,1,.,.,Â,Â,Â,24,Â,24
11,10,AZ,Paul  Spur,.,.,.,1,.,.,Â,Â,Â,1,Â,1
12,11,AZ,Phoenix,1,1,.,1,.,.,3028,3028,Â,3111,Â,3111
13,12,AZ,Rillito,.,.,.,1,.,.,Â,Â,Â,0,Â,0
14,13,AZ,San  Manuel,.,.,1,.,.,.,Â,Â,7,Â,Â,7
15,14,AZ,Yuma,.,.,.,1,.,.,Â,Â,Â,82,Â,82
16,15,CA,Imperial  Valley,.,.,.,1,.,.,Â,Â,Â,119,Â,119
17,16,CA,Los  Angeles-South Coast Air Basin,1,1,.,1,.,.,14550,14550,Â,14550,Â,14550
18,17,CA,Mono  Basin (in Mono Co.),.,.,.,1,.,.,Â,Â,Â,0,Â,0
19,18,CA,Owens  Valley,.,.,.,1,.,.,Â,Â,Â,7,Â,7
20,19,CA,Sacramento  Metro,1,.,.,1,.,.,1978,Â,Â,1223,Â,1978
21,20,CA,San  Diego,1,.,.,.,.,.,2813,Â,Â,Â,Â,2813
22,21,CA,San  Francisco-Oakland-San Jose,1,.,.,.,.,.,6541,Â,Â,Â,Â,6541
23,22,CA,San  Joaquin Valley,2,.,.,1,.,.,3302,Â,Â,3080,Â,3302
24,23,CA,Santa  Barbara-Santa Maria-Lompoc,1,.,.,.,.,.,399,Â,Â,Â,Â,399
25,24,CA,Searles  Valley,.,.,.,3,.,.,Â,Â,Â,22,Â,22
26,25,CA,Southeast  Desert Modified AQMA,1,.,.,2,.,.,1024,Â,Â,424,Â,1024
27,26,CA,Ventura  Co.,1,.,.,.,.,.,753,Â,Â,Â,Â,753
28,27,CO,Aspen,.,.,.,1,.,.,Â,Â,Â,5,Â,5
29,28,CO,Denver-Boulder,.,.,.,1,.,.,Â,Â,Â,2389,Â,2389
30,29,CO,Fort  Collins,.,1,.,.,.,.,Â,143,Â,Â,Â,143
31,30,CO,Lamar,.,.,.,1,.,.,Â,Â,Â,8,Â,8
32,31,CO,Steamboat  Springs,.,.,.,1,.,.,Â,Â,Â,9,Â,9
33,32,CT,Greater  Connecticut,1,.,.,1,.,.,2532,Â,Â,123,Â,2532
34,33,DC-MD-VA,Washington,1,.,.,.,.,.,4544,Â,Â,Â,Â,4544
35,34,DE,Sussex County,1,.,.,.,.,.,156,Â,Â,Â,Â,156
36,35,GA,Atlanta,1,.,.,.,.,.,3698,Â,Â,Â,Â,3698
37,36,GUb,Piti  Power Plant,.,.,1,.,.,.,Â,Â,1,Â,Â,1
38,37,GUb,Tanguisson  Power Plant,.,.,1,.,.,.,Â,Â,1,Â,Â,1
39,38,ID,Boise,.,1,.,.,.,.,Â,197,Â,Â,Â,197
40,39,ID,Bonner  Co. (Sandpoint ),.,.,.,1,.,.,Â,Â,Â,36,Â,36
41,40,ID,Pocatello  Area,.,.,.,2,.,.,Â,Â,Â,66,Â,66
42,41,ID,Shoshone  Co.,.,.,.,2,.,.,Â,Â,Â,12,Â,12
