,Sector,(R) 1990,1991,1992,1993,1994,(R) 1995,1996,1997,1998,1999,(R) 2000,2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,2008,(P) 2009
0,Total  U.S. CO 2 Emissions from energy use by  sector,1374.1,1355.6,1382.6,1411.3,1432.8,1449.2,1498.5,1520.9,1531.2,1548.2,1600.0,1569.4,1578.8,1597.2,1629.3,1635.2,1614.0,1642.2,1592.0,1286.4
1,Transportation,432.9,425.8,431.5,439.2,450.4,458.4,470.5,475.6,485.3,498.6,510.5,504.7,515.6,517.9,535.1,542.9,551.4,556.2,528.5,505.7
2,Natural  gas,9.8,9.0,8.8,9.3,10.3,10.5,10.7,11.4,9.6,9.8,9.7,9.5,10.1,9.1,8.7,9.0,9.1,9.6,10.0,9.3
3,Electricity,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.2,1.3,1.4,1.3,1.4,1.3,1.3
4,Petroleum,422.2,415.9,421.8,429.0,439.3,447.0,458.9,463.3,474.7,487.9,499.8,494.3,504.4,507.6,525.1,532.5,541.0,545.1,517.1,495.1
5,Motor  gasoline,263.6,260.6,264.4,272.6,275.9,280.5,285.6,288.2,296.6,304.1,305.8,307.4,315.3,316.7,323.0,323.5,325.7,327.6,312.5,310.2
6,Liquid  petroleum gas,0.4,0.3,0.3,0.3,0.5,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.4,0.7,0.7
7,Jet  fuel,60.7,58.7,58.2,58.7,61.0,60.6,63.3,63.9,64.9,66.9,69.2,66.2,64.6,63.1,65.4,67.2,65.3,64.9,61.7,55.7
8,Distillate  fuel,73.0,71.8,73.5,75.7,80.4,83.7,89.2,93.2,96.0,99.8,103.0,105.6,107.6,113.0,118.3,121.2,128.0,128.8,120.5,110.4
9,Residual  fuel,21.8,22.0,23.0,19.4,19.0,19.6,18.3,15.3,14.5,14.3,19.1,12.6,14.5,12.3,15.9,18.0,19.5,21.4,19.8,16.3
10,Lubricants,1.8,1.6,1.6,1.7,1.7,1.7,1.6,1.7,1.8,1.8,1.8,1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.3
11,Aviation  gas,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.5,0.5
12,Industrial,462.3,448.3,468.8,466.2,474.4,475.3,488.7,496.4,489.5,483.6,487.6,467.9,459.0,461.4,472.1,456.8,453.0,453.1,435.7,383.3
13,Residential,262.7,266.5,266.9,283.4,281.5,283.4,299.6,297.2,299.1,305.5,323.2,318.6,326.6,335.5,334.8,344.0,325.1,338.7,335.2,316.9
14,Commercial,216.1,215.0,215.5,222.5,226.4,232.2,239.7,251.7,257.3,260.6,278.7,278.2,277.6,282.5,287.3,291.5,284.5,294.1,292.7,273.7
15,Total U.S. CO 2 Emissions (Incl. adj. and other sources) a,1374.7,1356.3,1386.4,1420.1,1443.6,1459.9,1509.2,1530.1,1537.5,1556.6,1609.0,1583.6,1595.0,1615.3,1644.8,1651.3,1625.7,1652.5,1599.5,1485.4
