,Source,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,
1,TOTAL all spills,6169,8436248,8177,7915007,9038,2638229,9335,3117831,8624,942574,8315,885303,8539,1172449,8354,1431370,7559,854520,4497,638883,4192,401139,3897,1416713.0
2,"Vessel sources, total",1662,4862911,2485,6387158,5478,1624153,5586,1681020,5347,380879,5172,621235,5680,576475,5560,1033643,5021,569856,1816,247382,1715,210805,1705,1306557.0
3,Tankship,164,732397,249,4977251,148,125491,122,219311,124,22429,104,56673,92,8414,111,608176,95,125217,55,4753,38,4450,35,636834.0
4,Tank barge,385,3683548,457,992025,353,1101938,313,1163258,252,165649,220,248089,227,158977,229,133540,246,212298,126,30219,156,102874,143,215822.0
5,Other vesselsa,1113,446966,1779,417882,4977,396724,5151,298451,4971,192801,4848,316473,5361,409084,5220,291927,4680,232341,1635,212410,1521,103481,1527,453901.0
6,"Nonvessel sources, total",2802,3250229,2584,1408472,1116,958222,1078,1408303,1356,501265,1553,246716,1615,551381,1645,373761,1465,270523,1286,200871,1140,93515,1137,70456.0
7,Offshore pipelines,23,17977,73,46228,7,1143,4,386,13,810,10,843,5,35707,4,17,13,1241,0,0,1,14952,0,0.0
8,Onshore pipelines,362,759040,76,270700,23,10751,13,978006,19,223312,35,47020,20,433,21,17004,21,12336,0,0,0,0,1,15000.0
9,Otherb,2417,2473212,2435,1091544,1086,946328,1061,429911,1324,277143,1508,198853,1590,515241,1620,356740,1431,256946,1286,200871,1139,78563,1136,55456.0
10,Mysteryc,1705,323108,3108,119377,2444,55854,2671,28508,1921,60430,1590,17352,1244,44593,1149,23966,1073,14141,1395,190630,1337,96819,1055,39700.0
