,Source,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,Incidents,Gallons spilled,
1,TOTAL all spills,3881,9926580,4184,2836307,3808,705342,3400,760230,3304,211601,3008,207712793,3065,210271,3266,196183,3223,497710,3077,668363,2413,304689
2,"Vessel sources, total",1835,2124808,1993,416987,1928,235340,1644,536141,1645,126658,1508,894934,1531,107663,1824,131986,1721,207106,1716,273432,1375,276059
3,Tankship,37,2976,38,4292,42,46731,34,1337,28,14417,23,421583,26,1702,27,3864,20,711,18,146,21,461
4,Tank barge,126,2006774,134,287343,113,4516,106,286637,98,4424,73,965,67,15852,93,33268,100,19568,89,199667,70,144046
5,Other vesselsa,1672,115058,1821,125352,1773,184093,1504,248167,1519,107816,1412,472386,1438,90109,1704,94854,1601,186827,1609,73619,1284,131553
6,"Nonvessel sources, total",1146,7771646,1258,2290803,1233,439723,1148,197525,979,54275,1008,206809141,1159,94759,1048,51040,1048,284513,963,386350,681,26782
7,Offshore pipelines,23,26465,20,1719,36,295165,36,14809,16,1657,34,4627,38,1687,16,251,35,6028,41,5267,25,432
8,Onshore pipelines,1,110000,1,510,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9,Otherb,1122,7635181,1237,2288574,1197,144558,1112,182716,963,52619,974,206804514,1121,93072,1032,50789,1013,278485,922,381083,656,26350
10,Mysteryc,900,30126,933,128517,647,30279,608,26564,680,30667,492,8718,375,7849,394,13157,454,6091,398,8581,357,1847
