,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
0,Operating revenues (thousand dollars) 1,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Domestic total a,2178339,7180161,26440297,58201660,66672151,71424865,77396919,82599270,86856624,91351103,98899810,86573051,79336448,88870097,100902509,110269243,120279816
2,"Majors, all services",1942635,6272775,23012073,56138825,59846676,63226187,69515318,74942391,77650810,80800698,89293771,78599844,71730250,77196343,85605321,95955258,110175124
3,"Nationals, all services",146481,736831,3182418,1251559,4888701,6329602,6109778,5940674,7225393,9230210,9016171,7494385,6961517,10580912,14064227,13171292,9200672
4,"Large regionals, all services",N,N,245806,703526,1031404,1148504,1230628,1366503,1617586,902160,589869,478822,644680,1092842,1232961,1142693,904019
5,International total,705938,2109497,6442144,17824538,22364429,23432883,25046819,27318034,26611331,27958958,31348410,28706979,27837150,28897918,33719280,39535274,44388011
6,"Majors, all services",705938,2109497,5976221,17083295,19222842,19820215,20960305,23608853,23356233,24447607,28097698,25883361,24528512,24964860,29735873,34226000,38988147
7,"Nationals, all services",N,N,465923,380294,2568643,2819653,3751539,3338903,2668243,3026884,2801690,2503678,2959809,3408860,3399904,4803265,5160564
8,"Large regionals, all services",N,N,N,357761,572944,793015,334975,370278,586855,484468,449022,319940,348828,524198,583502,506009,239299
9,Total large-certificated a,2884877,9289658,32882441,76026198,89036580,94857748,102443738,109917304,113467954,119310062,130248220,115280030,107173597,117768015,134621789,149804516,164667827
10,Operating expenses (thousand dollars) 1,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
11,Domestic total a,2052094,7001668,26465999,59183777,64456644,66667151,72145242,76125467,78796175,84816236,93548937,94949876,86826833,91520149,104621676,112363170,116140022
12,"Majors, all services",1907785,6256039,23150527,57138322,57824115,58694406,64143384,68307270,70114852,74834600,84206809,86611140,79196985,80810165,89877864,98352872,106259194
13,"Nationals, all services",144309,745629,3058289,1258274,4666546,6178809,6058307,5921639,6672705,8638079,8726001,7814067,6958543,9677656,13501703,12849910,8985641
14,"Large regionals, all services",N,N,257183,676688,1077578,1055905,1328760,1502305,1600958,858956,616126,524670,671305,1032329,1242109,1160389,895187
15,International total,665660,2065605,6642095,18757740,21842021,22335258,24155202,25249593,25387024,26157262,29685280,30649400,28922103,28340403,31490257,37059043,41001911
16,"Majors, all services",665660,2065605,6171366,18086050,18875302,18997478,20406144,21688642,22321441,22993261,26647046,27664641,25687398,24606982,27783564,32207742,35951166
17,"Nationals, all services",N,N,470729,325273,2372138,2582833,3414618,3209074,2514464,2714754,2556866,2663591,2914105,3253707,3157046,4349805,4818660
18,"Large regionals, all services",N,N,N,344097,594581,754947,334440,351877,551119,449247,481367,321169,320601,479714,549646,501496,232085
19,Total large-certificated a,2717754,9067273,33108094,77941517,86298665,89002409,96300444,101375060,104183200,110973499,123234216,125599276,115748936,119860552,136111932,149422213,157141933
