,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
0,"Number of carriers c,2",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Total domestic and international,55,39,(R) 52,(R) 58,(R) 66,(R) 84,(R) 88,(R) 72,(R) 74,(R) 75,(R) 66,(R) 61,(R) 62,65,69,67,66
2,Majors,N,N,14,12,11,11,12,13,13,13,14,(R) 14,13,14,14,17,20
3,Nationals,N,N,(R) 16,15,(R) 22,27,31,(R) 28,27,(R) 28,(R) 29,(R) 26,(R) 25,26,28,28,25
4,Regionals,N,N,(R) 22,(R) 31,(R) 33,(R) 46,(R) 45,(R) 31,(R) 34,(R) 34,(R) 23,(R) 21,(R) 24,25,27,22,21
5,Number of aircraft available for service 3,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
6,Total domestic and international,2135,2690,2818,4727,5221,5567,5961,5770,6144,6254,6522,6081,5819,6675,7051,6750,6758
7,Majors,N,N,2071,3854,4085,4039,4422,4352,4605,4711,5118,4996,4530,4948,4904,5018,5626
8,Nationals,N,N,432,650,819,1143,1167,967,1113,1319,1182,952,1079,1299,1858,1478,940
9,Regionals,N,N,315,223,317,385,372,451,426,224,222,133,210,428,289,254,192
10,"Number of full-time equivalent employees c,2",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
11,Total domestic and international,169872,304690,347335,555262,535394,555537,575937,593542,631147,659689,667778,599531,590779,558246,563588,547795,539833
12,Majors,118189,214021,312842,517754,481041,484870,511270,540039,564388,590197,612814,557422,537776,489036,478114,478142,490631
13,Nationals,12470,24913,29269,30225,42785,54447,51921,43630,54205,60756,51384,38446,48685,64348,78090,63246,41908
14,Regionals,N,N,5225,7283,11569,16221,12747,9873,12555,8737,3580,3664,4318,4863,7385,6407,7295
