,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,(R) 2005,(R) 2006,2007
0,"Vehicle-miles, total (millions)",587012,1042965,1412745,1992392,2276275,2238120,2294701,2363376,2428135,2480706,2533815,2581178,2634060,2665750,2737177,2759927,2785074,2795883
1,"Passenger  car, totala, 8","(c) 587,012","(c) 919,679","(c) 1,121,810","(c) 1,417,822",1501402,1438294,1468854,1502556,1549577,1569100,1600287,1628332,1658474,1672079,1699890,1708421,1690534,1670994
2,"Rural  highway, total","(c) 313,623","(c) 424,088","(c) 450,659","(c) 547,910",526763,523834,535951,551080,574979,584765,593391,604677,608939,580060,564509,543179,537608,529790
3,Rural interstate,N,"(c) 62,342","(c) 89,488","(c) 117,519",119535,114933,119268,120045,127335,130856,134466,135966,138819,132101,129415,122789,123847,122183
4,Rural  other arterial,"(c) 233,452","(c) 182,213","(c) 180,857","(c) 211,066",212418,210553,216074,220180,228847,231117,234743,236337,238009,225437,217495,210331,207029,204123
5,Other  rural roads,"(c) 80,171","(c) 179,533","(c) 180,314","(c) 219,325",194810,198348,200609,210855,218797,222792,224182,232374,232111,222522,217599,210059,206732,203484
6,"Urban  highway, totalb","(c) 273,389","(c) 495,591","(c) 671,151","(c) 869,912",974639,914460,932903,951476,974598,984335,1006896,1023655,1049535,1092021,1135381,1165242,1152927,1141203
7,Urban interstate,N,"(c) 69,369","(c) 124,480","(c) 184,783",217174,204035,210302,214016,220487,224132,230510,236983,243521,251904,258666,266834,267106,267558
8,Other urban,N,"(c) 426,222","(c) 546,671","(c) 685,129",757465,710425,722601,737460,754111,760203,776386,786672,806014,840117,876715,898408,885821,873645
9,"Other  2-axle 4-tire vehicle, total9",e,123286,290935,574570,764633,790029,815935,850739,868275,901022,923059,943207,966034,984094,1027164,1041052,1082491,1111278
10,"Rural  highway, total",e,73591,149560,227831,285325,295472,306891,327316,334806,351658,360355,374736,384185,372891,374515,361562,373037,376627
11,Rural interstate,e,6766,19952,46298,60849,63329,65779,69030,72343,76190,79088,82356,85132,82513,83181,80173,81548,82030
12,Rural  other arterial,e,29808,56137,87474,113595,118305,122211,129890,132043,138475,141257,146525,150758,148100,148802,143976,145716,145985
13,Other  rural roads,e,37017,73471,94059,110881,113838,118901,128396,130420,136993,140010,145855,148295,142278,142532,137413,145773,148612
14,"Urban  highway, totalb",e,49695,141375,346739,479308,494557,509044,523423,533469,549364,562704,568471,581849,611203,652649,679490,709454,734651
15,Urban interstate,e,6252,23067,71500,105317,109807,112908,116680,121700,124399,128291,127989,130174,142472,155714,160470,166660,170669
16,Other urban,e,43443,118308,275239,373991,384750,396136,406743,411769,424965,434413,440482,451675,468731,496935,519020,542794,563982
17,"Motorcycle,  totala, 8",f,f,f,f,10240,9797,9912,10081,10283,10584,10469,9639,9552,9577,10123,10454,12049,13611
18,"Rural  highway, total",f,f,f,f,4402,4098,4069,4147,4279,4448,4507,4383,4445,4289,4382,4335,4635,5546
19,Rural interstate,f,f,f,f,1279,1058,1056,1050,1112,1100,1164,1121,1212,1279,1354,1356,1367,1420
20,Rural  other arterial,f,f,f,f,1698,1510,1500,1552,1588,1662,1680,1649,1623,1472,1435,1413,1602,2306
21,Other  rural roads,f,f,f,f,1425,1530,1513,1545,1579,1686,1663,1613,1610,1538,1593,1566,1666,1820
22,"Urban  highway, totalb",f,f,f,f,5838,5699,5843,5934,6004,6136,5962,5256,5107,5288,5741,6119,7414,8065
23,Urban interstate,f,f,f,f,1420,1454,1516,1509,1579,1690,1692,1546,1670,1962,2089,2270,2379,2631
24,Other urban,f,f,f,f,4418,4245,4327,4425,4425,4446,4270,3710,3437,3326,3652,3849,5035,5434
