,INVENTORY,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,(R) 2007,(R) 2008,2009,2010,2011,2012,2013,2014
0,Number of operating companies,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Intercity bus, Class I2,a",143,71,61.0,31.0,26.0,24.0,20.0,22.0,20.0,18.0,15.0,15.0,16.0,36,U,U,U,U,U,U,U,U,U,U,U
2,"Number of vehicles, all buses3",272129,377562,528789.0,626987.0,670423.0,685503.0,694781.0,697548.0,715540.0,728777.0,746125.0,749548.0,760717.0,776550,795274,807053,821959,834436,843308,841993,846051,666064,764509,864534,872027
3,Number of employees4 (SIC based),,,,,,,,,,,,,,,,,,,,,,,,,
4,Intercity and rural bus transportation,40500,43400,37900.0,26100.0,23600.0,23800.0,23800.0,22200.0,24400.0,23800.0,24700.0,25100.0,23000.0,N,N,N,N,N,N,N,N,N,N,N,N
5,School buses,N,N,79900.0,111200.0,125900.0,131100.0,132200.0,136500.0,141000.0,146100.0,146700.0,147700.0,148700.0,N,N,N,N,N,N,N,N,N,N,N,N
6,Number of employees5 (NAICS based),,,,,,,,,,,,,,,,,,,,,,,,,
7,Interurban and rural bus transportation,38200,40900,35800.0,24600.0,22300.0,22500.0,22500.0,21000.0,23000.0,22500.0,23400.0,23600.0,22800.0,21900,"(R) 20,820","(R) 20,320","(R) 18,440",18750,18420,18390,17720,17470,18130,18270,17150
8,School and employee bus transportation,N,N,81400.0,114200.0,130000.0,135500.0,136900.0,141500.0,146200.0,151400.0,152000.0,153000.0,161100.0,164800,"(R) 188,120","(R) 188,820","(R) 185,270",188900,196280,198420,200190,199370,199820,200780,205150
9,Charter bus industry,N,N,14800.0,26100.0,28300.0,29200.0,31000.0,32000.0,33900.0,36100.0,38200.0,36800.0,35500.0,33200,"(R) 33,670","(R) 33,230","(R) 32,060",32040,33650,32950,31090,31100,30390,30110,30530
