,PERFORMANCE,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,(R) 2007,(R) 2008,2009,2010,2011,2012,2013,2014
0,"Vehicle-miles, all buses (millions)6",4346,4544,6059,5727.0,6409.0,6420.0,6535.0,6842.0,7007.0,7662.0,7590.0,"(R) 7,070",6845.0,"(R) 6,782",6801.0,6980,6783,14516,14823,14387,13770,13783,14755,15167,15999
1,"Rural highway, total",2332,2549,3035,3444.0,3730.0,3854.0,3933.0,4109.0,4251.0,4667.0,4489.0,"(R) 4,158",3941.0,"(R) 3,805",3691.0,3667,3521,6207,6317,6217,5635,5703,5741,5667,5540
2,Interstate rural,N,339,533,567.0,683.0,711.0,742.0,794.0,834.0,971.0,978.0,951,943.0,(R) 994,999.0,946,950,1810,2057,1603,1553,1670,1674,1513,1533
3,Other arterial rural,N,944,991,995.0,1154.0,1171.0,1186.0,1243.0,1282.0,1375.0,1270.0,1133,1104.0,"(R) 1,001",992.0,973,959,2284,2141,2075,2034,1981,2036,2079,2022
4,Other rural,N,1266,1511,1882.0,1893.0,1972.0,2005.0,2072.0,2135.0,2321.0,2241.0,"(R) 2,074",1894.0,"(R) 1,809",1700.0,1748,1612,2113,2119,2540,2048,2052,2031,2075,1986
5,"Urban highwayb, total",2014,1995,3024,2283.0,2679.0,2566.0,2602.0,2733.0,2756.0,2995.0,3101.0,"(R) 2,911",2904.0,"(R) 2,977",3110.0,3313,3263,8308,8506,8170,8135,8079,9013,9500,10458
6,Interstate urban,N,277,560,455.0,627.0,580.0,599.0,647.0,663.0,752.0,791.0,(R) 775,803.0,(R) 943,986.0,1062,1024,2089,2131,2171,2011,2112,2359,2144,2373
7,Other urban,N,1718,2464,1828.0,2052.0,1986.0,2003.0,2086.0,2093.0,2243.0,2310.0,"(R) 2,136",2101.0,"(R) 2,034",2124.0,2251,2239,6219,6376,5999,6123,5967,6654,7356,8085
8,"Passenger-miles (millions), all buses6",N,N,N,121398.0,135871.0,136104.0,138613.0,145060.0,148558.0,162445.0,160919.0,150042,145124.0,143801,144188.0,147992,143816,307753,314278,305014,291914,292192,312797,321544,339177
9,Number of revenue passengers (thousands),,,,,,,,,,,,,,,,,,,,,,,,,
10,"Intercity bus, total1,c",366000,401000,370000,334000.0,343200.0,366500.0,347900.0,350600.0,357600.0,358900.0,364600.0,356900,585600.0,547500,534000.0,U,U,U,U,U,U,U,U,U,U
11,"Average miles traveled per vehicle, all buses6",15970,12035,11458,9133.0,9560.0,9365.0,9386.0,9809.0,9793.0,10515.0,10173.0,"(R) 9,432",8998.0,"(R) 8,733",8552.0,8649,8253,17396,17578,17087,16275,20693,19299,17543,18347
12,"Fuel consumed (million gallons), all buses6",827,820,1018,895.0,964.0,968.0,985.0,1027.0,1040.0,1148.0,1112.0,1026,1000.0,(R) 969,1360.0,"(R) 1,120",1148,2022,2057,1987,1921,1933,2059,2117,2233
13,"Average fuel consumption per vehicle (gallons), all buses6",3039,2172,1925,1427.0,1438.0,1412.0,1414.0,1472.0,1454.0,1576.0,1490.0,1369,1314.0,1248,1710.0,1388,1397,2423,2439,2360,2271,2902,2694,2448,2561
14,"Average miles traveled per gallon of fuel consumed, all buses6",5.3,5.5,6.0,6.4,6.6,6.6,6.6,6.7,6.7,6.7,6.8,6.9,6.8,7.0,5.0,6.2,5.9,7.2,7.2,7.2,7.2,7.1,7.2,7.2,7.2
15,"Average revenue per passenger-mile (cents) (intercity)1,d",2.71,3.60,7.26,9.31,11.61,12.19,12.3,12.56,12.75,12.76,12.79,12.91,9.72,10.43,11.12,U,U,U,U,U,U,U,U,U,U
