,SAFETY,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,(R) 2007,(R) 2008,2009,2010,2011,2012,2013,2014
0,Number of fatalities7,,,,,,,,,,,,,,,,,,,,,,,,,
1,School bus-related,N,N,150,115,104,121,136,128,126,164,143,141,127,138,130,134,150,141.0,153.0,118.0,129.0,123.0,131.0,130.0,120.0
2,School bus occupants,N,N,9,11,3,13,10,10,6,10,20,18,3,11,7,10,8,5.0,19.0,5.0,16.0,11.0,14.0,11.0,11.0
3,Other vehicle,,,,,,,,,,,,,,,,,,,,,,,,,
4,Occupants,N,N,88,64,64,71,101,95,90,126,98,95,98,99,90,87,119,112.0,105.0,91.0,83.0,87.0,87.0,92.0,77.0
5,Nonoccupants,N,N,53,40,37,37,25,23,30,28,26,28,26,28,33,37,23,24.0,29.0,22.0,30.0,25.0,30.0,27.0,32.0
6,"Occupant fatalities, all buses7",N,N,46,32,21,32,21,17,36,58,22,34,45,40,41,58,27,37.0,67.0,26.0,44.0,54.0,39.0,48.0,44.0
7,School buses,N,N,14,13,2,12,10,7,4,8,16,16,2,7,7,8,6,3.0,14.0,3.0,15.0,9.0,13.0,11.0,11.0
8,Cross country buses,N,N,23,2,7,6,3,4,13,32,3,3,20,3,23,33,8,19.0,13.0,9.0,15.0,31.0,15.0,17.0,19.0
9,Transit buses,N,N,6,3,6,0,5,3,2,5,1,4,6,11,1,3,1,6.0,23.0,0.0,3.0,4.0,1.0,2.0,2.0
10,Other and unknown,N,N,3,14,6,14,3,3,17,13,2,11,17,19,10,14,12,9.0,17.0,14.0,11.0,10.0,10.0,18.0,12.0
11,"Fatalities in vehicular accidentse, all buses8",N,N,(R) 329,(R) 286,(R) 256,(R) 271,(R) 324,(R) 295,(R) 288,(R) 313,(R) 323,(R) 289,(R) 274,(R) 288,(R) 276,(R) 278,(R) 303,280.0,251.0,221.0,247.0,243.0,252.0,282.0,233.0
12,Occupant fatality rate,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Per 100 million vehicle-miles, all buses6,7",N,N,0.8,0.6,0.3,0.5,0.3,0.2,0.5,0.8,0.3,(R) 0.5,0.7,(R) 0.6,0.6,0.8,0.4,0.3,0.5,0.2,0.3,0.4,0.3,0.3,0.3
14,"Per 10,000 registered vehicles, all buses3,7",N,N,0.9,0.5,0.3,0.5,0.3,0.2,0.5,0.8,0.3,0.5,0.6,0.5,0.5,0.7,0.3,0.4,0.8,0.3,0.5,0.8,0.5,0.6,0.5
15,Vehicle involvement rate (fatal crashes),,,,,,,,,,,,,,,,,,,,,,,,,
16,"Per 100 million vehicle-miles, all buses6,8",N,N,6.4,5.9,4.5,4.8,5.6,5.0,4.7,4.9,3.8,3.1,5.0,4.3,4.1,4.0,(R) 4.5,1.9,1.7,1.5,1.8,1.8,1.7,1.9,1.5
17,"Per 10,000 registered vehicles, all buses3,8",N,N,7.4,5.4,4.3,4.5,5.3,4.9,4.6,5.2,3.9,2.9,4.5,3.7,3.5,3.5,(R) 3.7,3.4,3.0,2.6,2.9,3.6,3.3,3.3,2.7
