,INVENTORY,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"Number of active aircraft by primary use, total",76549,131743,211045,196800,176600,188089,191129,192414,204710,219464,217533,211446,211244,209708,219426,224352,221943,231607,228663,223877,223370,U,209034,199927,204408
1,Corporate,N,6835,14860,10100,10200,10600,9900,10411,11250,10804,11003,10544,10810,10493,10212,10553,11054,10864,11715,10498,10405,U,9392,10670,11888
2,Business,N,26900,49391,33100,26500,28300,30700,27716,32611,24543,25169,25525,24153,25042,24189,25524,24413,24993,22432,22445,21666,U,17542,15915,15794
3,Instructional,N,10727,14862,18600,15100,14200,12700,14663,11375,16081,14883,14254,13203,12714,13099,13399,14316,14650,14975,14130,15404,U,12838,13401,13163
4,Personal,N,65398,96222,112600,104100,113400,113400,115630,124347,147085,148192,144031,145996,146722,149700,151408,149026,152514,154417,152272,150854,U,141317,133859,135716
5,Aerial application,N,5455,7294,6200,4400,5000,5000,4858,4550,4254,4294,3779,3971,3250,3202,3548,3430,4164,3106,3161,3313,U,3606,3636,3126
6,Aerial observation,N,N,N,4900,5100,4700,3000,3311,3242,3240,5093,5039,4535,4223,4814,4663,4407,5188,5304,5288,5929,U,5294,4806,5958
7,External load,N,N,N,N,100,200,400,186,313,190,234,202,151,194,215,226,212,188,374,157,223,U,405,304,268
8,Other worka,N,2054,2813,1400,1200,1100,1000,679,1116,2363,1787,1528,1733,1726,930,732,729,936,934,1177,806,U,910,963,1154
9,Air taxi / air toursb,N,N,N,5800,3800,4000,4200,4948,5190,4569,4019,4004,4157,2791,6550,7539,7814,8822,7262,7359,7013,U,7587,7843,7355
10,Sightseeingc,N,N,N,N,1300,800,700,677,679,832,881,918,641,862,1050,945,906,1275,673,849,1457,U,1097,1079,1663
11,Otherd,N,8249,17045,4100,4400,5900,5600,5250,6010,1200,2500,2100,2642,2300,5465,5817,5636,8013,"(R) 4,786",4005,4311,U,6180,4519,4912
12,"Public usee,f",N,N,N,N,N,N,4500,4130,4029,4138,N,N,N,N,N,N,N,N,N,N,N,U,N,N,N
