,PERFORMANCE,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"Number of flight hours by actual use, total (thousands)",13121,26030,36430,30763,24092,26612,26909,27713,28100,31231,29960,27017,27040,27329,28126,26982,27705,27852,26009,23763,24802,U,24403,22876,23271
1,Corporate,N,N,5332,2913,2486,3069,2898,2878,3213,3535,3341,2657,3275,3227,2849,3072,3114,3214,"(R) 2,505",2532,2387,U,2126,1717,1745
2,Business,5699,7204,8434,4417,3012,3335,3259,3006,3523,3602,3588,3579,3287,3377,3249,3244,3234,3094,2505,2532,2387,U,2126,1717,1745
3,Instructional,1828,6791,5748,7244,4382,4410,4759,4956,3961,5795,5050,4307,4182,4393,4035,3635,4322,3804,4427,3440,3885,U,3727,3978,3818
4,Personal,3172,6896,8894,9276,8248,9659,9037,9644,9781,11072,11477,11266,11025,11251,10239,9266,9141,8676,8279,8540,8006,U,8185,7189,6860
5,Aerial application,N,N,2044,1872,1364,1526,1713,1562,1306,1408,1318,1038,1182,1099,1142,1031,946,1415,922,960,1070,U,956,1014,940
6,Aerial observation,N,N,N,1745,1746,1391,1057,1261,812,1244,1545,1442,1366,1262,1457,1265,1197,1364,1427,1211,1667,U,1325,1141,1496
7,External load,N,N,N,N,135,128,191,112,153,123,161,131,97,103,125,134,136,152,153,88,144,U,209,167,161
8,Other worka,N,N,1053,572,241,280,265,139,286,605,496,256,369,414,264,176,198,145,317,222,259,U,261,264,250
9,Air taxi / air toursb,N,N,N,2249,1545,1527,1834,2122,2583,1985,2122,1587,1495,1332,2764,3210,3041,3621,2642,2421,2498,U,2794,2738,2925
10,Sightseeingc,N,N,N,N,309,179,195,127,169,218,197,183,134,175,204,191,171,160,152,119,173,U,166,157,176
11,Otherd,2422,5139,4925,475,622,1107,656,819,940,535,665,571,628,697,1797,1759,2205,2207,"(R) 1,154",970,886,U,1261,974,1052
12,"Public usee,f",N,N,N,N,N,N,1047,1096,1373,1109,N,N,N,N,N,N,N,N,N,N,N,U,N,N,N
13,Vehicle-miles (millions)g,1769,3207,5204,4548,3358,3795,3524,3877,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
14,Passenger-miles (millions)g,2300,9100,14700,13000,9800,10800,12000,12500,13100,14100,15200,15900,U,U,U,U,U,U,U,U,U,U,U,U,U
15,"Fuel consumed, total (million gallons)g",242,759,1286,1016,731,847,896,934,1126,1313,1305,1198,1215,1205,1504,1822,1926,1759,1954,1674,1656,1672,1641,1457,1676
16,Aviation gasoline,242,551,520,353,266,287,289,292,311,345,333,279,277,272,273,295,283,274,248,227,221,216,206,197,210
17,Jet fuel,N,208,766,663,464,560,608,642,815,967,972,918,938,932,1231,1527,1643,1486,1706,1447,1435,1456,1435,1260,1466
