,PERFORMANCE,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,(R) 2009,2010,2011,2012,2013,2014
0,"Vehicle-miles of travel by functional system (millions), total j, 9",718762,1109724,1527295,2144362,2357588,2422696,2484080,2552233,2628148,2690241,2746925,2781462,2855756,2890893,2962513,2989807,3014116,3047462,2973509,2950393,3799008,2930964,2948668,2965560,2999237
1,"Rural mileage, total",400463,539472,672030,868878,908341,933289,960194,999277,1032528,1062623,1083152,1105083,1128160,1085385,1070248,1037937,1037069,1035033,990418,975810,1815808,956354,956478,919149,894509
2,Interstate,10514,79516,135084,200173,215568,223382,232565,240255,251520,260166,268180,274024,279962,269945,266996,258790,257913,256438,243290,242178,245687,243587,245872,234303,231372
3,Other principal arterial,N,N,132958,175133,207569,215567,221403,228716,237704,244045,248725,253056,257587,245345,241046,233999,231865,232054,222298,215346,205688,204219,203132,193063,188156
4,Minor arterial,N,N,129816,155733,149760,153028,157444,163341,165780,169275,171874,173889,176218,171251,168898,164933,162634,161411,151975,151144,150990,149519,148676,142936,140545
5,Major collector,N,N,150186,190512,182000,186212,190923,201790,203580,206831,209659,211312,213503,203368,200792,193288,193287,193333,186139,177554,176028,175962,175699,168630,158994
6,Minor collector,N,N,39282,49948,48529,49936,50107,52310,54288,57622,57572,59650,61504,60294,60139,58299,58088,58181,55019,53782,53348,53296,53072,52593,49695
7,Local,N,N,84704,97379,104915,105164,107752,112865,119656,124684,127142,133152,139386,135182,132377,128628,133282,133886,131697,135805,984065,129770,130027,127623,125747
8,"Urban mileage, total",318299,570252,855265,1275484,1449247,1489407,1523886,1552956,1595620,1627618,1663773,1676379,1727596,1805508,1892265,1951870,1977047,2012429,1983091,1974583,1983200,1974610,1992191,2046411,2104728
9,Interstate,13365,81532,161242,278901,330577,341515,351579,361433,374622,383259,393465,399890,408618,432633,454385,469070,477283,483315,476091,474798,477832,476704,484547,505309,519843
10,Other freeways and expressways,N,N,79690,127465,147534,151509,157502,159572,165632,171515,177222,182758,189634,199520,207929,213727,217067,220335,222624,220574,220742,221986,224058,223234,227520
11,Other principal arterial,N,N,229469,335543,364200,370365,377776,385123,388071,392688,398772,401037,408336,425622,450142,463100,466949,469681,462569,456477,456981,454502,456703,464534,467764
12,Minor arterial,N,N,175030,236225,286165,293228,299345,301932,309293,313950,324398,329931,339387,348794,362018,371392,376082,378114,377033,376478,374590,369514,371424,381159,389753
13,Collector,N,N,83043,106297,120088,126883,129310,130146,131905,131603,135372,137922,141874,153751,162108,168038,173210,174671,175389,179993,180443,179396,179513,188547,205053
14,Local,N,N,126791,191053,200683,205907,208374,214750,226097,234603,234544,224841,239747,245188,255683,266543,266456,268413,269385,266264,272612,272507,275946,283628,294796
15,"Highway demand for petroleum, total (thousand barrels)",1488095,2361310,2882143,3289554,3530071,3602159,3669491,3765003,"(R) 2,348,299","(R) 4,024,625","(R) 2,449,933","(R) 2,459,934","(R) 2,529,660","(R) 2,545,846","(R) 2,606,636","(R) 2,626,998","(R) 2,620,918","(R) 2,627,645","(R) 2,524,237",2466846,2499087,2469134,2466530,2474308,2527044
16,Motor fuel10,1378095,2198310,2737143,3113214,3353320,3424616,3492285,3580620,"(R) 2,158,041","(R) 3,825,045","(R) 2,257,697","(R) 2,270,533","(R) 2,342,808","(R) 2,362,070","(R) 2,410,155","(R) 2,427,595","(R) 2,430,869","(R) 2,447,259","(R) 2,371,740",2335278,2366813,2339615,2341952,2356263,2407599
17,Asphalt and road oil11,110000,163000,145000,176340,176751,177543,177206,184383,190258,199580,192236,189401,186852,183776,196481,199403,190049,180386,152497,131568,132274,129519,124578,118045,119445
