,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,"Pipeline mileage, total 4",630950,913267,1051774,1270374,1335530,1331676,1314663,1331775,1372644,1364336,1377320,1413555,"(R) 1,462,585","(R) 1,432,209","(R) 1,484,945","(R) 1,484,552","(R) 1,504,318","(R) 1,523,943",1533239,1544759
1,Transmission,183700,252200,266500,291990,301545,296947,292186,294370,302714,296114,298957,290456,"(R) 303,330","(R) 301,616","(R) 303,005","(R) 300,452","(R) 300,338","(R) 301,066",303282,304406
2,Distribution,391400,594800,701800,945964,1002669,1003798,992860,1002942,1040765,1035946,1050802,1101485,1136479,1107559,"(R) 1,156,989","(R) 1,160,484","(R) 1,183,277","(R) 1,202,893",1209358,1219801
3,Field  and gathering,55800,66300,83500,32420,31316,30931,29617,34463,29165,32276,27561,21614,"(R) 22,776","(R) 23,034","(R) 24,951","(R) 23,616","(R) 20,703","(R) 19,984",20599,20552
4,Number of employees 5,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
5,Gas utility industry totals,206400,211700,215400,204200,187200,179000,179000,154600,154200,143600,135600,135000,140000,129000,130000,131000,124000,118000,122000,121000
6,"Investor-owned companiesd, total",N,N,202700,192100,175700,168900,163400,145400,142400,133100,125100,123000,123000,114000,111000,119000,111000,106000,111000,110000
7,Transmission  pipeline companies,31400,32400,45200,37400,31000,28000,32300,27500,28400,29400,26400,26000,26000,25000,25000,25000,25000,25000,25000,25000
8,Distribution  pipeline companies,N,N,52100,64700,62400,61600,79700,75000,71300,71400,69500,53000,55000,51000,51000,51000,51000,47000,53000,52000
9,Integrated  pipeline companies,N,N,53200,39900,39400,36400,12700,12300,12000,6200,6000,5000,6000,5000,4000,4000,4000,4000,3000,3000
10,Combination  pipeline companies,N,N,52200,50100,42900,42900,38700,30600,30700,26100,23200,39000,36000,33000,31000,39000,31000,30000,30000,30000
11,"Number of interstate natural gas pipeline companies e, 6",87,89,91,132,79,92,84,101,97,108,107,106,109,107,114,114,117,125,130,139
