,Â,1960,1970d,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,"Class Ia, 1",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,"Number  of vehicles, total",1994517,1811258,1738921,1231096,1210917,1237739,1259842,1290103,1335928,1389092,1400824,1333881,1320176,1299751,1309935,1335024,1370239,1409852,1416975,1387478
2,Class  I freight cars,1658292,1423921,1168114,658902,590930,583486,570865,568493,575604,579140,560154,499860,477751,467063,473773,474839,475415,460172,450297,416180
3,Other  nonclass I freight cars,307194,360260,542713,553359,601482,635441,669708,701926,740063,789696,820642,814276,821919,811917,814147,837406,871092,925537,942675,947253
4,Number  of locomotives,29031,27077,28094,18835,18505,18812,19269,19684,20261,20256,20028,19745,20506,20771,22015,22779,23732,24143,24003,24045
5,Number  of companies,106,71,38,14,12,11,10,9,9,9,8,8,7,7,7,7,7,7,7,7
6,Number  of employees,780494,566282,458994,216424,189962,188215,181809,177981,178222,177557,168360,162155,157372,154652,157699,162438,167581,167216,164439,151906
7,Miles  of road owned,207334,196479,164822,119758,109332,108264,105779,102128,100570,99430,99250,97817,100125,99126,97662,95664,94801,94313,94082,93921
8,Amtrak,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
9,Number  of passenger vehicles3,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,Train-cars,N,1569,2128,1863,1852,1722,1730,1728,1962,1992,1894,2084,2896,1623,1211,1186,1191,1164,1177,1214
11,Locomotives,N,185,419,318,338,313,299,332,345,329,378,401,372,442,276,258,319,270,278,274
12,Number  of employees4,N,1500,21416,24000,25049,23646,23278,23555,24528,25291,25624,27316,22649,20905,20938,19234,18659,18996,19203,19835
13,System  route mileage5,N,N,24000,24000,25000,24000,25000,25000,22000,23000,23000,23000,23000,22675,22256,22007,21708,21708,21178,21178
