,Â,1960,1970d,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,"Number of fatalities, railroads and grade crossings,  total",2345,2331,1417,1297,1226,1146,1039,1063,1008,932,937,971,951,865,891,884,903,(R) 851,(R) 804,708
1,Passengers  on Trains,34,10,4,3,5,0,12,6,4,14,4,3,7,3,3,16,2,5,24,3
2,Employees on duty,215,179,97,40,31,34,33,37,27,31,24,22,20,19,25,25,16,17,(R) 26,16
3,Employees not on duty,N,N,4,0,0,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0
4,Trespassers,637,607,566,700,682,660,620,646,644,570,570,673,646,631,617,588,641,(R) 624,(R) 590,566
5,Nontrespassers,1459,1535,739,551,505,443,365,363,326,305,335,269,267,206,242,250,237,(R) 200,(R) 159,119
6,Contractor employees,N,N,7,3,3,7,9,11,5,12,3,4,10,5,4,5,7,5,5,4
7,Grade  crossing only,1421,1440,833,698,615,579,488,461,431,402,425,421,357,334,371,359,369,(R) 339,(R) 290,250
8,Railroad onlyc,924,785,584,599,611,567,551,602,577,530,512,550,594,531,520,525,534,512,514,458
