,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,"Vehicle-miles8, total (millions)",2143,1883,2287,3242,3468,3550,3082,3201,3347,3500,3605,3735,3855,3915,3972,4054,4127,4238,4375,4475
1,Motor  bus,1576,1409,1677,2130,2162,2184,1813,1849,1904,1985,2041,2104,2156,2177,2169,2192,2214,2241,2272,2285
2,Heavy  rail,391,407,385,537,532,537,543,558,566,578,595,608,621,630,642,646,652,657,674,685
3,Light  rail,75,34,18,24,34,35,37,41,43,48,52,54,61,64,67,69,74,84,88,90
4,Trolley  bus,101,33,13,14,14,14,14,14,14,14,15,13,14,14,13,13,12,11,12,13
5,Demand  responsive,U,U,U,306,464,507,363,410,469,494,532,578,613,640,651,683,708,752,803,847
6,Ferryboata,U,U,2,2,2,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3
7,Commuter  rail,U,U,179,213,231,238,242,251,259,266,271,277,284,286,295,303,315,325,337,337
8,Otherb,U,U,13.4,16.3,29.5,34.2,67.7,77.0,89.8,112.2,96.8,99.5,103.9,100.8,130.7,144.3,149.3,163,187,214
9,"Unlinked  passenger trips9, total (millions)",9395,7332,8567,8799,7949,7763,7565,7982,8115,8523,8720,9008,9018,8876,8937,9176,9379,9948,10257,10134
10,Motor  bus,6425,5034,5837,5677,4871,4848,4506,4602,4754,4992,5040,5215,5269,5146,5094,5227,5274,5278,5448,5359
11,Heavy  rail,1850,1881,2108,2346,2169,2033,2157,2429,2393,2521,2632,2728,2688,2668,2748,2808,2927,3460,3547,3490
12,Light  rail,463,235,133,175,284,251,259,259,273,289,316,334,337,338,350,381,407,418,451,464
13,Trolley  bus,657,182,142,126,118,119,117,121,117,120,122,119,116,109,106,107,100,97,101,104
14,Demand  responsive,U,U,U,68,88,88,55,88,66,69,73,77,79,82,83,87,88,91,96,100
15,Ferryboata,U,U,63,50,47,47,43,42,48,50,47,48,50,60,57,59,56,61,62,59
16,Commuter  rail,U,U,280,328,339,344,352,357,381,396,413,418,414,410,414,423,441,458,471,464
17,Otherb,U,U,4,29,33,33,76,83,84,88,76,69,65,65,85,85,86,84,81,94
18,"Passenger-miles10, total (millions)",U,U,39854,41143,39585,39808,38984,40180,41605,43279,45100,46508,46096,45677,46546,47125,49504,51873,53712,53898
19,Motor  bus,U,U,21790,20981,18832,18818,16802,17509,17874,18684,18807,19583,19679,19179,18921,19425,20390,20388,21198,21100
20,Heavy  rail,U,U,10558,11475,10668,10559,11530,12056,12284,12902,13844,14178,13663,13606,14354,14418,14721,16138,16850,16805
21,Light  rail,U,U,381,571,833,860,955,1024,1115,1190,1339,1427,1432,1476,1576,1700,1866,1930,2081,2196
22,Trolley  bus,U,U,219,193,187,187,184,189,182,186,192,187,188,176,173,173,164,156,161,168
23,Demand  responsive,U,U,N,431,577,607,391,531,513,559,588,626,651,689,704,738,753,778,844,881
24,Ferryboata,U,U,N,286,260,260,255,254,280,295,298,295,301,367,357,359,360,381,390,365
25,Commuter  rail,U,U,6516,7082,7996,8244,8350,8037,8702,8764,9400,9544,9500,9555,9715,9470,10359,11137,11032,11129
26,Otherb,U,U,390,124,232,273,516,579,654,699,632,668,683,629,745,842,891,966,1156,1254
27,"Average  trip length11, all modes (miles)",U,U,4.7,4.7,5.0,5.1,5.2,5.0,5.1,5.1,5.2,5.2,5.1,5.1,5.2,5.1,5.3,5.2,5.2,5.3
28,Motor  bus,U,U,3.7,3.7,3.9,3.9,3.7,3.8,3.8,3.7,3.7,3.8,3.7,3.7,3.7,3.7,3.9,3.9,3.9,3.9
29,Heavy  rail,U,U,5.0,4.9,4.9,5.2,5.3,5.0,5.1,5.1,5.3,5.2,5.1,5.1,5.2,5.1,5.0,4.7,4.8,4.8
30,Light  rail,U,U,2.9,3.3,2.9,3.4,3.7,3.9,4.1,4.1,4.2,4.3,4.3,4.4,4.5,4.5,4.6,4.6,4.6,4.7
31,Trolley  bus,U,U,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
32,Demand  responsive,U,U,U,6.3,6.6,6.9,7.2,6.0,7.8,8.1,8.0,8.2,8.3,8.4,8.5,8.5,8.5,8.5,8.8,8.8
33,Ferryboata,U,U,U,U,5.7,6.0,5.9,6.0,5.8,6.0,6.3,6.1,6.0,6.1,6.2,6.1,6.4,6.2,6.3,6.1
34,Commuter  rail,U,U,23.3,21.6,23.6,24.0,23.7,22.5,22.9,22.1,22.8,22.8,22.9,23.3,23.5,22.4,23.5,24.3,23.4,24.0
35,Vanpool,U,U,U,U,32.4,35.0,34.6,33.2,36.5,34.4,34.6,38.4,37.2,33.1,30.8,33.9,33.7,34.6,33.2,33.2
36,Otherg,U,U,5.8,5.2,0.5,0.7,3.6,3.6,3.7,3.8,3.5,3.7,4.3,3.6,4.1,3.8,3.1,3.0,3.2,3.3
37,"Average  vehicle speed12, all modes (miles per hour)",U,U,U,U,14.7,15.0,14.9,14.9,15.2,14.9,14.7,14.7,14.8,14.7,14.6,14.8,14.7,14.0,14.9,(P) 14.9
38,Motor  bus,U,U,U,U,13.0,13.0,13.1,13.0,13.0,12.9,12.8,12.8,12.8,12.7,12.6,12.7,12.6,12.6,12.6,(P) 12.5
39,Heavy  rail,U,U,U,U,20.7,21.0,20.7,20.7,20.5,20.5,20.4,20.4,20.2,20.6,20.4,20.0,20.0,20.1,20.2,(P) 20.3
40,Light  rail,U,U,U,U,14.4,14.0,14.1,15.5,15.7,15.4,15.3,15.1,15.3,15.7,15.5,14.9,14.7,15.1,15.0,(P) 15.1
41,Trolley  bus,U,U,U,U,8.2,8.0,7.7,7.4,7.7,7.6,7.3,7.1,7.4,7.4,7.9,7.4,7.4,7.2,7.2,(P) 7.2
42,Demand  responsive,U,U,U,U,14.0,15.0,14.7,15.3,16.5,14.7,14.7,14.5,14.7,14.5,14.4,14.7,14.6,12.1,14.6,(P) 14.3
43,Ferryboata,U,U,U,U,8.4,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.3,8.7,8.4,8.3,9.1,9.7,9.8,(P) 9.3
44,Commuter  rail,U,U,U,U,33.8,34.0,33.1,33.8,31.8,32.9,28.5,31.6,31.7,31.7,31.5,31.6,31.4,31.4,31.2,(P) 31.2
45,Vanpool,U,U,U,U,32.6,35.0,37.0,36.0,37.0,38.0,31.0,38.8,38.2,32.7,37.6,38.1,38.3,38.8,39.5,(P) 40.1
46,Otherg,U,U,U,U,5.7,6.0,17.6,16.5,18.5,21.1,16.9,21.3,20.8,18.0,20.0,21.8,22.5,15.4,16.5,(P) 14.7
47,"Energy  consumption, diesel13, total (million gallons)",208,271,431,651,678,678,535,539,560,576,591,596,674,555,544,532,545,537,536,658
48,Motor  bus,U,U,U,563,565,564,466,463,468,477,490,492,469,443,443,427,438,426,436,487
49,Heavy  rail,,,,,,,,,,,,,,,,,,,,
50,Light  rail,,,,,,,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
51,Trolley  bus,,,,,,,,,,,,,,,,,,,,
52,Demand  responsive,U,U,U,15,30,29,6,7,10,11,13,15,14,26,17,18,18,17,18,45
53,Ferryboata,U,U,U,20,21,22,20,21,21,23,25,25,25,26,25,25,24,28,26,33
54,Commuter  rail,U,U,U,53,62,63,43,48,62,65,63,64,165,60,59,62,64,66,54,91
55,Otherb,U,U,U,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
56,"Energy  consumption, other14, total (million gallons)",192,(R) 68,(R) 11,33,65,71,37,45,51,56,67,79,100,105,115,123,141,137,144,240
57,Gasoline and other nondiesel fuelsh,192,68,11,33,60,61,25,26,22,21,24,26,35,26,28,29,31,29,31,98
58,Compressed  natural gas,U,U,U,U,5,11,11,19,29,35,44,53,66,79,87,94,111,108,113,142
59,"Energy  consumption, electric power15, total (million kWh)",2908,2561,2446,4837,5081,5068,4923,4908,4962,5126,5382,5485,5529,5508,5657,5765,5770,6216,6337,6492
60,Motor  bus,,,,,,,Z,Z,Z,Z,Z,Z,3,1,2,1,1,1,Z,Z
61,Heavy  rail,2098,2261,U,3284,3431,3401,3332,3253,3280,3384,3549,3646,3683,3632,3684,3752,3692,3800,3881,3886
62,Light  rail,393,157,U,239,282,288,319,360,376,408,450,476,503,500,537,554,605,654,682,735
63,Trolley  bus,417,143,U,69,103,100,69,78,74,75,77,74,73,69,68,67,62,61,62,69
64,Demand  responsive,,,,,,,,,,,,,,,,,,Z,Z,Z
65,Ferryboata,,,,,,,,,,,,,,,,,,,,
66,Commuter  rail,U,U,U,1226,1244,1253,1186,1202,1216,1241,1288,1272,1252,1288,1350,1375,1393,1683,1694,1780
67,Otherb,U,U,U,19,21,26,16,15,15,16,16,16,16,17,17,16,16,16,17,23
