,Unnamed: 0,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
0,"Operating revenues, totala (based on SIC) ($ millions)",U,U,U,127314,155713,161806,172743,183153,197490,U,U,U,U,U,U,U,U,U
1,Local  trucking,U,U,U,31397,40903,43830,46589,49972,55553,U,U,U,U,U,U,U,U,U
2,"Trucking,  except local",U,U,U,74465,89369,91675,97586,103847,109351,U,U,U,U,U,U,U,U,U
3,Local  trucking with storage,U,U,U,4115,4757,5154,5502,5860,6144,U,U,U,U,U,U,U,U,U
4,"Courier  services, except by air",U,U,U,17337,20684,21147,23066,23474,26442,U,U,U,U,U,U,U,U,U
5,"Operating expenses, totala (based on SIC) ($ millions)",U,U,U,118968,145216,151628,162825,170998,179907,U,U,U,U,U,U,U,U,U
6,Local  trucking,U,U,U,28049,36455,38695,41325,43871,47478,U,U,U,U,U,U,U,U,U
7,"Trucking,  except local",U,U,U,70965,84682,88061,94390,98570,101584,U,U,U,U,U,U,U,U,U
8,Local  trucking with storage,U,U,U,3885,4543,4817,5121,5439,5638,U,U,U,U,U,U,U,U,U
9,"Courier  services, except by air",U,U,U,16069,19536,20055,21989,23118,25207,U,U,U,U,U,U,U,U,U
10,"Operating revenues, totalb(based on NAICS) ($ millions)",U,U,U,U,U,U,U,U,197314,207751,223197,221355,222383,228311,248191,273420,293498,303611
11,Truck  transportation,U,U,U,U,U,U,U,U,148121,155871,165421,162871,164218,168486,185945,206512,221871,228907
12,Couriers  and messengers,U,U,U,U,U,U,U,U,49193,51880,57776,58484,58165,59825,62246,66908,71627,74704
13,"Truck  highway-user taxes, total($ millions)",2830,5632,9888,19356,23836,25117,U,28010,28697,30502,31769,30689,30216,31266,32780,35178,37351,38010
14,State,1709,3429,6731,12691,13157,13844,U,15750,15611,16266,16476,17686,16566,14312,17923,18632,19573,20188
15,Federal,1121,2203,3157,6665,10679,11273,U,12260,13086,14236,15293,13003,13650,16954,14857,16546,17778,17822
