,Unnamed: 0,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
0,"Number  of domestic inland vessel operatorsb, 3",228,380,403,565,555,557,554,U,U,U,U,U,U,U,U,U,U
1,Number  of employees4,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
2,"Ships,  boat building, and repairingc",141200,171800,220500,187700,158200,159600,158800,158300,166600,167400,167900,161100,146810,145350,149160,153170,152650
3,Water transportationd,N,212300,211200,176600,172400,174500,174100,178700,181300,185500,193900,192400,145370,145400,145340,154980,160160
4,"Number of employeesd,e, total5",49281,35000,19218,12132,11324,10303,9250,8937,8956,9036,U,U,U,U,U,U,U
5,Passenger / combo,8560,2178,618,642,642,642,321,321,321,321,U,U,U,U,U,U,U
6,Cargo,28668,22257,9878,7019,6056,5400,4964,4831,4924,4757,U,U,U,U,U,U,U
7,Tankers,12053,10567,8722,4471,4626,4261,3965,3785,3711,3958,U,U,U,U,U,U,U
8,Mileage  of commercially navigable channels1,25000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,U,U,U,U,U
9,Number  of vessels6,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,Total  nonself-propelled,16777,19377,31662,31017,30723,31360,32811,33011,33509,33387,33152,33042,32381,31335,31296,32052,U
11,Dry  cargo barges and scows,14025,15890,27426,27091,26723,27342,28743,29006,29526,29383,29107,28888,28281,27272,27197,27876,U
12,Tankers,2429,3281,4166,3913,3966,3985,4036,3971,3952,3973,4011,4122,4068,4031,4069,4151,U
13,Railroad  car floats,323,206,70,13,34,33,32,34,31,31,34,32,32,32,30,25,U
14,Total  self-propelled,6519,6447,7126,8236,8334,8281,8293,8408,8523,8379,8202,8546,8621,8648,8994,8976,U
15,Dry  cargo / passenger,1796,1761,2036,2678,2785,2804,2782,2905,2938,2910,2780,2697,2738,2765,2948,2967,U
16,"Ferries,  railroad car",31,17,67,135,175,172,173,183,213,229,292,579,595,607,629,619,U
17,Tankers,489,421,330,213,195,178,161,147,135,142,135,120,108,104,103,100,U
18,Towboats  / tugs,4203,4248,4693,5210,5179,5127,5177,5173,5237,5098,4995,5150,5180,5172,5314,5290,U
19,"U.S. merchant marine ships (over 1,000 gross tons)",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
20,Total U. S. flag7,2926,1579,864,636,543,509,495,477,470,463,454,443,426,(R) 418,412,U,U
21,Passenger  / cargo,309,171,65,10,13,13,15,14,12,11,11,13,12,(R) 15,18,U,U
22,Freightersf,2138,1076,471,367,308,295,292,288,289,284,286,283,276,(R) 209,205,U,U
23,Bulk  carriers,57,38,20,26,22,20,15,14,15,14,15,17,18,(R) 20,20,U,U
24,Tankers,422,294,308,233,200,181,173,161,154,154,142,130,120,(R) 109,104,U,U
25,Privately  owned,1008,U,578,408,354,319,302,285,281,277,U,U,U,U,U,U,U
26,Government  owned,1918,U,286,228,189,190,193,192,189,186,U,U,U,U,U,U,U
27,"Number of recreational boats (thousands)h,8",2500,7400,8578,10996,11430,11735,11878,12313,12566,12738,12782,12876,12854,12795,12781,12942,12746
