,STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL (2),CHANGE FROM PREVIOUS YEAR,GALLONS,PERCENT
0,Alabama,220313,212675,198684,223758,226029,232883,231598,241571,241472,218678,231412,214549,2693622,209999,8.5,
1,Alaska,21547,20365,22546,21900,26136,27493,29732,28632,25881,24186,21564,22694,292676,12723,4.5,
2,Arizona,231913,215661,249615,238002,232077,229549,239026,245383,223765,245315,232860,234005,2817171,316171,12.6,
3,Arkansas,117392,101291,116944,122827,127758,127065,132612,130071,125955,128986,120332,120569,1471802,60706,4.3,
4,California,1217055,1148825,1288573,1256811,1279627,1264320,1279317,1317484,1264803,1305814,1225432,1271902,15119963,566658,3.9,
5,Colorado,183397,164075,192238,184680,194896,199658,211709,212164,199461,200162,181728,189820,2313988,149179,6.9,
6,Connecticut,116441,106730,121583,120039,129493,126049,129492,129396,123529,129716,121060,126315,1479843,41217,2.9,
7,Delaware,36025,32796,37755,38384,45346,40232,43655,45882,38922,47041,37055,39905,482998,48559,11.2,
8,Dist. of Col.,9015,9368,10937,8407,10578,10163,11364,10122,9903,10167,10555,8927,119506,18482,18.3,
9,Florida,712352,723322,684603,773710,768809,756114,723686,741048,754553,693606,744716,725087,8801606,554293,6.7,
10,Georgia,394611,366119,420861,411710,431796,417675,432939,430918,402352,428652,402138,418356,4958127,131045,2.7,
11,Hawaii,36740,35876,39099,38587,39403,38645,40211,41186,38602,39758,37704,40266,466077,13948,3.1,
12,Idaho,55306,60110,58481,54547,60027,61117,64183,68958,72362,73117,68089,68866,765163,54897,7.7,
13,Illinois,386737,364184,393493,389906,408964,404980,414293,409544,391097,563482,484299,505995,5116974,474683,10.2,
14,Indiana,247130,228910,256620,261592,276739,265196,285837,278544,264822,272530,257909,262148,3157977,116980,3.8,
15,Iowa,132589,126682,129863,136550,146322,142981,148621,146520,134118,147310,133917,139685,1665158,21728,1.3,
16,Kansas,106903,100386,108009,109066,114405,113995,114653,93510,105730,113134,105813,111659,1297263,69570,5.7,
17,Kentucky,171173,152060,176135,183315,191733,187241,194608,195430,182477,189395,178601,182578,2184746,61595,2.9,
18,Louisiana,190056,178396,206413,197432,202550,198256,208603,204077,196101,199913,178992,203057,2363846,61839,2.7,
19,Maine,62714,19892,86680,72156,72608,55308,69762,90779,76537,60715,71612,61376,800139,43747,5.8,
20,Maryland,208796,206241,229788,236343,251289,252065,222368,305859,225602,260184,223959,240173,2862667,41390,1.5,
21,Massachusetts,237998,203286,231192,220380,241932,237457,244609,245987,233005,239957,210527,250732,2797062,84338,3.1,
22,Michigan,409799,287365,397997,370811,329532,428490,471638,419641,397886,414797,383449,388308,4699713,106992,2.3,
23,Minnesota,208611,196605,203382,209394,226503,230879,243916,232860,212949,234640,211892,217510,2629141,83477,3.3,
24,Mississippi,136752,154138,146689,152405,152820,134185,134271,142714,136544,150661,136544,150661,1728384,0,0.0,
25,Missouri,250606,228329,257458,262229,234448,294454,301100,279843,266416,276573,239137,282235,3172828,92155,3.0,
26,Montana,38796,37946,40585,41707,46118,50296,56273,53278,47073,45724,41567,40621,539984,28688,5.6,
27,Nebraska,69290,64088,71896,73580,76164,79733,82469,80070,74264,77718,70853,71426,891551,38929,4.6,
28,Nevada,91921,84577,97859,94692,97744,98913,100201,104870,96901,98180,92768,95342,1153968,57056,5.2,
29,New Hampshire,58121,53115,58523,55437,60146,61134,65427,65205,60229,62535,56654,59530,716056,11869,1.7,
30,New Jersey,325319,302474,341505,338523,351999,348553,361055,361875,339441,352645,327641,329677,4080707,114700,2.9,
31,New Mexico,81276,70414,82141,81592,81127,88683,86779,86592,81655,83591,77607,80149,981606,40356,4.3,
32,New York,472098,405665,444324,451247,455601,461698,475996,471533,492404,472167,440868,476951,5520552,147116,2.7,
33,North Carolina,354242,321584,373555,376181,368982,433650,410473,402010,383672,376208,379708,390057,4570322,221563,5.1,
34,North Dakota,36939,38602,34742,38369,42188,40837,44002,42267,38871,40057,36030,39685,472589,21019,4.7,
35,Ohio,403219,371471,417206,417607,450392,432066,455673,450282,427283,440679,414241,421424,5101543,116102,2.3,
36,Oklahoma,121590,178343,159038,159296,138259,200673,173230,160139,171235,131078,196431,167001,1956313,85686,4.6,
37,Oregon,92823,139413,125826,121713,140773,130121,144383,151988,131506,123483,126600,127719,1556348,81402,5.5,
38,Pennsylvania,396904,365944,397732,407501,434928,419811,439305,434689,407200,429502,395958,409873,4939347,-84497,(1.7),
39,Rhode Island,31827,28631,32556,30859,33564,31258,33407,33932,31830,32995,30778,31840,383477,12358,3.3,
40,South Carolina,219873,194770,236894,241381,245382,243512,252866,247849,235027,239775,227937,233262,2818528,153754,5.8,
41,South Dakota,39912,37034,33704,36620,36139,39972,46789,47544,44554,42161,40566,37003,481998,29240,6.5,
42,Tennessee,273378,232345,240711,274807,289431,308957,290052,291350,275639,292550,283586,254717,3307523,134969,4.3,
43,Texas,1105723,1021393,1170017,1157191,1173958,1167707,1210113,1218749,1167205,1188923,1122375,1176489,13879843,1200473,9.5,
