STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL (2),CHANGE FROM PREVIOUS YEAR,
,,,,,,,,,,,,,,GALLONS,PERCENT
Alabama,"220,313 ","212,675 ","198,684 ","223,758 ","226,029 ","232,883 ","231,598 ","241,571 ","241,472 ","218,678 ","231,412 ","214,549 ","2,693,622 ","209,999",8.5 
Alaska,"21,547 ","20,365 ","22,546 ","21,900 ","26,136 ","27,493 ","29,732 ","28,632 ","25,881 ","24,186 ","21,564 ","22,694 ","292,676 ","12,723",4.5 
Arizona,"231,913 ","215,661 ","249,615 ","238,002 ","232,077 ","229,549 ","239,026 ","245,383 ","223,765 ","245,315 ","232,860 ","234,005 ","2,817,171 ","316,171",12.6 
Arkansas,"117,392 ","101,291 ","116,944 ","122,827 ","127,758 ","127,065 ","132,612 ","130,071 ","125,955 ","128,986 ","120,332 ","120,569 ","1,471,802 ","60,706",4.3 
California,"1,217,055 ","1,148,825 ","1,288,573 ","1,256,811 ","1,279,627 ","1,264,320 ","1,279,317 ","1,317,484 ","1,264,803 ","1,305,814 ","1,225,432 ","1,271,902 ","15,119,963 ","566,658",3.9 
Colorado,"183,397 ","164,075 ","192,238 ","184,680 ","194,896 ","199,658 ","211,709 ","212,164 ","199,461 ","200,162 ","181,728 ","189,820 ","2,313,988 ","149,179",6.9 
Connecticut,"116,441 ","106,730 ","121,583 ","120,039 ","129,493 ","126,049 ","129,492 ","129,396 ","123,529 ","129,716 ","121,060 ","126,315 ","1,479,843 ","41,217",2.9 
Delaware,"36,025 ","32,796 ","37,755 ","38,384 ","45,346 ","40,232 ","43,655 ","45,882 ","38,922 ","47,041 ","37,055 ","39,905 ","482,998 ","48,559",11.2 
Dist. of Col.,"9,015 ","9,368 ","10,937 ","8,407 ","10,578 ","10,163 ","11,364 ","10,122 ","9,903 ","10,167 ","10,555 ","8,927 ","119,506 ","18,482",18.3 
Florida,"712,352 ","723,322 ","684,603 ","773,710 ","768,809 ","756,114 ","723,686 ","741,048 ","754,553 ","693,606 ","744,716 ","725,087 ","8,801,606 ","554,293",6.7 
Georgia,"394,611 ","366,119 ","420,861 ","411,710 ","431,796 ","417,675 ","432,939 ","430,918 ","402,352 ","428,652 ","402,138 ","418,356 ","4,958,127 ","131,045",2.7 
Hawaii,"36,740 ","35,876 ","39,099 ","38,587 ","39,403 ","38,645 ","40,211 ","41,186 ","38,602 ","39,758 ","37,704 ","40,266 ","466,077 ","13,948",3.1 
Idaho,"55,306 ","60,110 ","58,481 ","54,547 ","60,027 ","61,117 ","64,183 ","68,958 ","72,362 ","73,117 ","68,089 ","68,866 ","765,163 ","54,897",7.7 
Illinois,"386,737 ","364,184 ","393,493 ","389,906 ","408,964 ","404,980 ","414,293 ","409,544 ","391,097 ","563,482 ","484,299 ","505,995 ","5,116,974 ","474,683",10.2 
Indiana,"247,130 ","228,910 ","256,620 ","261,592 ","276,739 ","265,196 ","285,837 ","278,544 ","264,822 ","272,530 ","257,909 ","262,148 ","3,157,977 ","116,980",3.8 
Iowa,"132,589 ","126,682 ","129,863 ","136,550 ","146,322 ","142,981 ","148,621 ","146,520 ","134,118 ","147,310 ","133,917 ","139,685 ","1,665,158 ","21,728",1.3 
Kansas,"106,903 ","100,386 ","108,009 ","109,066 ","114,405 ","113,995 ","114,653 ","93,510 ","105,730 ","113,134 ","105,813 ","111,659 ","1,297,263 ","69,570",5.7 
Kentucky,"171,173 ","152,060 ","176,135 ","183,315 ","191,733 ","187,241 ","194,608 ","195,430 ","182,477 ","189,395 ","178,601 ","182,578 ","2,184,746 ","61,595",2.9 
Louisiana,"190,056 ","178,396 ","206,413 ","197,432 ","202,550 ","198,256 ","208,603 ","204,077 ","196,101 ","199,913 ","178,992 ","203,057 ","2,363,846 ","61,839",2.7 
Maine,"62,714 ","19,892 ","86,680 ","72,156 ","72,608 ","55,308 ","69,762 ","90,779 ","76,537 ","60,715 ","71,612 ","61,376 ","800,139 ","43,747",5.8 
Maryland,"208,796 ","206,241 ","229,788 ","236,343 ","251,289 ","252,065 ","222,368 ","305,859 ","225,602 ","260,184 ","223,959 ","240,173 ","2,862,667 ","41,390",1.5 
Massachusetts,"237,998 ","203,286 ","231,192 ","220,380 ","241,932 ","237,457 ","244,609 ","245,987 ","233,005 ","239,957 ","210,527 ","250,732 ","2,797,062 ","84,338",3.1 
Michigan,"409,799 ","287,365 ","397,997 ","370,811 ","329,532 ","428,490 ","471,638 ","419,641 ","397,886 ","414,797 ","383,449 ","388,308 ","4,699,713 ","106,992",2.3 
Minnesota,"208,611 ","196,605 ","203,382 ","209,394 ","226,503 ","230,879 ","243,916 ","232,860 ","212,949 ","234,640 ","211,892 ","217,510 ","2,629,141 ","83,477",3.3 
Mississippi,"136,752 ","154,138 ","146,689 ","152,405 ","152,820 ","134,185 ","134,271 ","142,714 ","136,544 ","150,661 ","136,544 ","150,661 ","1,728,384 ",0,0.0 
Missouri,"250,606 ","228,329 ","257,458 ","262,229 ","234,448 ","294,454 ","301,100 ","279,843 ","266,416 ","276,573 ","239,137 ","282,235 ","3,172,828 ","92,155",3.0 
Montana,"38,796 ","37,946 ","40,585 ","41,707 ","46,118 ","50,296 ","56,273 ","53,278 ","47,073 ","45,724 ","41,567 ","40,621 ","539,984 ","28,688",5.6 
Nebraska,"69,290 ","64,088 ","71,896 ","73,580 ","76,164 ","79,733 ","82,469 ","80,070 ","74,264 ","77,718 ","70,853 ","71,426 ","891,551 ","38,929",4.6 
Nevada,"91,921 ","84,577 ","97,859 ","94,692 ","97,744 ","98,913 ","100,201 ","104,870 ","96,901 ","98,180 ","92,768 ","95,342 ","1,153,968 ","57,056",5.2 
New Hampshire,"58,121 ","53,115 ","58,523 ","55,437 ","60,146 ","61,134 ","65,427 ","65,205 ","60,229 ","62,535 ","56,654 ","59,530 ","716,056 ","11,869",1.7 
New Jersey,"325,319 ","302,474 ","341,505 ","338,523 ","351,999 ","348,553 ","361,055 ","361,875 ","339,441 ","352,645 ","327,641 ","329,677 ","4,080,707 ","114,700",2.9 
New Mexico,"81,276 ","70,414 ","82,141 ","81,592 ","81,127 ","88,683 ","86,779 ","86,592 ","81,655 ","83,591 ","77,607 ","80,149 ","981,606 ","40,356",4.3 
New York,"472,098 ","405,665 ","444,324 ","451,247 ","455,601 ","461,698 ","475,996 ","471,533 ","492,404 ","472,167 ","440,868 ","476,951 ","5,520,552 ","147,116",2.7 
North Carolina,"354,242 ","321,584 ","373,555 ","376,181 ","368,982 ","433,650 ","410,473 ","402,010 ","383,672 ","376,208 ","379,708 ","390,057 ","4,570,322 ","221,563",5.1 
North Dakota,"36,939 ","38,602 ","34,742 ","38,369 ","42,188 ","40,837 ","44,002 ","42,267 ","38,871 ","40,057 ","36,030 ","39,685 ","472,589 ","21,019",4.7 
Ohio,"403,219 ","371,471 ","417,206 ","417,607 ","450,392 ","432,066 ","455,673 ","450,282 ","427,283 ","440,679 ","414,241 ","421,424 ","5,101,543 ","116,102",2.3 
Oklahoma,"121,590 ","178,343 ","159,038 ","159,296 ","138,259 ","200,673 ","173,230 ","160,139 ","171,235 ","131,078 ","196,431 ","167,001 ","1,956,313 ","85,686",4.6 
Oregon,"92,823 ","139,413 ","125,826 ","121,713 ","140,773 ","130,121 ","144,383 ","151,988 ","131,506 ","123,483 ","126,600 ","127,719 ","1,556,348 ","81,402",5.5 
Pennsylvania,"396,904 ","365,944 ","397,732 ","407,501 ","434,928 ","419,811 ","439,305 ","434,689 ","407,200 ","429,502 ","395,958 ","409,873 ","4,939,347 ","-84,497",(1.7)
Rhode Island,"31,827 ","28,631 ","32,556 ","30,859 ","33,564 ","31,258 ","33,407 ","33,932 ","31,830 ","32,995 ","30,778 ","31,840 ","383,477 ","12,358",3.3 
South Carolina,"219,873 ","194,770 ","236,894 ","241,381 ","245,382 ","243,512 ","252,866 ","247,849 ","235,027 ","239,775 ","227,937 ","233,262 ","2,818,528 ","153,754",5.8 
South Dakota,"39,912 ","37,034 ","33,704 ","36,620 ","36,139 ","39,972 ","46,789 ","47,544 ","44,554 ","42,161 ","40,566 ","37,003 ","481,998 ","29,240",6.5 
Tennessee,"273,378 ","232,345 ","240,711 ","274,807 ","289,431 ","308,957 ","290,052 ","291,350 ","275,639 ","292,550 ","283,586 ","254,717 ","3,307,523 ","134,969",4.3 
Texas,"1,105,723 ","1,021,393 ","1,170,017 ","1,157,191 ","1,173,958 ","1,167,707 ","1,210,113 ","1,218,749 ","1,167,205 ","1,188,923 ","1,122,375 ","1,176,489 ","13,879,843 ","1,200,473",9.5 
Utah,"91,901 ","85,199 ","96,806 ","92,648 ","91,774 ","91,532 ","104,388 ","100,957 ","98,388 ","101,434 ","93,912 ","96,664 ","1,145,603 ","38,891",3.5 
Vermont,"26,058 ","23,826 ","26,188 ","24,590 ","26,386 ","26,988 ","29,486 ","26,397 ","26,527 ","27,766 ","23,006 ","25,782 ","313,000 ","-5,405",(1.7)
Virginia,"265,936 ","286,423 ","349,631 ","620,272 ","303,933 ","457,611 ","349,030 ","380,646 ","314,940 ","354,057 ","298,955 ","347,139 ","4,328,573 ","430,393",11.0 
Washington,"218,549 ","204,981 ","234,585 ","231,118 ","244,139 ","249,604 ","248,652 ","255,757 ","237,142 ","241,020 ","228,323 ","236,419 ","2,830,289 ","94,298",3.4 
West Virginia,"49,824 ","53,693 ","60,215 ","63,751 ","84,795 ","73,010 ","73,832 ","79,272 ","45,990 ","80,199 ","89,037 ","111,417 ","865,035 ","75,737",9.6 
Wisconsin,"206,307 ","196,034 ","208,947 ","200,311 ","242,944 ","207,357 ","259,204 ","238,945 ","234,157 ","324,818 ","101,680 ","216,988 ","2,637,692 ","166,264",6.7 
Wyoming,"24,823 ","29,276 ","30,976 ","29,988 ","21,669 ","27,271 ","32,646 ","50,766 ","28,536 ","28,816 ","35,340 ","29,042 ","369,149 ","4,657",1.3 
 Total,"11,198,620 ","10,470,928 ","11,631,800 ","11,955,922 ","11,960,355 ","12,247,397 ","12,449,534 ","12,525,085 ","11,836,513 ","12,356,570 ","11,483,717 ","11,983,595 ","142,100,036 ","6,752,822",5.0 
