,STATE,<16,16,17,18,19,20,21,22,23,24
0,Alabama,0,23723,26822,28338,30157,31149,32793,33545,34123,34756
1,Alaska 2/,0,1235,2226,2853,3495,3810,3752,4323,4711,5317
2,Arizona,0,10028,18650,26457,31873,34395,37188,38936,40646,42442
3,Arkansas,0,3281,9527,12224,14922,16191,17407,17317,17492,18642
4,California,0,32743,76966,143081,191079,212940,230636,245802,252276,260636
5,Colorado 2/,0,9537,17835,23763,27065,28800,27929,31173,34288,36634
6,Connecticut,0,2961,10571,14049,16894,18233,19623,19976,21465,20668
7,Delaware,0,3332,4366,4757,5058,5412,5820,5936,6177,6637
8,Dist. of Col.,0,0,1,95,277,474,716,1242,1809,2554
9,Florida,0,21936,45784,73844,89121,96403,101053,106021,107742,111319
10,Georgia,0,17314,31816,46048,51036,54133,55764,57921,56140,58484
11,Hawaii,0,937,2335,4028,5060,5820,6675,6889,6827,7449
12,Idaho,1624,5212,7651,8722,9796,9813,9167,10003,10353,10610
13,Illinois 2/,0,31320,49656,60752,65236,67782,66239,70017,72333,74104
14,Indiana,0,6450,23366,29970,34136,37112,38445,38742,40042,41234
15,Iowa,0,16148,16881,17274,17839,18355,18757,19433,18888,18982
16,Kansas,14321,12642,14730,16049,16909,17747,16597,17270,18083,18318
17,Kentucky,0,14,5971,13653,19117,21762,22097,24196,25754,26771
18,Louisiana,0,12189,15944,19950,21843,23413,24554,25722,26637,27010
19,Maine,0,2042,4243,5362,5937,6381,7000,6993,7370,7679
20,Maryland,0,2689,13465,20215,24218,27599,29189,30402,33054,35459
21,Massachusetts,0,4879,20451,28639,34253,37303,39400,41523,43356,45864
22,Michigan,0,39750,46710,46317,53052,57424,56433,60168,63513,65540
23,Minnesota,0,14695,20690,24271,24430,23754,27758,24925,22685,21766
24,Mississippi,0,10395,12674,14769,15871,16347,15962,15755,16208,16368
25,Missouri,0,17052,25201,28635,31024,32583,33608,33712,35274,35308
26,Montana,1101,3363,4194,4952,5450,5618,5382,6008,6280,6675
27,Nebraska,0,7468,9849,9330,11041,11589,10951,11754,12739,13596
28,Nevada,0,2665,5547,9005,11884,12544,13652,14087,15095,15346
29,New Hampshire,0,3202,5718,6882,7656,8267,7822,8763,9241,10032
30,New Jersey,0,73,30258,42776,46906,50802,50143,52175,53591,56016
31,New Mexico,0,132,1114,4232,7444,9735,10465,11838,12305,13172
32,New York,0,5400,33692,49825,61091,69240,71884,78452,85101,91564
33,North Carolina,0,4446,18586,40322,47827,52597,54790,58635,62678,67051
34,North Dakota,2305,2828,3469,3782,4260,4828,5378,5592,5974,6225
35,Ohio,0,24382,40244,51321,57162,60177,59434,62615,64557,65736
36,Oklahoma,0,14954,18614,20238,20659,21275,22518,23033,23440,23170
37,Oregon,0,6662,11352,14785,17103,18459,19254,20158,21525,21482
38,Pennsylvania,0,7146,36320,48835,58815,63147,67182,70181,73541,73629
39,Rhode Island,0,14,2589,3855,4888,5263,5829,5992,6049,6343
40,South Carolina,13144,19169,22439,24788,25974,27223,27617,28811,29765,31470
41,South Dakota,0,4255,4691,4699,5133,5243,5555,5478,5791,6085
42,Tennessee,0,16874,24199,29471,33060,34252,33634,35480,36673,38298
43,Texas,0,38400,70053,100128,128447,137631,142514,147213,151157,144724
44,Utah,0,11282,16288,17954,18985,19571,19192,19556,20387,20918
45,Vermont,0,1255,2236,2835,3190,3438,3683,3837,4220,4454
46,Virginia,0,8477,24943,32747,38646,39370,42816,44322,45998,48261
47,Washington,0,14844,23494,30655,36376,40161,41518,44957,47938,50780
48,West Virginia,0,8914,5820,6489,6779,6190,6885,7150,6911,6173
49,Wisconsin,0,16458,23792,27443,28285,30326,32018,33647,35382,36598
50,Wyoming,0,2215,2644,3155,3258,3356,3090,3482,3702,3822
51,Total,32495,527382,966677,1304619,1530017,1645437,1707768,1791158,1857286,1912171
