, ,<16,16,17,18,19,20,21,22,23,24
0,Alabama,0,23667,26108,27894,28909,30129,32006,32712,33706,34821
1,Alaska 2/,0,1322,2278,3070,3793,4267,4184,4626,5245,5870
2,Arizona,0,10215,17494,24124,29261,31810,35149,37023,39380,41013
3,Arkansas,0,3222,9378,11760,14503,15539,16774,16976,17950,18525
4,California,0,34470,75711,124472,174206,195320,214389,223596,239441,251961
5,Colorado 2/,0,9853,17363,22798,25664,27178,26895,29456,32379,34717
6,Connecticut,0,3303,10710,13619,16157,17401,18731,19191,20071,20257
7,Delaware,0,3754,4497,4887,5060,5764,5764,5796,6200,6628
8,Dist. of Col.,0,0,0,74,299,473,685,1179,1943,2993
9,Florida,0,23434,45525,70221,83915,91806,98709,102367,106794,111345
10,Georgia,0,18297,31462,43008,49228,53554,56105,59094,60346,63112
11,Hawaii,0,945,2277,3515,4520,5234,5961,6002,6121,6706
12,Idaho,1526,5050,7188,8157,9326,9440,8948,9666,10084,10347
13,Illinois 2/,0,32256,49608,58753,63274,66078,65861,68977,71541,74384
14,Indiana,0,6582,22587,29093,32511,34755,36852,37284,38026,40217
15,Iowa,0,15676,16453,16870,17295,18036,18783,19168,19177,19119
16,Kansas,13793,11712,14118,15235,16205,16960,16120,16556,17234,17733
17,Kentucky,0,15,5895,12882,18246,20781,21117,23320,24766,26364
18,Louisiana,0,12298,16211,19823,21584,23539,24689,26246,27386,28256
19,Maine,0,1964,4337,5292,5862,6194,6659,6554,7290,7390
20,Maryland,0,3074,13283,19627,23159,25770,27742,29255,31691,34582
21,Massachusetts,0,5518,21272,28231,32343,35719,37659,39637,42316,45171
22,Michigan,0,39537,45339,43166,49338,53161,53749,57530,60244,63293
23,Minnesota,0,15008,21236,23428,23618,22800,26495,22638,19712,19016
24,Mississippi,0,10705,12680,14861,15712,16673,16729,16560,17317,18091
25,Missouri,0,16590,24524,27004,30157,31508,32811,33629,35010,35976
26,Montana,1130,3299,4056,4726,5030,5226,5104,5586,6171,6287
27,Nebraska,0,6988,9193,9119,10460,11076,10400,11642,12205,13177
28,Nevada,0,2796,5657,8323,10899,11716,12676,13625,14911,15316
29,New Hampshire,0,3349,5685,6499,7363,7736,7588,8349,8868,9372
30,New Jersey,0,32,29851,41066,45405,48411,49001,50727,53260,55703
31,New Mexico,0,119,1031,4064,7079,9171,10592,11456,12274,13028
32,New York,0,6117,36300,56505,70539,79031,82687,89797,95423,102228
33,North Carolina,0,4739,18831,38602,45627,49977,52858,57113,61644,66463
34,North Dakota,2264,2653,3189,3647,3891,4286,4658,4946,5240,5586
35,Ohio,0,25023,40240,49213,55631,60062,59737,63935,66409,68599
36,Oklahoma,0,15200,18018,19815,19487,20495,21843,22639,23252,23373
37,Oregon,0,7010,11489,14784,16951,17953,19084,20142,21525,21143
38,Pennsylvania,0,6938,34037,45952,53506,57994,62553,66132,69538,70961
39,Rhode Island,0,21,2821,3871,4685,5252,5689,6091,6133,6276
40,South Carolina,13907,19406,22104,24345,25616,26685,27883,29639,31319,33015
41,South Dakota,0,3994,4221,4595,4697,4970,5118,5106,5467,5623
42,Tennessee,0,17072,24360,28887,31941,34076,33773,36204,38287,40294
43,Texas,0,38163,65741,91005,116155,126294,134174,139993,146903,143987
44,Utah,0,11508,15971,17721,18485,19256,18909,19252,20175,20151
45,Vermont,0,1337,2278,2770,2929,3314,3483,3663,4026,4284
46,Virginia,0,9487,25543,32966,38229,39818,43597,45388,48190,50890
47,Washington,0,15476,23831,29620,34061,37576,38547,41428,44300,47013
48,West Virginia,0,9328,5785,6331,6355,6104,6947,7065,6820,5962
49,Wisconsin,0,16929,23461,26533,27417,29327,31063,32247,33912,35488
50,Wyoming,0,2051,2554,2978,3172,3178,3022,3218,3454,3600
51,Total,32620,537502,953781,1245801,1459755,1578873,1660552,1740421,1831076,1905706
