STATE,"19 AND 
      UNDER",20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84 ,"85 AND 
      OVER", TOTAL
Alabama,"109,040","166,366","167,876","152,108","144,667","147,850","153,761","164,609","163,605","147,423","129,907","93,750","66,858","46,566","42,556","1,896,942"
Alaska 2/,"9,809","21,913","28,147","28,046","23,968","20,694","21,067","22,663","23,756","20,584","14,320","8,419","3,936","2,441","2,230","251,993"
Arizona ,"87,008","193,607","219,123","232,652","229,840","235,856","230,728","234,280","221,332","196,780","153,025","112,348","75,500","47,395","33,511","2,502,985"
Arkansas ,"39,954","87,049","90,097","86,810","85,350","83,618","85,499","93,682","91,818","83,265","75,433","55,800","39,088","25,319","18,766","1,041,548"
California,"443,869","1,202,290","1,301,430","1,274,730","1,152,768","1,126,731","1,181,420","1,229,548","1,153,045","969,582","773,645","497,571","314,981","198,714","148,290","12,968,614"
Colorado 2/,"78,200","158,824","197,264","200,088","184,334","176,928","179,726","183,522","186,640","163,925","132,875","80,378","51,664","33,740","29,157","2,037,265"
Connecticut,"44,475","99,965","111,069","103,998","98,387","97,910","116,766","128,566","126,425","106,199","84,995","59,394","38,120","26,134","24,818","1,267,221"
Delaware,"17,513","29,982","32,203","30,873","27,329","27,362","29,660","32,893","31,428","27,682","25,679","19,196","12,969","8,811","7,351","360,931"
Dist. of Col. ,373,"6,795","26,206","38,948","33,047","22,848","19,945","17,275","15,232","12,858","11,074","7,492","4,894","3,127","3,151","223,265"
Florida,"230,685","522,538","572,969","550,092","527,335","556,878","610,676","667,050","634,633","564,955","532,324","408,628","283,886","183,088","142,425","6,988,162"
Georgia,"146,214","282,442","286,385","279,436","275,364","301,856","312,969","321,792","294,207","250,930","211,315","143,353","91,734","55,754","38,959","3,292,710"
Hawaii,"12,360","33,660","36,554","42,161","40,266","40,161","41,567","44,772","44,720","42,734","37,493","25,417","13,507","8,453","6,728","470,553"
Idaho,"33,005","49,946","48,939","49,873","48,281","45,405","45,106","48,467","49,462","46,426","39,988","28,358","18,661","11,014","7,509","570,440"
Illinois 2/,"206,964","350,475","369,945","371,855","360,091","347,668","362,969","382,740","382,471","333,287","271,534","184,124","121,695","64,519","61,071","4,171,408"
Indiana  ,"93,922","195,575","195,072","186,571","180,460","185,348","189,249","207,459","204,659","178,646","143,261","98,025","65,542","39,777","28,309","2,191,875"
Iowa,"68,142","94,415","94,302","92,865","86,646","82,364","87,622","98,729","101,328","92,891","73,504","50,175","35,533","23,448","18,605","1,100,569"
Kansas,"74,651","88,015","89,140","86,614","80,579","75,113","77,062","86,103","89,677","81,615","66,594","42,855","29,355","20,256","16,412","1,004,041"
Kentucky ,"38,755","120,580","125,167","126,716","127,059","131,076","133,626","145,460","141,798","126,076","105,925","71,831","47,713","28,705","19,353","1,489,840"
Louisiana,"69,926","127,336","141,289","151,092","140,907","133,037","135,941","147,948","147,644","129,259","105,819","72,067","49,411","32,757","32,550","1,616,983"
Maine,"17,584","35,423","39,830","37,661","36,161","37,425","42,990","49,573","51,376","47,584","42,173","27,963","17,941","11,916","8,449","504,049"
Maryland,"60,587","155,703","197,078","204,137","186,641","180,783","191,575","205,710","190,054","157,755","126,908","86,013","55,553","36,031","29,073","2,063,601"
Massachusetts ,"88,222","207,446","237,806","223,186","199,076","196,679","220,658","239,629","228,855","196,080","164,088","109,738","70,571","48,534","42,482","2,473,050"
Michigan,"185,829","303,078","297,326","272,157","259,887","264,521","295,720","320,906","328,499","294,930","244,586","168,159","110,823","71,520","58,441","3,476,382"
Minnesota,"84,086","120,888","126,879","135,825","133,334","126,088","142,986","162,358","168,063","148,824","119,812","81,757","57,576","39,600","35,299","1,683,375"
Mississippi,"53,709","80,640","75,657","73,152","73,536","75,313","78,311","86,304","87,255","78,672","68,392","46,587","32,420","19,663","14,139","943,750"
Missouri ,"101,912","170,485","180,316","177,996","164,424","159,890","166,474","190,751","191,713","166,510","139,451","99,913","66,488","42,609","29,727","2,048,659"
Montana,"19,060","29,963","34,961","33,778","31,428","28,882","29,004","34,317","37,713","36,936","31,863","21,973","13,871","8,446","5,025","397,220"
Nebraska,"37,688","60,629","66,365","65,126","58,793","53,150","53,995","60,075","61,826","55,502","45,228","30,557","21,206","15,108","14,146","699,394"
Nevada ,"29,101","70,724","80,541","85,044","83,429","84,993","87,000","87,650","81,801","73,540","67,525","48,313","30,930","17,381","10,488","938,460"
New Hampshire,"23,458","44,125","45,699","41,754","37,716","42,204","48,748","55,972","54,824","45,867","37,850","25,537","16,077","10,893","8,283","539,007"
New Jersey  ,"120,013","262,727","256,675","245,102","241,701","255,082","280,462","306,175","288,937","239,841","194,692","134,734","89,548","62,193","55,838","3,033,720"
New Mexico  ,"12,922","57,515","67,543","71,976","66,714","61,760","59,768","67,173","67,114","62,491","55,278","37,808","21,642","13,109","8,003","730,816"
New York,"150,008","396,241","490,269","491,545","468,285","475,381","519,846","563,269","537,613","461,806","390,536","276,985","190,853","139,138","138,054","5,689,829"
North Carolina,"111,181","295,751","321,629","307,044","290,212","311,197","318,641","327,556","307,451","259,242","230,757","162,817","105,419","68,099","52,905","3,469,901"
North Dakota,"16,644","27,997","31,026","27,887","23,045","20,714","20,972","24,617","25,072","21,905","15,886","10,625","7,505","5,376","4,411","283,682"
Ohio,"173,109","312,519","309,047","304,494","295,305","309,568","333,095","366,706","375,751","333,215","272,386","182,223","126,071","82,514","63,735","3,839,738"
Oklahoma,"74,465","113,436","112,805","112,757","102,148","100,008","99,926","113,816","114,216","100,609","84,243","60,880","41,586","26,464","19,216","1,276,575"
Oregon,"49,902","100,878","116,579","124,429","119,503","111,637","115,079","116,208","122,259","122,603","110,252","74,674","48,440","29,198","23,040","1,384,681"
Pennsylvania,"151,116","347,680","372,377","358,066","333,882","347,273","386,763","429,801","437,096","387,848","316,752","217,973","151,888","106,778","91,659","4,436,952"
Rhode Island,"11,346","29,476","32,224","30,600","27,860","27,480","31,986","35,883","35,992","31,826","26,748","17,862","10,909","7,472","6,889","364,553"
South Carolina ,"105,514","144,886","154,123","146,627","136,828","142,751","145,211","155,821","149,721","139,291","131,449","95,031","59,178","36,724","26,864","1,770,019"
South Dakota,"18,778","28,152","30,450","29,792","26,955","23,412","23,914","27,695","29,515","28,111","24,361","16,615","11,266","7,435","6,243","332,694"
Tennessee ,"103,604","178,337","184,217","179,112","175,237","184,497","193,284","204,149","198,109","180,257","161,609","114,750","46,640","75,501","33,565","2,212,868"
Texas,"337,028","723,239","729,274","715,837","678,095","690,623","694,789","728,467","702,809","594,569","480,616","326,905","209,812","130,685","81,887","7,824,635"
Utah,"64,509","99,624","101,890","103,316","101,452","83,324","72,139","79,846","69,523","60,569","48,312","33,952","22,905","15,453","12,245","969,059"
Vermont,"9,516","19,632","23,618","23,790","21,264","20,688","22,365","25,391","26,239","24,201","20,386","14,226","8,912","6,209","6,425","272,862"
Virginia,"104,813","220,767","245,394","247,459","234,569","242,761","256,462","278,297","260,913","222,504","187,307","128,905","83,569","51,924","39,978","2,805,622"
Washington,"105,369","225,354","269,587","291,222","269,617","253,866","248,322","253,732","247,271","221,037","183,155","122,550","75,332","46,736","36,116","2,849,266"
West Virginia,"28,002","33,309","38,355","37,805","41,667","45,047","47,928","50,817","55,628","56,836","53,244","36,025","25,488","16,036","13,025","579,212"
Wisconsin,"95,978","167,971","177,727","179,840","165,023","164,673","180,082","205,814","201,233","175,642","137,289","93,194","64,863","44,536","39,046","2,092,911"
Wyoming,"11,272","17,452","19,466","19,777","17,877","16,122","16,014","17,688","20,480","19,605","15,700","10,310","6,873","4,046","3,117","215,799"
Total,"4,361,190","8,913,820","9,599,910","9,483,821","8,948,342","8,976,495","9,439,868","10,129,724","9,858,801","8,621,325","7,217,544","4,974,735","3,267,202","2,157,345","1,699,564","107,649,686"
