STATE,19 AND UNDER,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,"85 AND 
       OVER",TOTAL
Alabama,"106,578 ","163,374 ","172,483 ","161,780 ","155,358 ","155,517 ","159,988 ","173,519 ","174,679 ","158,170 ","139,943 ","102,416 ","76,222 ","54,975 ","55,094 ","2,010,096 "
Alaska 2/,"10,463 ","24,192 ","30,730 ","30,526 ","26,016 ","22,682 ","23,129 ","25,062 ","26,075 ","23,737 ","17,766 ","10,441 ","5,224 ","2,919 ","2,272 ","281,234 "
Arizona ,"81,094 ","184,375 ","215,967 ","229,909 ","222,226 ","221,757 ","215,847 ","229,256 ","226,124 ","207,219 ","161,791 ","118,021 ","77,617 ","48,316 ","36,258 ","2,475,777 "
Arkansas ,"38,863 ","85,764 ","91,745 ","89,780 ","87,173 ","84,808 ","86,266 ","95,711 ","96,053 ","88,655 ","80,282 ","59,870 ","42,661 ","28,359 ","22,040 ","1,078,030 "
California,"408,859 ","1,124,707 ","1,250,739 ","1,235,338 ","1,129,628 ","1,108,741 ","1,130,251 ","1,178,620 ","1,118,433 ","955,986 ","767,663 ","494,565 ","310,925 ","195,685 ","154,166 ","12,564,306 "
Colorado 2/,"75,678 ","150,625 ","184,143 ","184,584 ","169,690 ","159,457 ","163,500 ","173,870 ","179,178 ","160,215 ","131,463 ","73,633 ","50,272 ","36,823 ","44,125 ","1,937,256 "
Connecticut,"43,789 ","95,651 ","106,603 ","100,713 ","98,080 ","99,509 ","120,060 ","131,906 ","129,445 ","109,420 ","90,741 ","65,214 ","43,878 ","31,893 ","32,550 ","1,299,452 "
Delaware,"18,198 ","30,152 ","33,240 ","31,752 ","28,735 ","28,916 ","31,278 ","34,643 ","33,941 ","30,725 ","28,341 ","20,800 ","13,778 ","9,291 ","7,803 ","381,593 "
Dist. of Col. ,373 ,"7,273 ","31,911 ","44,121 ","33,604 ","21,523 ","17,584 ","14,809 ","14,021 ","13,723 ","12,655 ","8,534 ","5,367 ","3,406 ","3,433 ","232,337 "
Florida,"223,095 ","511,021 ","586,444 ","575,019 ","553,948 ","575,114 ","620,638 ","686,117 ","671,911 ","615,543 ","570,034 ","428,871 ","298,333 ","195,661 ","162,804 ","7,274,553 "
Georgia,"141,995 ","292,211 ","317,143 ","319,875 ","317,726 ","336,103 ","336,543 ","346,853 ","318,888 ","277,319 ","234,402 ","157,180 ","102,985 ","65,581 ","48,677 ","3,613,481 "
Hawaii,"11,257 ","30,024 ","34,306 ","40,907 ","38,593 ","38,088 ","39,290 ","41,716 ","42,839 ","39,788 ","33,823 ","22,466 ","12,515 ","8,102 ","5,530 ","439,244 "
Idaho,"31,247 ","48,485 ","47,482 ","49,301 ","47,444 ","44,242 ","44,053 ","48,798 ","50,696 ","47,062 ","39,771 ","27,990 ","18,370 ","11,409 ","8,219 ","564,569 "
Illinois 2/,"203,891 ","346,841 ","371,493 ","378,229 ","370,115 ","356,099 ","372,503 ","396,622 ","398,789 ","346,562 ","285,853 ","199,003 ","131,308 ","58,069 ","75,408 ","4,290,785 "
Indiana  ,"90,773 ","187,134 ","193,625 ","189,806 ","183,732 ","187,811 ","191,883 ","214,851 ","213,472 ","188,803 ","156,180 ","110,512 ","77,294 ","50,832 ","39,265 ","2,275,973 "
Iowa,"66,294 ","94,283 ","94,211 ","92,258 ","86,266 ","81,567 ","86,429 ","100,781 ","103,366 ","93,344 ","76,164 ","54,179 ","41,084 ","29,278 ","24,057 ","1,123,561 "
Kansas,"71,063 ","84,603 ","87,136 ","86,625 ","79,825 ","74,414 ","77,417 ","88,627 ","93,973 ","84,821 ","68,926 ","46,761 ","33,988 ","25,027 ","21,410 ","1,024,616 "
Kentucky ,"37,038 ","116,348 ","125,383 ","127,919 ","127,883 ","131,253 ","134,744 ","149,608 ","147,871 ","132,290 ","111,612 ","77,681 ","53,326 ","33,608 ","24,862 ","1,531,426 "
Louisiana,"69,916 ","130,116 ","151,660 ","162,412 ","149,061 ","139,092 ","142,832 ","157,054 ","156,378 ","138,694 ","113,493 ","80,839 ","58,078 ","41,882 ","48,601 ","1,740,108 "
Maine,"17,455 ","34,087 ","39,014 ","38,105 ","36,411 ","38,226 ","43,868 ","50,917 ","53,624 ","49,510 ","43,036 ","28,798 ","19,400 ","13,116 ","10,263 ","515,830 "
Maryland,"59,143 ","149,040 ","189,037 ","196,370 ","183,323 ","184,081 ","200,207 ","216,860 ","201,469 ","171,132 ","138,643 ","95,268 ","61,220 ","41,001 ","35,357 ","2,122,151 "
Massachusetts ,"87,364 ","200,502 ","238,375 ","225,068 ","203,249 ","202,131 ","229,086 ","247,888 ","239,283 ","208,771 ","177,458 ","120,804 ","80,353 ","56,131 ","51,149 ","2,567,612 "
Michigan,"177,380 ","287,977 ","292,501 ","275,513 ","271,286 ","276,350 ","307,162 ","337,222 ","350,415 ","315,648 ","263,830 ","183,691 ","126,886 ","86,947 ","75,294 ","3,628,102 "
Minnesota,"83,290 ","110,661 ","117,857 ","130,874 ","128,139 ","122,710 ","141,156 ","162,933 ","169,362 ","148,757 ","121,768 ","84,900 ","62,204 ","43,201 ","40,243 ","1,668,055 "
Mississippi,"53,958 ","85,370 ","84,981 ","84,233 ","83,686 ","84,855 ","85,875 ","95,032 ","95,979 ","86,393 ","73,304 ","51,659 ","37,289 ","23,979 ","18,053 ","1,044,646 "
Missouri ,"98,275 ","168,934 ","185,039 ","184,983 ","171,843 ","166,240 ","174,408 ","201,675 ","205,325 ","180,271 ","154,042 ","111,378 ","75,955 ","49,838 ","36,437 ","2,164,643 "
Montana,"18,241 ","28,374 ","33,095 ","31,954 ","29,476 ","26,711 ","28,342 ","34,425 ","38,730 ","36,686 ","29,767 ","20,742 ","13,636 ","8,659 ","5,369 ","384,207 "
