STATE,19 AND UNDER,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 AND OVER,TOTAL
Alabama,"215,618 ","329,740 ","340,359 ","313,888 ","300,025 ","303,367 ","313,749 ","338,128 ","338,284 ","305,593 ","269,850 ","196,166 ","143,080 ","101,541 ","97,650 ","3,907,038 "
Alaska 2/,"20,272 ","46,105 ","58,877 ","58,572 ","49,984 ","43,376 ","44,196 ","47,725 ","49,831 ","44,321 ","32,086 ","18,860 ","9,160 ","5,360 ","4,502 ","533,227 "
Arizona ,"168,102 ","377,982 ","435,090 ","462,561 ","452,066 ","457,613 ","446,575 ","463,536 ","447,456 ","403,999 ","314,816 ","230,369 ","153,117 ","95,711 ","69,769 ","4,978,762 "
Arkansas ,"78,817 ","172,813 ","181,842 ","176,590 ","172,523 ","168,426 ","171,765 ","189,393 ","187,871 ","171,920 ","155,715 ","115,670 ","81,749 ","53,678 ","40,806 ","2,119,578 "
California,"852,728 ","2,326,997 ","2,552,169 ","2,510,068 ","2,282,396 ","2,235,472 ","2,311,671 ","2,408,168 ","2,271,478 ","1,925,568 ","1,541,308 ","992,136 ","625,906 ","394,399 ","302,456 ","25,532,920 "
Colorado 2/,"153,878 ","309,449 ","381,407 ","384,672 ","354,024 ","336,385 ","343,226 ","357,392 ","365,818 ","324,140 ","264,338 ","154,011 ","101,936 ","70,563 ","73,282 ","3,974,521 "
Connecticut,"88,264 ","195,616 ","217,672 ","204,711 ","196,467 ","197,419 ","236,826 ","260,472 ","255,870 ","215,619 ","175,736 ","124,608 ","81,998 ","58,027 ","57,368 ","2,566,673 "
Delaware,"35,711 ","60,134 ","65,443 ","62,625 ","56,064 ","56,278 ","60,938 ","67,536 ","65,369 ","58,407 ","54,020 ","39,996 ","26,747 ","18,102 ","15,154 ","742,524 "
Dist. of Col. ,746 ,"14,068 ","58,117 ","83,069 ","66,651 ","44,371 ","37,529 ","32,084 ","29,253 ","26,581 ","23,729 ","16,026 ","10,261 ","6,533 ","6,584 ","455,602 "
Florida,"453,780 ","1,033,559 ","1,159,413 ","1,125,111 ","1,081,283 ","1,131,992 ","1,231,314 ","1,353,167 ","1,306,544 ","1,180,498 ","1,102,358 ","837,499 ","582,219 ","378,749 ","305,229 ","14,262,715 "
Georgia,"288,209 ","574,653 ","603,528 ","599,311 ","593,090 ","637,959 ","649,512 ","668,645 ","613,095 ","528,249 ","445,717 ","300,533 ","194,719 ","121,335 ","87,636 ","6,906,191 "
Hawaii,"23,617 ","63,684 ","70,860 ","83,068 ","78,859 ","78,249 ","80,857 ","86,488 ","87,559 ","82,522 ","71,316 ","47,883 ","26,022 ","16,555 ","12,258 ","909,797 "
Idaho,"64,252 ","98,431 ","96,421 ","99,174 ","95,725 ","89,647 ","89,159 ","97,265 ","100,158 ","93,488 ","79,759 ","56,348 ","37,031 ","22,423 ","15,728 ","1,135,009 "
Illinois 2/,"410,855 ","697,316 ","741,438 ","750,084 ","730,206 ","703,767 ","735,472 ","779,362 ","781,260 ","679,849 ","557,387 ","383,127 ","253,003 ","122,588 ","136,479 ","8,462,193 "
