,STATE,19 AND UNDER,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,"85 AND 
       OVER",TOTAL
0,Alabama,106578,163374,172483,161780,155358,155517,159988,173519,174679,158170,139943,102416,76222,54975,55094,2010096
1,Alaska 2/,10463,24192,30730,30526,26016,22682,23129,25062,26075,23737,17766,10441,5224,2919,2272,281234
2,Arizona,81094,184375,215967,229909,222226,221757,215847,229256,226124,207219,161791,118021,77617,48316,36258,2475777
3,Arkansas,38863,85764,91745,89780,87173,84808,86266,95711,96053,88655,80282,59870,42661,28359,22040,1078030
4,California,408859,1124707,1250739,1235338,1129628,1108741,1130251,1178620,1118433,955986,767663,494565,310925,195685,154166,12564306
5,Colorado 2/,75678,150625,184143,184584,169690,159457,163500,173870,179178,160215,131463,73633,50272,36823,44125,1937256
6,Connecticut,43789,95651,106603,100713,98080,99509,120060,131906,129445,109420,90741,65214,43878,31893,32550,1299452
7,Delaware,18198,30152,33240,31752,28735,28916,31278,34643,33941,30725,28341,20800,13778,9291,7803,381593
8,Dist. of Col.,373,7273,31911,44121,33604,21523,17584,14809,14021,13723,12655,8534,5367,3406,3433,232337
9,Florida,223095,511021,586444,575019,553948,575114,620638,686117,671911,615543,570034,428871,298333,195661,162804,7274553
10,Georgia,141995,292211,317143,319875,317726,336103,336543,346853,318888,277319,234402,157180,102985,65581,48677,3613481
11,Hawaii,11257,30024,34306,40907,38593,38088,39290,41716,42839,39788,33823,22466,12515,8102,5530,439244
12,Idaho,31247,48485,47482,49301,47444,44242,44053,48798,50696,47062,39771,27990,18370,11409,8219,564569
13,Illinois 2/,203891,346841,371493,378229,370115,356099,372503,396622,398789,346562,285853,199003,131308,58069,75408,4290785
14,Indiana,90773,187134,193625,189806,183732,187811,191883,214851,213472,188803,156180,110512,77294,50832,39265,2275973
15,Iowa,66294,94283,94211,92258,86266,81567,86429,100781,103366,93344,76164,54179,41084,29278,24057,1123561
16,Kansas,71063,84603,87136,86625,79825,74414,77417,88627,93973,84821,68926,46761,33988,25027,21410,1024616
17,Kentucky,37038,116348,125383,127919,127883,131253,134744,149608,147871,132290,111612,77681,53326,33608,24862,1531426
18,Louisiana,69916,130116,151660,162412,149061,139092,142832,157054,156378,138694,113493,80839,58078,41882,48601,1740108
19,Maine,17455,34087,39014,38105,36411,38226,43868,50917,53624,49510,43036,28798,19400,13116,10263,515830
20,Maryland,59143,149040,189037,196370,183323,184081,200207,216860,201469,171132,138643,95268,61220,41001,35357,2122151
