,STATE,19 AND UNDER,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 AND OVER,TOTAL
0,Alabama,215618,329740,340359,313888,300025,303367,313749,338128,338284,305593,269850,196166,143080,101541,97650,3907038
1,Alaska 2/,20272,46105,58877,58572,49984,43376,44196,47725,49831,44321,32086,18860,9160,5360,4502,533227
2,Arizona,168102,377982,435090,462561,452066,457613,446575,463536,447456,403999,314816,230369,153117,95711,69769,4978762
3,Arkansas,78817,172813,181842,176590,172523,168426,171765,189393,187871,171920,155715,115670,81749,53678,40806,2119578
4,California,852728,2326997,2552169,2510068,2282396,2235472,2311671,2408168,2271478,1925568,1541308,992136,625906,394399,302456,25532920
5,Colorado 2/,153878,309449,381407,384672,354024,336385,343226,357392,365818,324140,264338,154011,101936,70563,73282,3974521
6,Connecticut,88264,195616,217672,204711,196467,197419,236826,260472,255870,215619,175736,124608,81998,58027,57368,2566673
7,Delaware,35711,60134,65443,62625,56064,56278,60938,67536,65369,58407,54020,39996,26747,18102,15154,742524
8,Dist. of Col.,746,14068,58117,83069,66651,44371,37529,32084,29253,26581,23729,16026,10261,6533,6584,455602
9,Florida,453780,1033559,1159413,1125111,1081283,1131992,1231314,1353167,1306544,1180498,1102358,837499,582219,378749,305229,14262715
10,Georgia,288209,574653,603528,599311,593090,637959,649512,668645,613095,528249,445717,300533,194719,121335,87636,6906191
11,Hawaii,23617,63684,70860,83068,78859,78249,80857,86488,87559,82522,71316,47883,26022,16555,12258,909797
12,Idaho,64252,98431,96421,99174,95725,89647,89159,97265,100158,93488,79759,56348,37031,22423,15728,1135009
13,Illinois 2/,410855,697316,741438,750084,730206,703767,735472,779362,781260,679849,557387,383127,253003,122588,136479,8462193
14,Indiana,184695,382709,388697,376377,364192,373159,381132,422310,418131,367449,299441,208537,142836,90609,67574,4467848
15,Iowa,134436,188698,188513,185123,172912,163931,174051,199510,204694,186235,149668,104354,76617,52726,42662,2224130
16,Kansas,145714,172618,176276,173239,160404,149527,154479,174730,183650,166436,135520,89616,63343,45283,37822,2028657
17,Kentucky,75793,236928,250550,254635,254942,262329,268370,295068,289669,258366,217537,149512,101039,62313,44215,3021266
18,Louisiana,139842,257452,292949,313504,289968,272129,278773,305002,304022,267953,219312,152906,107489,74639,81151,3357091
19,Maine,35039,69510,78844,75766,72572,75651,86858,100490,105000,97094,85209,56761,37341,25032,18712,1019879
20,Maryland,119730,304743,386115,400507,369964,364864,391782,422570,391523,328887,265551,181281,116773,77032,64430,4185752
21,Massachusetts,175586,407948,476181,448254,402325,398810,449744,487517,468138,404851,341546,230542,150924,104665,93631,5040662
22,Michigan,363209,591055,589827,547670,531173,540871,602882,658128,678914,610578,508416,351850,237709,158467,133735,7104484
23,Minnesota,167376,231549,244736,266699,261473,248798,284142,325291,337425,297581,241580,166657,119780,82801,75542,3351430
24,Mississippi,107667,166010,160638,157385,157222,160168,164186,181336,183234,165065,141696,98246,69709,43642,32192,1988396
25,Missouri,200187,339419,365355,362979,336267,326130,340882,392426,397038,346781,293493,211291,142443,92447,66164,4213302
26,Montana,37301,58337,68056,65732,60904,55593,57346,68742,76443,73622,61630,42715,27507,17105,10394,781427
27,Nebraska,73448,119129,129936,127768,115266,104425,106030,119545,123467,112109,91748,62337,45033,32941,31119,1394301
28,Nevada,56776,138968,160799,168415,162416,164446,166173,169279,160356,146661,133402,94682,59379,33373,20386,1835511
29,New Hampshire,46354,86038,88914,81969,75345,84521,97421,112444,109614,92018,76311,51537,32965,22137,17178,1074766
30,New Jersey,236367,519829,516339,497122,494618,520584,573835,622903,588077,487647,400490,280213,188071,132937,120286,6179318
31,New Mexico,25215,114036,133620,140696,130183,122798,120470,137213,139178,129568,111721,76555,44286,26364,15879,1467782
32,New York,319469,845407,1018562,1005207,959169,976051,1070859,1161268,1109361,950790,792830,553328,381630,275182,270726,11689839
33,North Carolina,218980,583806,653796,631920,603428,640430,651701,676363,641790,549535,484551,341439,223540,146200,113142,7160621
34,North Dakota,32288,52713,57438,52041,42803,39007,39767,47490,48962,42095,31029,21443,16163,11976,9812,545027
35,Ohio,343216,631261,629120,624400,605835,632709,678713,754706,776606,688392,568654,388349,274973,182431,144074,7923439
36,Oklahoma,146985,225038,229327,229343,206309,202304,202298,232709,235515,209311,176292,129400,90153,60212,46537,2621733
37,Oregon,100136,200725,235567,251213,240185,221650,228428,234469,252272,254057,225590,152657,99187,60998,51414,2808548
38,Pennsylvania,291549,674858,734969,712740,670088,694353,775713,864440,880589,783849,648151,454742,323735,232054,201137,8942967
39,Rhode Island,22744,58917,65084,61414,56986,56123,66054,73562,74043,65082,54090,36884,23264,16066,15157,745470
40,South Carolina,210892,293427,319578,306469,285369,295342,300011,324792,316552,297872,275273,196930,123890,78330,59097,3683824
41,South Dakota,36285,54436,59214,57282,52335,45444,46689,54773,58935,55992,47629,32677,22998,16132,14886,655707
42,Tennessee,205864,360971,383278,372709,364463,380594,397765,426501,418363,382045,338801,240294,134299,133740,81714,4621401
43,Texas,648092,1414590,1483183,1467766,1394556,1415697,1404177,1473250,1422676,1211556,981451,669532,437804,277517,178029,15879876
44,Utah,128194,197367,199526,202437,198831,163454,141304,150183,139340,122206,97834,69472,47308,31709,24399,1913564
45,Vermont,18830,38402,46467,47214,42151,40892,44968,51672,52854,49018,40800,28526,18358,13311,15336,548799
46,Virginia,211038,448650,510556,515131,486965,499637,527330,573114,539842,463447,389632,269774,177602,113584,93907,5820209
47,Washington,208357,434218,514543,551890,510850,481604,475051,492469,485118,439005,362383,241083,148779,94711,76073,5516134
48,West Virginia,55801,66207,77600,78467,86099,91546,97248,104694,115028,115019,104763,70246,49875,31591,23162,1167346
49,Wisconsin,190318,330008,351137,356276,325057,326065,357393,412456,401284,349987,275849,192398,136388,97139,93004,4194759
50,Wyoming,22027,33924,37901,38473,34699,31179,30915,35296,40503,38257,30396,20236,13619,8473,6552,422450
51,Total,8590649,17630448,19265827,19119736,18087687,18107136,18987729,20488072,20068052,17647170,14788404,10232234,6833757,4521433,3716131,218084465
