,YEAR,NET INCOME,EXPENDITURES,CLOSING BALANCE,FROM EXCISE TAXES,TOTAL (2),MOTOR FUEL,TIRES,INNER TUBES ,TREAD RUBBER ,"TRUCKS, BUSES, AND TRAILERS",USE,LUBRICATING OIL ,PARTS AND ACCESSORIES,TOTAL (2).1,MISCELLANEOUS (3),GASOLINE,GASOHOL,DIESEL AND SPECIAL FUELS,TOTAL (2).2
0,1957,1295070.0,-,30475.0,1325545.0,82182,-,11274,34409,25499,-,-,1478908.0,3094.0,1482002.0,965667.0,516335.0,,,
1,1958,1548106.0,-,49783.0,1597889.0,256306,17374,10814,110506,33227,-,-,2026115.0,17686.0,2043801.0,1511603.0,1048534.0,,,
2,1959,1605691.0,-,50955.0,1656647.0,247254,14874,14102,107386,33852,-,-,2074116.0,13584.0,2087700.0,2612576.0,523657.0,,,
3,1960,1962135.0,-,81628.0,2043764.0,281100,18830,15676,141944,37712,-,-,2539027.0,-3212.0,2535815.0,2940251.0,119221.0,,,
4,1961,2275755.0,-,84905.0,2360660.0,245984,14714,13814,115598,46768,-,-,2797538.0,1474.0,2799012.0,2619170.0,299063.0,,,
5,1962,2267642.0,-,105776.0,2373419.0,327006,17547,22901,127974,79844,-,-,2948690.0,6772.0,2955462.0,2783864.0,470661.0,,,
6,1963,2347525.0,-,114441.0,2461966.0,365966,18891,24056,311120,97318,-,-,3278698.0,14268.0,3292966.0,3016701.0,746926.0,,,
7,1964,2514700.0,-,128105.0,2642805.0,369520,21796,21930,357345,105761,-,-,3519157.0,20361.0,3539518.0,3645013.0,641431.0,,,
8,1965,2592798.0,-,143675.0,2736473.0,381540,23753,24161,393304,99279,-,-,3658509.0,11035.0,3669544.0,4026117.0,284858.0,,,
9,1966,2682672.0,-,163566.0,2846237.0,442154,30176,24284,441969,101983,23000,7000,3916803.0,7305.0,3924108.0,3965431.0,243535.0,,,
10,1967,2934312.0,-,190006.0,3124318.0,481951,33282,28043,524549,111534,68030,69155,4440862.0,14225.0,4455087.0,9373426.0,725196.0,,,
