, ,      Income,Outlays,Balance
0,1957,1.48,0.96,0.51
1,1958,2.04,1.51,1.04
2,1959,2.08,2.61,0.52
3,1960,2.53,2.94,0.11
4,1961,2.79,2.61,0.29
5,1962,2.95,2.78,0.47
6,1963,3.29,3.01,0.74
7,1964,3.53,3.64,0.64
8,1965,3.66,4.02,0.28
9,1966,3.92,3.96,0.24
10,1967,4.45,3.97,0.72
11,1968,4.42,4.17,0.98
12,1969,4.68,4.15,1.52
13,1970,5.46,4.37,2.61
14,1971,5.72,4.68,3.65
15,1972,5.52,4.69,4.48
16,1973,5.91,4.81,5.59
17,1974,6.67,4.59,7.66
18,1975,6.77,4.84,9.59
19,1976,5.99,6.52,9.07
20,1978,7.3,6.14,10.16
21,1979,7.56,6.05,11.67
22,1980,8.04,7.15,12.56
23,1981,7.64,9.21,10.99
24,1982,7.43,9.17,9.25
25,1983,7.82,8.03,9.04
26,1984,8.85,8.83,9.06
27,1985,11.53,10.38,10.21
28,1986,12.9,12.75,10.36
29,1987,13.3,14.18,9.48
30,1988,12.72,12.8,9.41
31,1989,13.64,14.03,9.01
32,1990,15.13,13.6,10.55
33,1991,13.45,14.37,9.62
34,1992,15.3,14.68,10.24
35,1993,16.57,15.51,11.3
36,1994,16.86,16.64,11.52
37,1995,17.0,19.01,9.51
38,1996,19.37,19.47,9.42
39,1997,22.69,19.99,12.11
40,1998,21.31,20.85,12.57
41,1999,24.3,20.34,16.53
42,2000,33.82,23.13,19.2
43,2001,30.34,26.99,22.55
44,2002,26.91,29.09,20.37
45,2003,27.98,32.21,16.13
46,2004,28.96,32.1,12.99
47,2005,29.78,31.97,10.8
48,2006,32.9,33.12,10.59
49,2006,33.7,33.91,9.01
50,2007,34.3,34.97,8.11
51,2008,39.36,37.01,10.03
52,2009,37.31,37.57,8.88
53,2010,44.89,32.0,20.74
54,2011,32.0,37.32,14.32
55,2012,37.64,41.14,9.73
56,2013,37.7,42.91,3.77
57,2014,52.5,43.79,11.37
58,2015,41.83,42.95,9.04
